project_description_type,coordinates,mass_mailing_3_received_date,borough_approval_date,design_completion_date_op,design_consultant_op,contractor_for_construction_permit_firm_name,construction_manager_op,current_phase,mass_mailing_2_received_date,sponsoring_agency_entity,permit_issuance_date,final_inspection_date,substantial_completion_date_op,final_acceptance_of_park_by_borough,latest_permit_expiration_date
Rehabilitation of Underground Substation Hatchways,,,,,,Elit Green Builders Corp,,Presumed Complete,,MTA NYCT,2017-02-14T00:00:00.000,,,,
Minor excavation to facilitate the upgrade of existing gas service to a park comfort station,"40.739230, -73.765136",,2021-04-14T00:00:00.000,,,"Consolidated Edison Company of New York, Inc.",,Construction,,ConEd,,,,,
"Red-flag type response by county resident engineer to address reports of loose concrete reported by borough office, eventually resolved by a Interim Action flag issued by emergency bridge repair contract","40.640023, -74.024244",,,,,,,Final-Accepted (Closed Out),,SDOT,,,,2021-03-02T00:00:00.000,
"Bridge repairs over a highway, under an MNRR viaduct. West of Concrete Plant Park's northern entrance and sidewalks",,,,,,JR Cruz,EIC,Construction,,SDOT,,,,,
Project to protect vulnerable NYCT assets in the event of a future weather-related flooding event,,,2018-04-19T00:00:00.000,,,Railroad Construction Company,,Presumed Complete,,MTA NYCT,,,,,2020-01-31T00:00:00.000
Cutting of herbaceous vegetation only (NO trees or shrubs) along a gas pipeline route so routine inspections may be performed. Work would likely take 1-2 days. All laydown and staging areas will occur on paved surfaces. All vegetation clearing to be done by hand. Cut materials will be collected and disposed of at a suitable offsite location.,,,,,,National Gric c/o AECOM,,Presumed Complete,,National Grid,2016-11-15T00:00:00.000,,,,
"Work involves removing two (2) old and installing two (2) new DEP tide gates along with resetting two (2) pull boxes. The two
(2) existing pull boxes will be raised in elevation by installing two 3’ x 3’ x 6” wide square concrete collar along with a 2’ wide concrete extension that is within the planter.","40.776668, -73.927746",,,,,Sheela Inc,D&B Eng,Final-Accepted (Closed Out),,DEP,,,,2017-04-27T00:00:00.000,
Q099.E.20201201: Exploratory borings to support the future construction of a planned school facility;,"40.747691, -73.853459",,2020-11-30T00:00:00.000,,,C Squared Environmental Corp.,,Construction,,SCA,,,,,
"Porous pavers in sidewalks next to parks. Task 007 is Remsen Plg, Chester Plg, and Howard Pool",,,2017-07-24T00:00:00.000,2019-11-27T00:00:00.000,,,,Permitting,,CDOT,,,,,
"Design-build reconstruction of Hudson Street from West Houston Street to Canal Street, Borough of Manhattan. Design elemetns include sidewalk extension, dedicated bicycle lane, planting beds and public amenities.",,,,,Sam Schwartz,,,Permitting,,EDC,,,,,
