citizenstatus,ethnicity,pa_adj,serialno,sex,off_pov_stat,hht,semp_adj,oi_adj,esr,ftptwork,lanx,schg
1,1,0.0,20467,2,2,1,0.0,0.0,6.0,3,1.0,14
1,1,0.0,721,2,1,1,0.0,0.0,,3,,1
2,3,0.0,20587,1,2,2,0.0,0.0,1.0,1,1.0,0
2,1,0.0,16060,2,2,1,0.0,0.0,6.0,3,1.0,0
2,3,0.0,13437,1,2,4,0.0,0.0,1.0,1,1.0,0
1,2,0.0,1358,2,2,1,0.0,20261.939,1.0,1,2.0,0
1,1,0.0,10259,1,2,1,0.0,0.0,1.0,1,2.0,0
1,3,0.0,1545,2,2,1,0.0,0.0,1.0,2,1.0,0
1,1,0.0,15425,1,2,1,0.0,0.0,,3,,0
3,2,0.0,4082,1,2,1,0.0,0.0,1.0,2,1.0,0
1,1,0.0,10152,1,2,4,0.0,0.0,1.0,1,1.0,0
1,4,0.0,783,1,1,1,0.0,0.0,1.0,2,2.0,0
1,4,0.0,15342,1,2,1,0.0,0.0,1.0,1,1.0,0
1,2,516.67944,4621,2,2,7,0.0,0.0,6.0,3,2.0,0
1,1,0.0,6159,2,2,1,0.0,0.0,6.0,3,2.0,13
1,2,0.0,17123,2,1,3,0.0,0.0,6.0,3,2.0,0
1,1,0.0,12410,2,1,6,0.0,0.0,6.0,3,2.0,0
1,4,0.0,15097,2,1,3,0.0,0.0,6.0,3,2.0,15
2,3,0.0,10009,2,2,1,0.0,0.0,6.0,3,1.0,0
1,1,0.0,18040,1,2,1,93204.922,0.0,2.0,2,2.0,0
1,2,0.0,4946,2,2,3,0.0,0.0,,3,2.0,4
1,3,0.0,7351,2,2,7,0.0,0.0,1.0,1,1.0,0
1,1,0.0,18153,2,2,2,0.0,0.0,6.0,3,2.0,15
1,4,0.0,4347,2,2,1,0.0,0.0,6.0,3,2.0,0
3,3,0.0,13109,2,2,1,0.0,20.26194,1.0,2,1.0,0
1,1,0.0,19230,1,1,4,0.0,0.0,3.0,3,2.0,0
3,3,0.0,7417,2,2,1,0.0,0.0,6.0,3,1.0,0
1,2,0.0,414,2,2,1,0.0,0.0,1.0,1,2.0,0
1,1,0.0,16306,1,1,1,0.0,0.0,6.0,3,2.0,15
1,1,0.0,5442,1,2,5,0.0,0.0,1.0,1,2.0,0
1,4,0.0,792,2,2,1,0.0,0.0,,3,,0
2,4,0.0,9405,2,2,1,0.0,0.0,6.0,3,1.0,0
1,4,0.0,9086,2,2,3,0.0,0.0,,3,,0
2,1,0.0,3359,1,2,2,0.0,0.0,1.0,1,1.0,0
3,1,0.0,20317,1,2,1,0.0,0.0,6.0,3,1.0,0
1,2,0.0,19220,1,2,4,0.0,0.0,6.0,3,2.0,0
1,1,0.0,13443,1,2,5,0.0,0.0,1.0,1,2.0,0
