mediumpriority_new_monthly_dohmh,highpriority_new_monthly_hpd,landlord,mediumpriority_closed_monthly_dohmh,mediumpriority_closed_monthly_fdny,mediumpriority_open_monthly_hpd,lowestpriority_new_monthly_dohmh,commissionerorder_open_monthly_dob,mediumpriority_new_monthly_fdny
0,0,X WESTCHESTER OWN LLC,0,0,0,0,0,0
0,0,X JEROME LLC,0,0,0,0,0,0
0,0,NYC Owned (Parks),0,0,0,0,0,0
0,0,X FAILE REALTY LLC,0,0,11,0,0,0
0,0,X COURTLANDT LLC,0,0,0,0,0,0
0,0,XXD LLC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,BR JAMAICA PARTNERS LLC,0,0,0,0,0,0
0,0,NYS Owned,0,0,0,0,0,0
0,0,X WEBSTER LLC,0,0,0,0,0,0
0,0,X 31 FULTON AVE OWNER,0,0,0,0,0,0
0,0,"SAINTS TOWER, LLC",0,0,0,0,0,0
0,0,BROADWAY BRONX MOTEL LLC,0,0,0,0,0,0
0,0,HUNTINGTON HOUSE HDFC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,UNION HOTEL PARK LLC,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,"KINGS HOTEL , INC     UCHE EMELUMAN",0,0,0,0,0,0
0,0,WILLOW LLC,0,0,0,0,0,0
0,0,CLERMONT PARK ASSOCIATES LLC,0,0,0,0,0,0
0,0,X VARET LLC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,AMG ELTON LLC,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0
3,0,R C CH OF ST IQNATINS,0,0,0,0,0,0
0,0,104TH ST REALTY LLC,0,0,0,0,0,0
0,0,MANHATTAN AVENUE HOTEL LLC,0,0,0,0,0,0
0,0,X W. 126TH STREET LLC,0,0,0,0,0,0
0,0,UNAVAILABLE OWNER,0,0,0,0,1,0
0,0,X BOYNTON LLC,0,0,0,0,0,0
0,0,GSC WASHINGTON HEIGHTS LLC,0,0,0,0,0,0
0,0,MOSES FRIED,0,0,0,0,0,0
0,0,X WEBSTER LLC,0,0,0,0,0,0
0,0,WILLOUGHBY AVENUE EQUITIES LLC,0,0,0,0,0,0
0,0,JUNIUS DEVELOPMENT LLC,0,0,0,0,0,0
0,0,,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,MARC-SCOT MEATS INC,0,0,0,0,0,0
0,0,CI HOUSE LLC,0,0,0,0,0,0
0,0,WEBSTER TREMONT EQUITIES  CORP,0,0,0,0,0,0
0,0,RRW REALTY CORP,1,0,0,0,0,0
0,0,X W 51 LLC,0,0,0,0,0,0
0,0,"BRISAM JFK, LLC",0,0,0,0,0,0
0,0,X WALTON LLC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
1,0,D H NY INC,0,0,0,0,0,0
0,0,NEW BROADWAY LLC,0,0,0,0,0,0
0,0,E&M ASSOCIATES I LLC,0,0,0,0,2,0
0,0,WILLOUGHBY AVENUE EQUITIES LLC,0,0,0,0,0,0
0,0,X ELDERT REALTY LLC,0,0,0,0,0,0
0,0,X JEROME LLC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,CROSS BRONX RESIDENCE INC,0,0,0,0,0,0
0,0,NBX ACQUISITION LLC,0,0,0,0,0,0
0,0,PARKS AND RECREATION,0,0,0,0,0,0
0,0,NYS Owned,0,0,0,0,0,0
0,0,BGFLATLANDS LLC,0,0,0,0,0,0
0,0,X MGMT LLC,0,0,0,0,0,0
0,0,AMBOY DEVELOPMENT EAST LLC,0,0,0,0,0,0
0,0,EMMONS DEVELOPMENT LLC,0,0,0,0,0,0
0,0,X PARK DEVELOPMENT,0,0,0,0,0,0
0,0,CROTONA THORPE HDFC,0,0,0,0,0,0
0,0,ES INN,0,0,0,0,7,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,1,"CROMWELL X ASSOCIATES, INC.",0,0,0,0,0,0
0,0,"AIR HOST REALTY, L.L.C",0,0,0,0,0,0
0,0,PARK OVERLOOK INC,0,0,0,0,0,0
0,1,ST. JOHN'S PL FAMILYCTR,0,0,0,0,0,0
0,0,NEW BEACH RESIDENCE LLC,0,0,0,0,0,0
0,0,OLD BROADWAY HOTEL INC,0,0,0,0,0,0
0,0,X WBSR LLC,0,0,0,0,0,0
0,0,X SUMER LLC,0,0,0,0,0,0
0,0,SMCOM X DE LLC,0,0,0,0,0,0
0,0,SHIV DARSHAN INS,0,0,0,0,0,0
0,0,D H NY INC,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,NYC Owned (Parks),0,0,0,0,0,0
0,0,X JAMAICA REALTY LLC,0,0,0,0,0,0
0,0,HOMES FOR THE HOMELESS INSTITUTE IN,0,0,0,0,0,0
1,0,PORTER AVENUE HOUSING DEVELOPMENT F,1,0,0,0,3,0
0,0,PARK AVENUE HOSPITALITY LLC,0,0,0,0,0,0
0,0,18XX PARTNERS LLC,0,0,0,0,0,0
0,0,X PROSPECT LLC,0,0,0,0,0,0
0,0,"STERLING & CIE, LLC",0,0,0,0,0,0
0,0,NYC Owned (Parks),0,0,0,0,0,0
0,0,1101 HOLDING LLC,1,0,0,0,0,0
0,0,"X EAST 140, LLC",0,0,0,0,0,0
0,0,"LOWER CRESTON, LLC",0,0,0,0,0,0
0,0,DORMITORY AUTHORITY,0,0,0,0,0,0
0,0,VALLEY LODGE HSNG ETC,0,0,0,0,0,0
0,0,X RESIDENCE LLC,0,0,0,0,0,0
0,0,WEST 133 REALTY LLC,0,0,0,0,0,0
0,0,X RESIDENCE LLC,0,0,0,0,0,0
0,0,AUM SIDHDHY VINAYAK,0,0,0,0,0,0
0,0,X VAN SICLEN ASSOCIATES LLC,0,0,0,0,1,0
0,0,SC DELANCEY LLC,0,0,0,0,0,0
0,0,"PRIOLO, JOSEPH",0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,X 4TH AVE ASSOCIATE,0,0,0,0,0,0
0,0,NYC Owned,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,NYC Owned (DHS),0,0,0,0,0,0
0,0,LEMARQUIS ASSOCIATES,0,0,0,0,0,0
0,0,BUTLER HOTEL PROPERTY LLC,0,0,0,0,0,0
0,0,SAMMON-BUILD CENTER/ETC,1,0,0,0,0,0
0,0,X PARK DEVELOPMENT,0,0,0,0,0,0
0,0,X 178 ST DEVELOPMENT LLC,0,0,0,0,0,0
0,0,X DEV LLC,0,0,0,0,0,0
0,0,KIANGA H H D F CO INC,0,0,0,0,0,0
0,0,"X AN ST, LLC",0,0,0,0,0,0
0,0,JUNIUS-LIBERTY DEVELOPMENT LLC,0,0,0,0,0,0
0,0,"MASTRONARDI, VINCENZO",0,0,0,0,0,0
0,0,X FRANKLIN AVE HOUSING DEVELOPMENT FUND CORP,0,0,0,0,0,0
0,0,MARCY TOWER LLC,0,0,0,0,0,0
0,0,X ELG DEVELOPMENT,0,0,0,0,0,0
0,0,X WASHINGTON AVENUE LLC,0,0,0,0,0,0
0,0,RRW REALTY CORP,0,0,0,0,0,0
0,0,X ATLANTIC HOLDING,0,0,0,0,0,0
0,0,"URBAN PATHWAYS, INC.",0,0,0,0,0,0
0,0,DORMITORY AUTHORITY,0,0,0,0,0,0
0,0,X VAN SICLEN ASSOCIATES LLC,0,0,0,0,1,0
0,0,SMCOM X DE LLC,0,0,0,0,1,0
0,0,X RALPH AVENUE DEVELOPMENT LLC,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,XW REALTY LLC,0,0,0,0,0,0
0,0,X ECHO DEV LLC,0,0,0,0,0,0
0,0,X MANAGEMENT LLC,0,0,0,0,0,0
0,0,X  BROADWAY DEVELOP,0,0,0,0,0,0
0,0,"SOUTHERN HOSPITALITY, LLC",0,0,0,0,0,0
0,0,"NG X E 45TH, LLC",0,0,0,0,0,0
0,0,X COURTLANDT AVENUE,0,0,0,0,0,0
0,0,OVERCOMING LOVE MINIS,0,0,0,0,0,0
0,0,"TENRIT STUDIOS, INC.,",0,0,0,0,0,0
0,0,WEST 133 REALTY LLC,0,0,0,0,0,0
