highpriority_new_monthly_dohmh,commissionerorder_open_monthly_hpd,highpriority_open_monthly_dob,facility_type,commissionerorder_closed_monthly_dohmh,lowestpriority_closed_monthly_dohmh,month,commissionerorder_new_monthly_dob,commissionerorder_open_monthly_fdny,commissionerorder_closed_monthly_dob,commissionerorder_open_monthly_dohmh,mediumpriority_new_monthly_hpd,highpriority_open_monthly_dohmh
0,0,0,Adult Family Commercial Hotel,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Safe Haven,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-10-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Commercial Hotel,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-12-01T00:00:00.000,0,1,0,0,0,0
0,0,0,Family Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-11-01T00:00:00.000,0,1,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Family Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Commercial Hotel,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-10-01T00:00:00.000,2,0,0,0,0,0
0,0,2,Family Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-12-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Adult Shelter,0,0,2022-10-01T00:00:00.000,0,1,0,0,0,0
0,0,0,Safe Haven,0,0,2022-10-01T00:00:00.000,0,0,0,0,0,0
0,0,0,Family Shelter,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
0,0,1,Safe Haven,0,0,2022-11-01T00:00:00.000,0,0,0,0,0,0
