address_1,weather_normalized_site_energy,multifamily_housing_number_4,financial_office_computer,college_university_number,manufacturing_industrial,multifamily_housing_total_1,hotel_worker_density_number,percent_of_electricity_that,alert_energy_no_meters,data_center_ups_output_meter,data_center_pdu_output_meter,property_gfa_calculated_1,multifamily_housing_percent,electricity_use_generated_2,indoor_water_use_all_water,default_values,food_service_gross_floor,office_gross_floor_area_ft,municipally_supplied_potable_1,energy_star_certification,medical_office_number_of_1,estimated_data_flag_fuel_2,supermarket_grocery_gross,_3rd_largest_property_use,distribution_center_gross,last_modified_date_non,latitude,medical_office_gross_floor,avoided_emissions_onsite,avoided_emissions_offsite,other_gross_floor_area_ft,_3rd_largest_property_use_1,last_modified_date_gas_meters,hospital_general_medical_4,medical_office_weekly,county,weather_normalized_site_1,third_party_certification,total_ghg_emissions_metric,weather_normalized_source,other_computer_density_number,office_percent_that_can_be_1,electricity_use_grid_purchase_1,water_current_date,multifamily_housing_number_2,last_modified_date_electric
85 Broad Street,,,,,,,,0.0,Ok,,,1180000.0,,,23118.2,Yes,,1165215.0,23118.2,,,,,,,03/13/2018 11:28 AM EDT,40.704215,,,0.0,,,,,,,,,5100.2,,,100.0,14891998.5,2018-01-31T00:00:00.000,,03/07/2018 07:09 PM EST
425 East 58th Street,118682310.8,360.0,,,,0.39844,,0.0,Ok,,,915329.0,0.0,,47279.9,Yes,,,47279.9,,33.0,,,Medical Office,,02/20/2018 09:50 AM EST,40.758684,9007.0,,0.0,,9007.0,02/20/2018 09:55 AM EST,,65.0,,0.9,,7413.4,203.8,,,8703892.2,2017-12-31T00:00:00.000,0.0,02/20/2018 09:53 AM EST
1701 W 3rd Street,9511077.4,0.0,,,,0.87936,,0.0,Ok,,,121680.0,0.0,,5837.8,No,,,5837.8,,,,,,,,40.606007,,,0.0,,,02/16/2018 10:38 AM EST,,,,0.8,,487.0,87.8,,,98013.4,2017-12-31T00:00:00.000,5.0,02/26/2018 02:34 PM EST
211 E 13th St,3766554.8,0.0,,,,0.9053,,0.0,Ok,,,91682.0,100.0,,2692.5,Yes,,,2692.5,,,,,,,,40.732401,,,0.0,,,03/20/2018 02:38 PM EDT,,,,0.2,,279.5,97.5,,,698722.9,2017-12-31T00:00:00.000,,03/08/2018 10:28 AM EST
105 West 55 St.,4993565.3,0.0,,,,1.2,,,Ok,,,53837.0,100.0,,,Yes,,,,,,,,,,02/06/2018 10:06 AM EST,40.763206,,,,,,03/12/2018 03:15 PM EDT,,,,,,354.5,93.7,,,,2017-12-31T00:00:00.000,,03/12/2018 03:13 PM EDT
40 West 37th Street,3397608.0,,,,,,,0.0,Ok,,,54756.0,,,379.2,Yes,,47456.0,379.2,,,,,,,03/16/2018 04:49 PM EDT,40.750916,,,0.0,,,03/16/2018 04:50 PM EDT,,,New York,0.0,,259.6,122.8,,100.0,453193.3,2017-12-31T00:00:00.000,,03/16/2018 05:08 PM EDT
2240 Walton Ave,4059823.2,0.0,,,,0.67516,,0.0,Ok,,,45915.0,,,,Yes,,,,,,,,,,,40.857378,,,0.0,,,03/12/2018 02:13 PM EDT,,,,0.7,,241.8,139.2,,,297603.0,,,03/07/2018 04:25 PM EST
856 Quincy Street,,,,,,,,0.0,Ok,,,55627.0,,,445.6,No,,,445.6,,,,,,,,40.689842,,,0.0,,,03/05/2018 12:24 PM EST,,,New York,,,292.3,,,,613939.3,2017-12-31T00:00:00.000,,03/02/2018 03:41 PM EST
210 Amsterdam Avenue,23291146.7,233.0,,,,1.50323,,0.0,Ok,,,165000.0,100.0,,12849.1,Yes,,,12849.1,,,,,Restaurant,,,40.776977,,,0.0,,3000.0,03/22/2018 04:24 PM EDT,,,,1.1,,1353.5,210.2,,,1447789.3,2017-12-31T00:00:00.000,0.0,03/22/2018 04:25 PM EDT
209 (211) East 43rd Street,8419718.4,,,,,,,0.0,Ok,,,177000.0,,,,No,,177000.0,,,,,,,,,,,,0.0,,,,,,,0.1,,672.1,119.9,,100.0,1783543.5,,,03/12/2018 08:57 PM EDT
8801 Shore Road,7732303.5,0.0,,,,0.50744,,0.0,Ok,,,275892.0,0.0,,6168.5,No,,,6168.5,,,,,,,,40.624055,,,0.0,,,03/31/2018 10:01 PM EDT,,,,0.2,,529.4,54.4,,,970395.2,2017-12-31T00:00:00.000,6.0,03/27/2018 11:21 AM EDT
99-52 66 Road,,0.0,,,,1.2,,,Ok,,,150000.0,60.0,,,No,,,,,,,,,,,40.727763,,,,,,,,,,,,0.0,,,,,,,02/23/2018 10:58 AM EST
130 Fifth Avenue,8952952.0,,,,,,,0.0,Ok,,,140230.0,,,1824.5,Yes,,131407.0,1824.5,,,,,,,03/29/2018 11:34 AM EDT,40.738596,,,0.0,,,03/28/2018 02:08 PM EDT,,,,0.0,,746.6,167.7,,100.0,1991502.5,2017-12-31T00:00:00.000,,03/29/2018 12:23 PM EDT
525 Seventh Avenue,25533635.8,,,,,,,0.0,Ok,,,515672.0,,,11526.1,No,,490672.0,11526.1,,,No,,Restaurant,,03/20/2018 03:26 PM EDT,40.7537,,,0.0,,10000.0,03/20/2018 10:27 AM EDT,,,USA,0.0,,2111.9,128.2,,100.0,5483896.6,2017-12-31T00:00:00.000,,03/20/2018 10:24 AM EDT
