property_id_1,_2nd_largest_property_use,multifamily_housing_number_5,pre_school_daycare_gross,museum_gross_floor_area_ft,municipally_supplied_potable,city,data_center_it_source_energy,_2nd_largest_property_use_1,restaurant_weekly_operating,weather_normalized_site_2,electricity_use_grid_purchase_2,energy_star_certification_1,fuel_oil_5_6_use_kbtu,site_energy_use_kbtu,energy_star_score,property_gfa_calculated_2,hospital_general_medical_12,property_gfa_calculated,multifamily_housing_number_6,estimated_data_flag_natural,leed_us_project_id,metered_areas_energy,national_median_site_energy,retail_store_percent_that,mailing_center_post_office,net_emissions_metric_tons,fitness_center_health_club,hospital_general_medical_3,multifamily_housing_government,bank_branch_number_of,district_steam_use_kbtu,site_eui_kbtu_ft,national_median_total_ghg,hospital_general_medical_1,metered_areas_water,enclosed_mall_gross_floor,laboratory_gross_floor_area,water_score_multifamily_only,other_number_of_computers,green_power_onsite_kwh,census_tract,bank_branch_gross_floor_area,nyc_borough_block_and_lot,retail_store_open_or_closed,hotel_gym_fitness_center,community_board
6151465,Restaurant,,,,,New York,,14785.0,88.0,,50811504.0,,,59776510.2,90.0,,,1180000.0,,,,Whole Building,108212515.4,,,5100.2,,,,,,50.7,9232.8,,Whole Building,,,,,,9.0,,1000290001,,,101.0
2664118,Parking,0.39844,,,,New York,,73500.0,,864246.3,29697682.9,,,118682310.8,,73500.0,,988829.0,0.0,No,,Whole Building,74484532.8,100.0,,7413.4,,,No,,,129.7,4652.6,,Whole Building,,,,,,10601.0,,1-01370-0015,0.0,,106.0
3524382,,0.0,,,,Brooklyn,,,,91766.6,334421.8,,,8945846.8,89.0,,,121680.0,107.0,No,,Whole Building,12410330.9,,,487.0,,,100% Yes,,,73.5,675.7,,,,,,,,412.0,,3-06654-0001,,,311.0
5793733,,0.0,,,,New York,,,,13825.1,2384042.9,,,3666842.9,78.0,,,91682.0,39.0,No,,Whole Building,4478470.2,,,279.5,,,No,,,40.0,341.4,,Whole Building,,,75.0,,,40.0,,1004697506,,,103.0
2941942,,0.0,,,7280.8,New York,,,,,,,,4708937.8,84.0,,,53837.0,0.0,No,,Whole Building,6136383.9,,,354.5,,,No,,,87.5,462.0,,Whole Building,,,,,,137.0,,1-01008-0026,,,105.0
2703161,Retail Store,,,,,New York,,7300.0,,14.8,1546295.5,,,3197946.6,90.0,,,54756.0,,No,,Whole Building,5918097.4,100.0,,259.6,,,,,,58.4,480.5,,Whole Building,,,,,,84.0,,1008380072,0.13699,,105.0
6222514,,0.0,,,,Bronx,,,,30405.8,1015421.4,,,3872954.0,37.0,,,45915.0,20.0,No,,Whole Building,3577779.7,,,241.8,,,,,,84.4,223.4,,,,,,,,239.0,,02-3182-4,,,205.0
2947162,,,,,,Brooklyn,,,,,2094761.2,,,4100659.7,56.0,,,55627.0,,No,,Whole Building,4363687.2,,,292.3,,,,,,73.7,311.0,,Whole Building,,,,,,387.0,,3-01633-0058,,,303.0
4041531,Retail Store,1.50323,,,,New York,,6000.0,60.0,183957.8,4939856.1,,,22177121.2,24.0,,,165000.0,0.0,No,,Whole Building,18583673.8,100.0,,1353.5,,,No,,,134.4,1134.2,,,,,,,,155.0,,1-01158-0033,0.0,,107.0
6245205,,,,,,Manhattan,,,,24962.6,6085452.1,,,8581714.6,93.0,,,177000.0,,No,,Whole Building,17514005.0,,,672.1,,,,,,48.5,1371.7,,,,,,,,,,1-01317-0007,,,
2989315,,0.0,,,,Brooklyn,,,,44404.6,3310988.8,,,7751450.9,96.0,,,275892.0,30.0,No,,Whole Building,12429923.4,,,529.4,,,No,,,28.1,848.9,,Whole Building,,,,,,50.0,,3-06058-0001,,,310.0
6128972,Parking,0.0,,,,Rego Park,,5000.0,,,,,,,,10000.0,,160000.0,0.0,,,Whole Building,8942751.7,,,0.0,,,No,,,,600.4,,,,,,,,71304.0,,7000500004,,,406.0
4407826,Retail Store,,,,,New York,,8823.0,,211.8,6795008.2,,,8716231.0,78.0,,,140230.0,,No,,Whole Building,12498702.2,100.0,,746.6,,,,,,62.2,1070.6,,Whole Building,,,,,,54.0,,1-00820-0038,0.0,,105.0
2640850,Convenience Store without Gas Station,,,,,New York,,10000.0,70.0,17722.1,18711056.6,,,25308225.2,90.0,,,515672.0,,No,,Whole Building,46433015.8,,2500.0,2111.9,,,,,,49.1,3874.8,,Whole Building,,,,,,113.0,,1-00814-0001,,,105.0
