property_id,property_name,automobile_dealership_gross,source_eui_kbtu_ft,energy_star_certification_5,multifamily_housing_number_4,ice_curling_rink_gross_floor,aquarium_gross_floor_area,medical_office_gross_floor,energy_star_certification_4,retail_store_gross_floor,investment_in_energy_projects,parent_property_name,other_gross_floor_area_ft,office_weekly_operating_hours,race_track_gross_floor_area,office_computer_density_number,nyc_building_identification,percent_better_than_national,costar_property_id,municipally_supplied_potable_1,total_ghg_emissions_metric,fuel_oil_5_6_use_kbtu,weather_normalized_site_1,office_gross_floor_area_ft,site_eui_kbtu_ft,estimated_savings_from_energy_1,supermarket_grocery_gross,multifamily_housing_number_3,investment_in_energy_projects_1,multifamily_housing_total,casino_gross_floor_area_ft,hospital_general_medical_15,percent_of_total_electricity,national_median_source_eui,college_university_number,metered_areas_energy,fast_food_restaurant_gross,data_center_cooling_equipment,hospital_general_medical_11,energy_star_certification_1,retail_store_number_of_walk,data_center_pdu_output_site,transportation_terminal,energy_star_certification,natural_gas_use_kbtu,municipally_supplied_potable,medical_office_weekly,borough
2564691,34557 Corp,Not Available,103.5,No,52,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1040003,Not Available,Not Available,Not Available,537.2,5722200.1,372628.2,Not Available,74.2,0,Not Available,Not Available,0,52,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51550,Not Available,Not Available,MANHATTAN
2630964,655 TYSENS LANE MRM,Not Available,124.4,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,5105551,Not Available,Not Available,Not Available,608.7,Not Available,491325.7,Not Available,89.9,0,Not Available,Not Available,0,128,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8878632,Not Available,Not Available,STATEN IS
2503775,Trinity- 200 Hudson Street,Not Available,223.9,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,15.19,Not Available,1.7581,1002854,51.3,Not Available,Not Available,2308.4,7671593.6,6230245.3,312837,87,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,148.1,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15946.7,Not Available,Not Available,MANHATTAN
2598402,75 Central Park West Corporation,Not Available,134,No,116,Not Available,Not Available,5000,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1028243,Not Available,Not Available,Not Available,583.7,Not Available,785851.5,Not Available,81.5,0,Not Available,Not Available,0,58,Not Available,Not Available,Not Available,Not Available,Not Available,"Common Area Plug Load/Electricity, Common Area Heating, Tenant Heating, Tenant Hot Water, Common Area Cooling, Tenant Plug Load/Electricity, Common Area Hot Water, Tenant Cooling",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6839308.1,Not Available,48,MANHATTAN
2636858,3611 Henry Hudson Parkway,Not Available,125,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,2085775,Not Available,Not Available,Not Available,861.6,8459106.9,722990.8,Not Available,84.9,0,Not Available,Not Available,0,123,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,445900,Not Available,Not Available,BRONX
2586400,ELEVEN FIFTEEN ASSOCIATES,Not Available,154.1,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,19670,49.5,Not Available,1.09989,1015604,-31.5,Not Available,Not Available,1389.2,2720100.1,4022414.3,272754,57.1,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,225,Not Available,Whole Building,Not Available,Not Available,Not Available,12/05/2013,Not Available,Not Available,Not Available,"2013, 2012",940676.6,7282,Not Available,MANHATTAN
2564478,257 West 117th Street,Not Available,72.5,No,94,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1058390,Not Available,Not Available,20.89,223.4,Not Available,541350.6,Not Available,32.3,0,Not Available,Not Available,0,47,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1380600.3,Not Available,Not Available,MANHATTAN
1273033,888 Seventh Ave,Not Available,269.6,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,80,Not Available,5.39632,1024895,-17.5,Not Available,31.06,7660.2,Not Available,17316678.1,833901,109.5,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,326.9,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27769.4,Not Available,Not Available,MANHATTAN
2638900,940 Park Ave.,Not Available,Not Available,No,28,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1046669,Not Available,Not Available,16.64,Not Available,Not Available,386878.9,Not Available,Not Available,0,Not Available,Not Available,0,29,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84113.4,Not Available,Not Available,MANHATTAN
2638814,36 Sutton Place So.,Not Available,112.6,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1040462,Not Available,Not Available,27.17,622.6,Not Available,810221.4,Not Available,69.8,0,Not Available,Not Available,0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7497991.1,Not Available,Not Available,MANHATTAN
2638890,808 Broadway,Not Available,103.4,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1009006,Not Available,Not Available,35.07,330.1,Not Available,817516.1,Not Available,45.1,0,Not Available,Not Available,0,68,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1911444,Not Available,Not Available,MANHATTAN
1557168,2 Park Avenue,Not Available,204.2,No,Not Available,Not Available,Not Available,Not Available,Not Available,5909,0,Not Applicable: Standalone Property,10264,55,Not Available,4.17293,1017019,-28.5,Not Available,Not Available,6145.1,Not Available,14914586.1,872984,80.2,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,285.3,Not Available,Whole Building,Not Available,Not Available,Not Available,12/10/2013,0,Not Available,Not Available,"2013, 2012, 2011, 2010, 2009",Not Available,Not Available,Not Available,MANHATTAN
