property_id,property_name,automobile_dealership_gross,source_eui_kbtu_ft,energy_star_certification_5,multifamily_housing_number_4,ice_curling_rink_gross_floor,aquarium_gross_floor_area,medical_office_gross_floor,energy_star_certification_4,retail_store_gross_floor,investment_in_energy_projects,parent_property_name,other_gross_floor_area_ft,office_weekly_operating_hours,race_track_gross_floor_area,office_computer_density_number,nyc_building_identification,percent_better_than_national,costar_property_id,municipally_supplied_potable_1,total_ghg_emissions_metric,fuel_oil_5_6_use_kbtu,weather_normalized_site_1,office_gross_floor_area_ft,site_eui_kbtu_ft,estimated_savings_from_energy_1,supermarket_grocery_gross,multifamily_housing_number_3,investment_in_energy_projects_1,multifamily_housing_total,casino_gross_floor_area_ft,hospital_general_medical_15,percent_of_total_electricity,national_median_source_eui,college_university_number,metered_areas_energy,fast_food_restaurant_gross,data_center_cooling_equipment,hospital_general_medical_11,energy_star_certification_1,retail_store_number_of_walk,data_center_pdu_output_site,transportation_terminal,energy_star_certification,natural_gas_use_kbtu,municipally_supplied_potable,medical_office_weekly,borough
2521620,Columbia Prep - 5 West 93rd,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,6 West 93rd Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,146.9,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,
2563600,ARCADE BUILDING ASSOCIATES,Not Available,175.7,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,17307,55,Not Available,1.61474,1015846,-26.7,Not Available,Not Available,1095.6,Not Available,2971261.2,185789,68.7,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,239.7,Not Available,Whole Building,Not Available,Not Available,Not Available,11/29/2013,Not Available,Not Available,Not Available,2013,Not Available,4596.5,Not Available,MANHATTAN
2267983,MSBI - Brooklyn,Not Available,288.7,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,3210431,-53.1,Not Available,Not Available,1106.2,Not Available,3058991.7,Not Available,116.5,0,Not Available,Not Available,0,Not Available,Not Available,100,Not Available,615.8,Not Available,Whole Building,Not Available,Not Available,1.31985,Not Available,Not Available,Not Available,Not Available,Not Available,4842450.4,Not Available,Not Available,
2630977,49 ARLO RD ENT,Not Available,59.9,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,5117035,Not Available,Not Available,Not Available,106.9,Not Available,49371.1,Not Available,48.5,0,Not Available,Not Available,0,33,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1753299,Not Available,Not Available,STATEN IS
2630967,245 MILL RD HELM,Not Available,98.8,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,5105549,Not Available,Not Available,Not Available,444.7,Not Available,625657.5,Not Available,59.2,0,Not Available,Not Available,0,126,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5090782.4,Not Available,Not Available,STATEN IS
1357969,The Ford Foundation,Not Available,182.1,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,60,Not Available,0.87321,1357969,23,Not Available,4.67,1881.4,Not Available,3840982.4,286300,78.2,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,148.1,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,439700,Not Available,Not Available,MANHATTAN
2601646,79 Fifth Avenue LLC,Not Available,255.8,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1016079,80.8,Not Available,8.75,2104.5,Not Available,5332519.2,Not Available,110.3,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,141.4,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11775400.2,Not Available,Not Available,MANHATTAN
2591226,225 BROADWAY CO.,Not Available,199.3,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,55,Not Available,4.48313,1001241,-32.3,Not Available,Not Available,3604.3,Not Available,6179426,461731,101.1,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,294.5,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1671763.3,Not Available,Not Available,MANHATTAN
2561904,DIAMOND: 2020 Grand Concourse,Not Available,103.9,No,33,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,2008630,Not Available,Not Available,Not Available,309.7,Not Available,259988.9,Not Available,74.5,0,Not Available,Not Available,0,55,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4477200.1,Not Available,Not Available,BRONX
2384128,520 East 76th Street,Not Available,171.1,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1046307,Not Available,Not Available,35.72,801.9,8296049.8,570694.9,Not Available,122,0,Not Available,Not Available,0,102,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,351162.9,Not Available,Not Available,MANHATTAN
2636465,31 West 21st Street - 36542,Not Available,127,No,24,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1015528,Not Available,Not Available,Not Available,314.8,Not Available,614979.5,Not Available,64.8,0,Not Available,0,0,12,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2715193,Not Available,Not Available,MANHATTAN
2557741,Mutual Redevelopment -Penn South - Building 4,Not Available,134.1,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Penn South,Not Available,Not Available,Not Available,Not Available,1083599,Not Available,Not Available,Not Available,1505.5,Not Available,Not Available,Not Available,128.5,0,Not Available,Not Available,0,186,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,21955533.8,Not Available,Not Available,MANHATTAN
2638917,563 Park Ave,Not Available,145.8,No,17,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1042023,Not Available,Not Available,30.54,324.1,Not Available,388073.2,Not Available,93.4,0,Not Available,Not Available,0,19,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4079619.3,Not Available,Not Available,MANHATTAN
2612589,1429 SHORE PKWY PLP,Not Available,124.8,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,3336453,Not Available,Not Available,Not Available,428,Not Available,426849.1,Not Available,85,0,Not Available,Not Available,0,263,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5824109.8,Not Available,Not Available,BROOKLYN
2499245,"Harlem - Adam Clayton Powell, Jr. State Office Building",Not Available,176,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,50,Not Available,1.2174,Not Available,-22.6,Not Available,Not Available,1985.2,Not Available,5488281.9,386069,71,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,227.2,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8697523.5,Not Available,Not Available,MANHATTAN
2383143,70 Remsen Street,Not Available,136.3,No,4,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,3002201,Not Available,Not Available,Not Available,385.4,2602636.4,660734.2,Not Available,68.9,0,Not Available,Not Available,0,103,Not Available,Not Available,Not Available,Not Available,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,110754.5,Not Available,Not Available,BROOKLYN
2637231,133 W21,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,1014771,Not Available,Not Available,Not Available,Not Available,Not Available,2428581.2,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,262.6,400,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MANHATTAN
2610981,SURFSIDE MANOR,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75.99,Not Available,Not Available,483464.9,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,160.4,Not Available,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS
