manhattan_cooperatives_comparable_properties_boro_block_lot,comparable_rental_2_year_built,comparable_rental_1_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_2_total_units,comparable_rental_1_full_market_value,manhattan_cooperatives_comparable_properties_full_market_value,bin,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_market_value_per_sqft,latitude,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_2_gross_sqft,manhattan_cooperatives_comparable_properties_building_classification,comparable_rental_2_address
1-00817-0029,,30.4,1964,,1.0,,33500000,43000000,,,142.0,,25.0,FLATIRON,,D4-ELEVATOR,
1-01585-0017,1920.0,38.4,1920,1-01585-0016,0.35,20.0,1570000,1560000,,0.0,189.0,,38.0,UPPER EAST SIDE (79-96),8805.0,C6-WALK-UP,"{'latitude': '40.619914790328', 'longitude': '-74.026330046058', 'human_address': '{""address"": ""527 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00389-0017,1920.0,32.2,1930,1-00401-0030,0.35,13.0,1510000,1560000,,0.15,150.0,,31.4,ALPHABET CITY,11592.0,C6-WALK-UP,"{'latitude': '40.667793773921', 'longitude': '-73.978238136182', 'human_address': '{""address"": ""540 6 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-02082-0049,1930.0,18.96,1905,1-02079-0029,0.2,18.0,865000,459000,,0.15,71.0,,16.0,HARLEM-UPPER,14828.0,C6-WALK-UP,"{'latitude': '40.826641607035', 'longitude': '-73.946580456968', 'human_address': '{""address"": ""1760 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-00912-0043,1900.0,42.5,1930,1-00912-0062,0.35,20.0,2000000,1680000,,0.0,209.0,,35.0,MURRAY HILL,10510.0,D4-ELEVATOR,"{'latitude': '40.596493956286', 'longitude': '-73.997098496828', 'human_address': '{""address"": ""204 32 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01589-0041,2004.0,35.2,1951,1-01571-0049,0.75,201.0,33900000,31800000,,0.55,164.0,,32.5,UPPER EAST SIDE (79-96),194212.0,D4-ELEVATOR,"{'latitude': '40.618270784084', 'longitude': '-74.030108330581', 'human_address': '{""address"": ""408 92 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01567-0128,1910.0,37.3,1920,1-01579-0012,0.15,14.0,1540000,1380000,,0.3,174.0,,33.0,UPPER EAST SIDE (79-96),9055.0,C6-WALK-UP,"{'latitude': '40.624089217433', 'longitude': '-74.024293081952', 'human_address': '{""address"": ""517 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01535-0012,1910.0,35.8,1920,1-01468-0034,1.05,20.0,1430000,1730000,,0.85,167.0,,41.0,UPPER EAST SIDE (79-96),8395.0,C6-WALK-UP,"{'latitude': '40.630383565462', 'longitude': '-74.022512187576', 'human_address': '{""address"": ""484 74 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01844-0018,1929.0,12.67,1900,1-01843-0040,0.05,24.0,828000,715000,,0.05,39.5,,14.57,MANHATTAN VALLEY,20970.0,C6-WALK-UP,"{'latitude': '40.799422722839', 'longitude': '-73.959325655064', 'human_address': '{""address"": ""8 108 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
1-01570-0005,1920.0,37.3,1920,1-01570-0007,0.0,12.0,1540000,1320000,,0.0,174.0,,32.0,UPPER EAST SIDE (79-96),8870.0,C6-WALK-UP,"{'latitude': '40.619798185881', 'longitude': '-74.029423810893', 'human_address': '{""address"": ""407 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}"
