queens_condominium_property_boro_block_lot,latitude,longitude,queens_condominium_property_year_built,_comparable_rental_1_boro_block_lot,borough,comparable_rental_2_dist_from_coop_in_miles,queens_condominium_property_building_classification,bin,comparable_rental_2_year_built,comparable_rental_1_building_classification
4-01527-7501,40.742806,-73.884112,1989,4-05182-0009,4,3.05,R4-ELEVATOR,4038193.0,2001.0,D1-ELEVATOR
4-01910-7501,40.734349,-73.865897,1961,4-01491-0021,4,1.15,R9-CONDOPS,4433108.0,1963.0,D1-ELEVATOR
4-01310-7501,40.744073,-73.894052,1988,4-01487-0011,4,0.35,R2-WALK-UP,4311920.0,1972.0,C1-WALK-UP
4-00160-7501,,,1930,4-00184-0014,4,0.25,R4-ELEVATOR,,1932.0,D1-ELEVATOR
4-04044-7501,40.784767,-73.85684,2002,4-04977-0017,4,2.7,R4-ELEVATOR,4534917.0,1999.0,D6-ELEVATOR
4-11440-7501,40.665531,-73.855885,1977,4-11545-0026,4,6.4,R2-WALK-UP,4593918.0,1960.0,C1-WALK-UP
4-05024-7501,40.762372,-73.819332,1983,4-05182-0009,4,0.2,R4-ELEVATOR,4113693.0,1972.0,D1-ELEVATOR
4-05598-7501,40.742814,-73.793441,1982,4-04995-0024,4,3.25,R2-WALK-UP,4444869.0,1977.0,C1-WALK-UP
4-09651-7501,40.709687,-73.819265,1966,4-09712-0161,4,0.2,R9-CONDOPS,4312614.0,1960.0,D1-ELEVATOR
4-05294-7501,40.762573,-73.798033,1937,4-05294-0006,4,0.15,R4-ELEVATOR,4312301.0,1930.0,D1-ELEVATOR
4-01775-7501,40.750796,-73.861656,2005,4-03169-0021,4,2.0,R2-WALK-UP,4520398.0,1998.0,D3-ELEVATOR
4-01307-7501,40.744133,-73.896823,1986,4-01606-0052,4,0.65,R2-WALK-UP,4030486.0,1961.0,C1-WALK-UP
4-05042-7501,40.7569,-73.830442,1987,4-04994-0041,4,0.65,R4-ELEVATOR,4309412.0,1973.0,D7-ELEVATOR
4-04994-7504,40.765447,-73.827186,1997,4-05182-0009,4,0.3,R4-ELEVATOR,4459398.0,2000.0,D1-ELEVATOR
4-00416-7501,40.751705,-73.938134,2005,4-00531-0059,4,0.95,R4-ELEVATOR,4534901.0,2005.0,D6-ELEVATOR
4-09668-7501,40.714545,-73.822668,1990,4-09693-0011,4,0.45,R4-ELEVATOR,4206539.0,1966.0,D1-ELEVATOR
4-03100-7501,40.726309,-73.859011,1941,4-03078-0110,4,0.15,R4-ELEVATOR,4072627.0,1940.0,D7-ELEVATOR
