queens_condominium_property_condo_section,queens_condominium_property_boro_block_lot,comparable_rental_2_gross_sqft,comparable_rental_1_gross_sqft,comparable_rental_1_market_value_per_sqft,queens_condominium_property_total_units,queens_condominium_property_gross_sqft,nta
281-R1,4-01527-7501,61700.0,53860,66.0,114,130980,Elmhurst                                                                   
129-R3,4-01910-7501,89772.0,263120,49.8,264,302236,Elmhurst                                                                   
211-R1,4-01310-7501,10010.0,10076,65.0,16,12682,Elmhurst-Maspeth                                                           
308-R1,4-00160-7501,66714.0,40800,53.0,93,69337,
534-R1,4-04044-7501,53860.0,52477,104.0,33,30185,College Point                                                              
292-R1,4-11440-7501,55218.0,20646,53.0,95,52400,Lindenwood-Howard Beach                                                    
42-R1,4-05024-7501,113522.0,53860,66.0,80,101624,Murray Hill                                                                
49-R2,4-05598-7501,27690.0,10032,49.7,52,46800,Auburndale                                                                 
215-R1,4-09651-7501,167400.0,66924,56.0,223,196355,Briarwood-Jamaica Hills                                                    
199-R1,4-05294-7501,87978.0,66795,45.4,78,85000,Murray Hill                                                                
469-R1,4-01775-7501,16949.0,22662,101.0,16,14000,North Corona                                                               
279-R1,4-01307-7501,9800.0,12304,48.4,16,15633,Woodside                                                                   
164-R1,4-05042-7501,65292.0,38640,66.0,64,72300,Flushing                                                                   
398-R1,4-04994-7504,67324.0,53860,66.0,19,16164,Flushing                                                                   
533-R1,4-00416-7501,24464.0,61700,92.0,26,25938,Queensbridge-Ravenswood-Long Island City                                   
251-R1,4-09668-7501,66924.0,62652,50.0,20,19000,Briarwood-Jamaica Hills                                                    
56-R1,4-03100-7501,60000.0,64935,43.6,64,66324,Rego Park                                                                  
584-R1,4-04994-7505,54496.0,52477,104.0,23,23878,Flushing                                                                   
81-R1,4-05024-7502,80241.0,130548,51.0,33,37304,Murray Hill                                                                
54-R1,4-05301-7501,8400.0,8680,52.0,24,17340,Murray Hill                                                                
100-R4,4-00946-7501,20750.0,25832,39.5,34,31445,Steinway                                                                   
154-R1,4-02383-7501,16900.0,18480,53.0,17,17400,Maspeth                                                                    
100-R7,4-00946-7501,20750.0,25832,39.5,70,58333,Steinway                                                                   
423-R1,4-04952-7501,53860.0,14818,70.0,18,16915,Flushing                                                                   
521-R1,4-04960-7502,52477.0,46333,105.0,28,25777,Flushing                                                                   
358-R1,4-00807-7501,9053.0,34050,77.0,32,34650,Steinway                                                                   
435-R1,4-03321-7503,12905.0,72147,65.0,30,38000,Kew Gardens                                                                
237-R1,4-01532-7501,12300.0,14862,54.0,24,19769,Elmhurst                                                                   
142-R1,4-03055-7501,12304.0,9053,51.0,12,11160,Middle Village                                                             
228-R1,4-07353-7501,20400.0,20400,56.0,27,18600,Bayside-Bayside Hills                                                      
426-R1,4-01781-7501,12300.0,7316,109.0,24,21312,
114-R1,4-05135-7501,121091.0,87408,54.0,48,62720,Flushing                                                                   
579-R1,4-04414-7504,54496.0,52477,104.0,32,40800,Flushing                                                                   
109-R1,4-06542-7501,96774.0,125164,44.0,90,86652,Kew Gardens Hills                                                          
43-R7,4-05893-7501,147700.0,147700,71.0,16,13073,Ft. Totten-Bay Terrace-Clearview                                           
169-R1,4-03055-7502,58000.0,177710,53.0,49,50670,Middle Village                                                             
220-R1,4-04994-7503,38640.0,38657,48.1,16,16140,Flushing                                                                   
177-R1,4-02239-7501,135400.0,169348,49.4,120,144310,Forest Hills                                                               
100-R6,4-00946-7501,20750.0,25832,39.5,92,83680,Steinway                                                                   
504-R1,4-01337-7503,24464.0,29636,76.0,28,19625,Hammels-Arverne-Edgemere                                                   
468-R1,4-01531-7501,23200.0,61318,71.0,26,25499,Elmhurst-Maspeth                                                           
167-R1,4-00184-7501,52000.0,61770,44.8,64,59920,Hunters Point-Sunnyside-West Maspeth                                       
137-R1,4-03096-7501,23100.0,30900,53.0,42,26118,Rego Park                                                                  
186-R1,4-05052-7501,65292.0,51125,64.0,22,19037,
61-R1,4-02112-7501,338016.0,119985,37.1,139,132000,Forest Hills                                                               
161-R1,4-01611-7501,12992.0,12304,48.4,12,9424,North Corona                                                               
339-R1,4-02264-7501,57600.0,66962,56.0,226,282298,Forest Hills                                                               
43-R5,4-05893-7501,147700.0,147700,71.0,138,124491,Ft. Totten-Bay Terrace-Clearview                                           
