site_id,phone_status_date,:@computed_region_sbqj_enih,tablet_status_date,state,nta,:@computed_region_yeji_bk3q
bx-02-108937,2025-12-24 22:00:00.528,24,2025-12-24 22:00:00.528,NY,Longwood,5
mn-01-138237,2025-12-24 22:00:00.528,2,2025-12-24 22:00:00.528,NY,SoHo-TriBeCa-Civic Center-Little Italy,4
bk-16-160026,2025-12-24 22:00:00.528,46,2025-12-24 22:00:00.528,NY,Brownsville,2
bx-05-119607,2025-12-24 22:00:00.528,29,2025-12-24 22:00:00.528,NY,Fordham South,5
mn-02-123586,2025-12-24 22:00:00.528,1,2025-12-24 22:00:00.528,NY,SoHo-TriBeCa-Civic Center-Little Italy,4
mn-03-123791,2025-12-24 22:00:00.528,5,2025-12-24 22:00:00.528,NY,East Village,4
bk-09-127716,2025-12-24 22:00:00.528,44,2025-12-24 22:00:00.528,NY,Crown Heights South,2
bk-05-145932,2025-12-24 22:00:00.528,47,2025-12-24 22:00:00.528,NY,East New York,2
mn-05-122633,2025-12-24 22:00:00.528,10,2025-12-24 22:00:00.528,NY,Midtown-Midtown South,4
mn-04-136045,2025-12-24 22:00:00.528,10,2025-12-24 22:00:00.528,NY,Clinton,4
mn-12-gf0370,,22,,NY,Marble Hill-Inwood,4
bk-17-127012,2025-12-24 22:00:00.528,40,2025-12-24 22:00:00.528,NY,Prospect Lefferts Gardens-Wingate,2
bx-05-146097,2025-12-24 22:00:00.528,29,2025-12-24 22:00:00.528,NY,Mount Hope,5
mn-04-136316,2025-12-24 22:00:00.528,8,2025-12-24 22:00:00.528,NY,Clinton,4
mn-04-139460,2025-12-24 22:00:00.528,10,2025-12-24 22:00:00.528,NY,Clinton,4
mn-04-134450,2025-12-24 22:00:00.528,6,2025-12-24 22:00:00.528,NY,Hudson Yards-Chelsea-Flatiron-Union Square,4
bk-05-145943,2025-12-24 22:00:00.528,47,2025-12-24 22:00:00.528,NY,Cypress Hills-City Line,2
bk-03-126644,2025-12-24 22:00:00.528,52,2025-12-24 22:00:00.528,NY,Crown Heights North,2
mn-02-138004,2025-12-24 22:00:00.528,1,2025-12-24 22:00:00.528,NY,SoHo-TriBeCa-Civic Center-Little Italy,4
bk-05-126737,2025-12-24 22:00:00.528,47,2025-12-24 22:00:00.528,NY,Cypress Hills-City Line,2
mn-05-123155,2025-12-24 22:00:00.528,7,2025-12-24 22:00:00.528,NY,Gramercy,4
bk-16-150795,2025-12-24 22:00:00.528,46,2025-12-24 22:00:00.528,NY,Ocean Hill,2
mn-02-120512,2025-12-24 22:00:00.528,3,2025-12-24 22:00:00.528,NY,West Village,4
bk-13-145054,2025-12-24 22:00:00.528,35,2025-12-24 22:00:00.528,NY,West Brighton,2
bx-02-118974,2025-12-24 22:00:00.528,24,2025-12-24 22:00:00.528,NY,Hunts Point,5
bx-01-131467,2025-12-24 22:00:00.528,23,2025-12-24 22:00:00.528,NY,Mott Haven-Port Morris,5
bx-07-153911,2025-12-24 22:00:00.528,34,2025-12-24 22:00:00.528,NY,Bedford Park-Fordham North,5
mn-05-123077,2025-12-24 22:00:00.528,7,2025-12-24 22:00:00.528,NY,Gramercy,4
bk-02-126505,2025-12-24 22:00:00.528,50,2025-12-24 22:00:00.528,NY,Park Slope-Gowanus,2
mn-06-133338,2025-12-24 22:00:00.528,7,2025-12-24 22:00:00.528,NY,Gramercy,4
bk-02-126565,2025-12-24 22:00:00.528,55,2025-12-24 22:00:00.528,NY,Fort Greene,2
mn-04-108109,2025-12-24 22:00:00.528,8,2025-12-24 22:00:00.528,NY,Hudson Yards-Chelsea-Flatiron-Union Square,4
bk-18-127156,2025-12-24 22:00:00.528,38,2025-12-24 22:00:00.528,NY,Flatlands,2
mn-03-123344,2025-12-24 22:00:00.528,4,2025-12-24 22:00:00.528,NY,Chinatown,4
mn-03-123260,2025-12-24 22:00:00.528,5,2025-12-24 22:00:00.528,NY,East Village,4
bx-06-146096,,31,,NY,Claremont-Bathgate,5
mn-04-142001,2025-12-24 22:00:00.528,8,2025-12-24 22:00:00.528,NY,Clinton,4
bx-07-145690,2025-12-24 22:00:00.528,34,2025-12-24 22:00:00.528,NY,Bedford Park-Fordham North,5
bk-06-gf34904,,48,,NY,Carroll Gardens-Columbia Street-Red Hook,2
bx-07-119718,2025-12-24 22:00:00.528,34,2025-12-24 22:00:00.528,NY,Norwood,5
mn-03-108162,2025-12-24 22:00:00.528,2,2025-12-24 22:00:00.528,NY,Chinatown,4
bx-05-152147,2025-12-24 22:00:00.528,29,2025-12-24 22:00:00.528,NY,Mount Hope,5
bx-04-119157,2025-12-24 22:00:00.528,27,2025-12-24 22:00:00.528,NY,West Concourse,5
bx-07-114037,2025-12-24 22:00:00.528,34,2025-12-24 22:00:00.528,NY,Norwood,5
bx-07-119724,2025-12-24 22:00:00.528,34,2025-12-24 22:00:00.528,NY,Norwood,5
bk-02-108355,2025-12-24 22:00:00.528,54,2025-12-24 22:00:00.528,NY,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2
bx-01-145819,2025-12-24 22:00:00.528,23,2025-12-24 22:00:00.528,NY,West Concourse,5
mn-03-134173,2025-12-24 22:00:00.528,4,2025-12-24 22:00:00.528,NY,Lower East Side,4
bk-07-145865,2025-12-24 22:00:00.528,45,2025-12-24 22:00:00.528,NY,Sunset Park West,2
mn-04-140298,2025-12-24 22:00:00.528,6,2025-12-24 22:00:00.528,NY,Hudson Yards-Chelsea-Flatiron-Union Square,4
bk-03-145739,2025-12-24 22:00:00.528,51,2025-12-24 22:00:00.528,NY,Bedford,2
bx-02-111546,2025-12-24 22:00:00.528,24,2025-12-24 22:00:00.528,NY,Hunts Point,5
bk-09-154238,2025-12-24 22:00:00.528,44,2025-12-24 22:00:00.528,NY,Crown Heights South,2
mn-05-122445,2025-12-24 22:00:00.528,8,2025-12-24 22:00:00.528,NY,Midtown-Midtown South,4
mn-03-123282,2025-12-24 22:00:00.528,5,2025-12-24 22:00:00.528,NY,East Village,4
mn-05-107796,2025-12-24 22:00:00.528,8,2025-12-24 22:00:00.528,NY,Midtown-Midtown South,4
bk-17-145928,2025-12-24 22:00:00.528,40,2025-12-24 22:00:00.528,NY,East Flatbush-Farragut,2
bk-02-126847,2025-12-24 22:00:00.528,54,2025-12-24 22:00:00.528,NY,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2
bk-01-109262,2025-12-24 22:00:00.528,56,2025-12-24 22:00:00.528,NY,East Williamsburg,2
