longitude,nta,nocrim_n,school_year,register,nypd_site_code,latitude-schools_in_building
-73.950473,Midwood                                                                    ,0.0,2016 - 17,693.0,103.0,40.621507-P.S. 192 - The Magnet School for Math and Science
-73.898212,Longwood                                                                   ,1.0,2016 - 17,671.0,458.0,40.817512-P.S. 035 Franz Siegel
-73.868328,park-cemetery-etc-Brooklyn                                                 ,,2016 - 17,215.0,315.0,40.691146-Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION
-73.993092,Chinatown                                                                  ,,2016 - 17,508.0,1275.0,40.716553-M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION
-73.989337,Chinatown                                                                  ,,2016 - 17,354.0,654.0,"40.716778-Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION"
-73.942634,East Harlem North                                                          ,2.0,2016 - 17,508.0,657.0,40.802419-P.S. 076 A. Philip Randolph
-73.908806,Canarsie                                                                   ,1.0,2016 - 17,521.0,31.0,40.642792-P.S. 114 Ryder Elementary
-73.969243,Clinton Hill                                                               ,0.0,2016 - 17,511.0,211.0,40.695332-EBC High School for Public Service - Bushwick
-73.92793,Flatlands                                                                  ,0.0,2016 - 17,562.0,300.0,40.628659-P.S. K134
-73.918107,Brownsville                                                                ,,2016 - 17,294.0,1040.0,40.665965-P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION
-73.920977,Rugby-Remsen Village                                                       ,1.0,2016 - 17,476.0,180.0,40.646877-P.S. 284 Lew Wallace
-73.878441,Starrett City                                                              ,12.0,2016 - 17,284.0,233.0,40.646599-Bushwick Leaders High School for Academic Excellence 
-73.969517,West Brighton                                                              ,,2016 - 17,,1094.0,40.57752-P.S. 370 |  Home Instruction - Brooklyn |  3000 WEST 1 STREET CONSOLIDATED LOCATION
-73.908214,Brownsville                                                                ,7.0,2016 - 17,821.0,290.0,40.667377-P.S. 282 Park Slope
-73.926246,Brownsville                                                                ,4.0,2016 - 17,486.0,1145.0,40.665565-P.S. 188 Michael E. Berdy
-74.14497,Port Richmond                                                              ,,2016 - 17,762.0,1003.0,40.622596-The Eagle Academy for Young Men of Staten Island |I.S. 49 Berta A. Dreyfus |101 WARREN STREET CONSOLIDATED LOCATION
-74.000851,Chinatown                                                                  ,,2016 - 17,212.0,534.0,40.711442-Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION
-73.988019,Clinton                                                                    ,,2016 - 17,375.0,549.0,40.761448-P.S. 212 Midtown West |  Professional Performing Arts High School |  328 WEST  48 STREET CONSOLIDATED LOCATION
-73.985645,Chinatown                                                                  ,,2016 - 17,283.0,661.0,40.720581-Marta Valle High School |  Lower East Side Preparatory High School |  145 STANTON STREET CONSOLIDATED LOCATION
-74.028842,Bay Ridge                                                                  ,4.0,2016 - 17,1278.0,219.0,40.618415-P.S./I.S. 104 The Fort Hamilton School
-73.951135,Lenox Hill-Roosevelt Island                                                ,0.0,2016 - 17,436.0,609.0,40.770419-P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION
-73.936997,Central Harlem North-Polo Grounds                                          ,,2016 - 17,468.0,1335.0,40.824495-P.S. 77 Lower Lab School |  P.S. 198 Isador E. Ida Straus |  1700 3 AVENUE CONSOLIDATED LOCATION
-74.001903,Sunset Park East                                                           ,,2016 - 17,471.0,22.0,40.64629-P.S. 167 The Parkway|  New Bridges Elementary|  1025 EASTERN PARKWAY CONSOLIDATED LOCATION
-73.721607,Glen Oaks-Floral Park-New Hyde Park                                        ,0.0,2016 - 17,516.0,815.0,40.750007-P.S. 184 Flushing Manor
-73.935205,Washington Heights South                                                   ,0.0,2016 - 17,443.0,596.0,40.846542-East Side Middle School
-74.078611,Stapleton-Rosebank                                                         ,7.0,2016 - 17,762.0,979.0,40.634032-Ralph R. McKee Career and Technical Education High
