american_indian_alaskan_native_3,unknown_other_average_years_5,asian_average_years_in_title_2,white_average_years_at_school,white_average_years_at_school_2,black_african_american_count,hispanic_average_years_at_2,other_staff
*,,,4.1,,17,,10
*,,,2.7,,18,,13
*,,,9.2,,*,7.9,17
*,,,7.0,,*,,7
*,,,4.4,3.8,9,2.7,28
*,,,5.7,4.4,*,3.7,20
*,,6.9,10.9,7.8,*,6.8,38
*,,,6.4,,28,12.9,20
*,,,7.0,8.4,10,,19
*,,,3.1,,8,5.2,8
*,,,6.7,,*,,4
*,,,5.4,,*,,7
*,,,,,*,3.5,12
*,,,,,18,,26
*,,,3.5,,9,6.8,6
*,,,7.7,7.1,5,,11
*,,,19.6,,21,,25
*,,,11.1,,*,7.9,15
*,,,10.9,11.7,*,,14
*,,,9.9,11.7,*,7.6,27
*,,,16.5,,22,,18
*,,,10.6,10.6,6,3.7,32
*,,,11.7,,17,,14
*,,,,,*,,2
*,,,15.0,11.9,7,,26
*,,,10.5,,11,,10
*,,4.0,8.7,,*,6.5,22
*,,,9.2,10.0,7,6.2,27
*,,,1.6,,5,,6
*,,,5.6,,16,,12
*,,,9.5,5.4,*,,18
*,,,10.3,,7,12.5,18
*,,,8.4,,5,6.6,16
*,,,9.8,5.7,*,2.8,28
*,,,4.6,,10,,10
*,,,2.4,,5,6.0,13
*,,,11.2,10.7,5,6.1,33
*,,,7.1,,9,7.0,21
*,,,9.7,,9,6.7,15
*,,,11.6,5.9,*,,24
*,,,11.6,10.5,9,10.2,19
*,,,0.2,,8,,6
*,,,6.2,,*,,5
*,,,7.3,4.9,*,7.9,15
*,,,,,18,,14
*,,,4.4,8.7,10,6.7,28
*,,,8.6,17.1,9,8.0,32
*,,,8.7,,21,,20
*,,,9.4,,18,6.6,23
*,,,11.5,8.1,*,7.1,21
*,,,14.9,7.0,*,8.1,27
*,,,7.7,8.1,*,,8
*,,,3.6,,16,2.4,12
*,,,10.3,4.9,6,,12
*,,,12.5,9.5,*,9.4,27
*,,,14.6,5.5,13,,21
*,,,3.5,,6,,8
*,,,9.2,,*,,6
*,,,11.4,,*,9.2,12
*,,,8.9,,15,8.0,35
*,,,6.1,5.3,*,,13
*,,,5.3,,*,,5
*,,,7.8,,15,8.7,17
*,,,3.1,,9,,8
*,,,7.5,,5,9.9,16
*,,,,,16,,16
*,,,7.4,4.8,*,3.1,20
*,,,8.4,,10,,9
*,,,3.5,,21,11.0,26
*,,19.4,13.5,16.1,*,,37
*,,,4.1,,*,9.3,16
*,,6.6,10.6,8.7,*,,25
*,,,11.9,12.0,*,8.4,26
*,,10.7,12.9,9.5,*,,18
*,,11.1,8.3,6.9,*,,23
*,,,7.0,,21,5.4,15
*,,,4.7,,*,,6
*,,,7.4,7.5,11,8.7,30
*,,,8.7,9.9,*,9.6,27
*,,,10.8,6.5,10,12.1,17
*,,,5.4,,*,5.0,15
*,,,13.1,11.4,*,,24
*,,,3.7,,7,,9
*,,,7.8,,*,11.0,16
*,,,12.7,,20,,16
*,,,5.0,,11,7.5,24
*,,,12.9,6.8,*,,16
*,,,,,25,,19
*,,,3.6,3.6,*,,21
*,,,19.3,17.1,14,,20
*,,,3.5,,*,,9
*,,,8.7,,9,7.5,18
*,,,6.9,,*,9.0,20
*,,,3.7,,5,3.7,14
*,,,12.3,8.8,*,3.2,19
*,,,3.7,,11,,6
*,,,8.7,12.7,*,10.7,30
*,,,6.8,1.1,14,,11
*,,,3.5,,6,,5
*,,,12.6,,*,3.7,7
*,,11.4,11.4,5.5,*,,25
*,,,4.2,,*,11.1,12
*,,,5.3,5.9,*,,18
*,,,3.1,,9,4.3,16
*,,,9.7,,6,5.6,29
*,,6.8,8.7,9.9,*,7.4,32
*,,,,,26,,20
*,,,9.2,16.9,7,7.5,18
*,,11.8,8.6,7.9,*,,23
*,,,7.8,,43,15.2,28
*,,,13.1,8.2,*,8.1,43
*,,,2.1,,6,,7
*,,,3.5,,24,,9
*,,,11.9,11.4,*,7.5,27
*,,,5.0,,7,3.7,18
*,,,13.0,,*,9.5,15
*,,,5.6,,*,2.1,20
*,,,8.1,,*,5.8,14
*,,,13.1,,13,13.5,18
*,,,9.9,5.8,*,,16
*,,,14.4,8.5,*,12.1,23
*,,,11.8,,*,,11
*,,,8.4,9.5,*,11.0,17
*,,,10.1,7.2,5,,26
*,,,7.0,6.9,*,10.9,24
*,,,,,14,,12
*,,,12.8,12.1,*,4.3,29
*,,,,,14,9.0,14
*,,12.2,13.9,13.1,*,13.7,44
*,,,8.0,,15,9.7,15
*,,,9.8,11.5,12,,37
*,,,19.0,,14,,22
*,,,3.2,,*,,10
*,,,,,13,,10
*,,,7.1,,9,,13
*,,,3.2,,8,5.0,10
*,,,9.6,,*,,7
*,,,,,12,,10
*,,,7.7,7.8,*,,9
*,,,6.0,4.5,*,,14
*,,,7.4,9.9,*,,15
*,,,10.7,9.6,*,10.8,37
*,,,7.0,,11,4.6,30
*,,,5.1,,7,8.2,24
*,,,5.6,,5,11.3,15
*,,,3.8,,9,,4
*,,,7.8,,10,11.9,19
*,,,8.1,,21,8.9,19
*,,,2.2,,*,,9
*,,,7.4,,6,10.8,20
