hawaiian_pacific_islander_3,hispanic_average_years_in_1,hispanic_count_2,leadership,unknown_other_count_2,white_count,multiple_count,black_african_american_count_2,hispanic_average_years_at
*,,*,1,*,8,*,8,
*,,*,3,*,19,*,7,1.5
*,,7,2,*,23,*,5,10.0
*,,*,1,*,15,*,*,
*,,6,4,*,50,*,*,3.2
*,,10,4,*,28,*,*,4.8
*,,9,3,*,62,*,*,7.0
*,,8,5,*,14,*,8,5.6
*,,*,3,*,35,*,*,8.0
*,,7,3,*,13,*,*,1.5
*,,*,2,*,10,*,*,
*,,*,3,*,37,*,*,7.7
*,,10,2,*,*,*,*,3.9
*,,*,3,*,*,*,14,
*,,5,2,*,8,*,*,3.6
*,,*,3,*,38,*,*,
*,,*,2,*,10,*,18,
*,,6,1,*,5,*,5,
*,,*,2,*,23,*,*,
*,,11,3,*,33,*,*,9.6
*,,*,4,*,21,*,6,16.2
*,,5,3,*,57,*,10,7.5
*,,*,3,*,42,*,*,
*,,*,1,*,*,*,*,
*,,*,3,*,32,*,5,
*,,*,3,*,32,*,5,
*,,8,4,*,50,*,*,
*,,14,2,*,28,*,*,11.7
*,,*,2,*,7,*,*,7.5
*,,*,3,*,13,*,8,
*,,*,2,*,37,*,*,
*,,10,3,*,12,*,6,5.0
*,,12,3,*,26,*,*,12.0
*,,5,4,*,58,*,*,7.3
*,,*,3,*,15,*,*,2.8
*,,6,2,*,17,*,*,2.7
*,,8,6,*,90,*,*,9.8
*,,11,2,*,6,*,7,6.0
*,,9,4,*,19,*,*,
*,,*,2,*,31,*,*,
*,,5,3,*,21,*,6,4.9
*,,*,2,*,8,*,5,
*,,*,2,*,27,*,*,
*,,6,2,*,35,*,*,9.4
*,,*,3,*,*,*,10,
*,,9,4,*,45,*,8,5.8
*,,14,4,*,41,*,8,12.9
*,,*,2,*,5,*,11,17.7
*,,13,2,*,14,*,5,6.7
*,,10,3,*,21,*,*,4.2
*,,13,5,*,70,*,6,7.7
*,,*,1,*,*,*,*,0.9
*,,6,2,*,32,*,7,3.8
*,,*,3,*,33,*,*,9.0
*,,*,4,*,63,*,*,
*,,*,2,*,35,*,*,
*,,8,2,*,15,*,*,
*,,*,1,*,59,*,*,7.7
*,,7,3,*,27,*,10,8.1
*,,*,2,*,43,*,*,
*,,9,3,*,35,*,5,6.1
*,,*,2,*,12,*,5,
*,,16,3,*,29,*,*,12.6
*,,13,2,*,15,*,5,9.5
*,,*,2,*,5,*,14,
*,,*,2,*,13,*,*,
*,,7,2,*,16,*,*,10.3
*,,20,3,*,14,*,*,7.6
*,,9,3,*,34,*,*,5.5
*,,12,3,*,21,*,6,16.0
*,,7,3,*,20,*,12,
*,,*,2,*,42,*,*,
*,,15,3,*,40,*,5,7.9
*,,27,5,5,61,*,5,5.7
*,,*,3,*,21,*,21,
*,,*,4,*,69,*,5,
*,,15,4,*,44,*,*,8.1
*,,12,2,*,*,*,*,1.3
*,,*,3,*,36,*,8,
*,,6,2,*,16,*,16,4.3
*,,6,2,*,6,*,5,11.5
*,,6,2,*,8,*,*,1.4
*,,*,2,*,34,*,*,
*,,8,4,*,11,*,*,5.6
*,,8,1,*,19,*,*,
*,,20,3,*,15,*,*,13.1
*,,6,6,*,81,*,*,8.5
*,,*,2,*,15,*,*,
*,,6,2,*,11,*,14,5.2
*,,8,2,*,7,*,6,1.8
*,,*,5,*,61,*,*,
*,,14,4,*,71,*,*,10.8
*,,5,4,*,70,*,*,6.7
*,,*,4,*,68,*,7,
*,,*,1,*,*,*,6,
*,,*,4,*,78,*,7,4.9
*,,5,4,*,66,*,5,
*,,*,2,*,5,*,*,2.2
*,,11,2,*,8,*,*,9.3
*,,*,2,*,34,*,*,
*,,*,5,5,42,*,*,
*,,*,2,*,51,*,*,9.0
*,,*,2,*,*,*,11,
*,,12,3,*,26,*,*,4.6
*,,*,2,*,*,*,*,
*,,8,3,*,12,*,6,7.0
*,,8,1,*,24,*,*,
*,,*,2,*,23,*,*,
*,,*,2,*,16,*,*,
*,,*,1,*,*,*,6,
*,,10,5,*,29,*,10,7.8
*,,*,3,*,5,*,*,
*,,7,2,*,10,*,*,3.8
*,,7,2,*,20,*,*,
*,,10,3,*,48,*,*,
*,,*,2,*,10,*,*,
*,,8,3,*,6,*,*,6.3
*,,*,3,*,8,*,6,
*,,*,2,*,*,*,5,
*,,*,4,*,6,*,12,
*,,12,2,*,11,*,5,7.0
*,,6,2,*,17,*,*,
*,,10,3,*,52,*,*,16.2
*,,*,2,*,18,*,*,
*,,*,2,*,*,*,*,2.1
*,,5,2,*,10,*,*,
*,,*,2,*,*,*,6,6.7
*,,*,3,*,8,*,12,
*,,10,2,*,17,*,*,
*,,*,2,*,*,*,7,
*,,9,1,*,27,*,*,
*,,*,2,*,28,*,*,4.1
*,,12,1,*,7,*,*,3.9
*,,5,3,*,14,*,*,
*,,5,2,*,30,*,*,
*,,9,2,*,6,*,*,3.5
*,,*,2,*,15,*,7,8.4
*,,*,3,*,*,*,6,1.4
*,,*,2,*,34,*,*,
*,,*,3,*,34,*,*,
*,,*,1,*,11,*,*,
*,,10,2,*,6,*,10,15.3
*,,11,3,*,37,*,5,13.5
*,,*,1,*,30,*,*,7.2
*,,11,6,*,110,*,*,5.4
*,,14,3,*,11,*,*,10.1
*,,12,3,*,26,*,*,
*,,*,2,*,16,*,17,
*,,9,3,*,6,*,7,11.4
*,,18,3,*,18,*,*,9.0
*,,10,3,*,22,*,6,7.0
*,,20,3,*,32,*,7,10.3
*,,6,1,*,23,*,*,6.2
*,,*,2,*,8,*,8,
*,,10,3,*,36,*,*,8.7
*,,5,2,*,17,*,*,11.8
*,,*,3,*,23,*,*,
*,,*,4,*,39,*,5,
*,,5,2,*,25,*,*,2.2
*,,*,2,*,37,*,*,
*,,13,2,*,26,*,*,5.0
*,,17,3,*,43,*,*,8.6
*,,*,2,*,6,*,*,2.6
*,,*,2,*,45,*,*,
*,,*,1,*,29,*,*,
*,,*,1,*,5,*,6,
*,,*,2,*,7,*,*,
*,,*,3,*,19,*,20,
*,,13,4,*,19,*,*,3.5
*,,*,3,*,21,*,5,4.9
*,,12,2,*,17,*,8,8.7
*,,11,2,*,15,*,*,16.6
*,,5,3,*,20,*,5,9.1
*,,*,2,*,27,*,*,
*,,*,2,*,35,*,5,
*,,11,2,*,48,*,*,
*,,*,2,*,11,*,*,4.5
*,,7,2,*,30,*,*,
*,,16,3,*,17,*,*,10.7
*,,*,3,*,13,*,*,5.6
*,,11,4,*,48,*,*,10.5
*,,13,4,*,7,*,*,8.1
*,,21,5,*,49,*,*,7.2
*,,*,3,*,48,*,*,
*,,*,3,*,22,*,8,5.9
*,,*,3,*,50,*,*,
*,,*,4,*,61,*,*,10.2
*,,*,2,*,*,*,*,
*,,5,2,*,19,*,*,
