asian_count_2,asian_average_years_in_title,white_count_2,multiple_count_2,multiple_count_1,white_average_years_in_title_1,hawaiian_pacific_islander_6,wite_average_years_in_title,asian_average_years_at_school_2,hispanic_count,black_african_american_average_4,unknown_other_average_years_1,teachers,asian_count_1,hispanic_average_years_at_1,unknown_other_count_1,white_average_years_in_title,white_average_years_at_school_1,white_count_1
*,,*,*,*,,*,,,*,11.9,,28,*,,*,9.8,,*
*,,*,*,*,,*,,,6,13.1,,48,*,,*,8.1,,*
*,,*,*,*,,*,,,6,5.6,,36,*,,*,10.3,,*
*,,*,*,*,,*,,,*,,,20,*,,*,8.3,,*
*,3.8,18,*,*,3.7,*,,,10,,,83,*,,*,6.9,,*
*,,7,*,*,4.4,*,,,9,,,44,*,,*,10.4,,*
6,8.3,19,*,*,9.8,*,,6.5,8,,,79,*,,*,13.4,,*
*,6.0,*,*,*,,*,,,24,14.6,,79,*,,*,9.9,,*
*,,13,*,*,10.0,*,,,5,,,52,*,,*,10.2,,*
*,,*,*,*,,*,,,6,,,29,*,,*,7.8,,*
*,,*,*,*,,*,,,*,,,18,*,,*,10.0,,*
*,,*,*,*,,*,,,5,,,46,*,,*,10.0,,*
*,,*,*,*,,*,,,21,,,26,*,,*,,,*
*,,*,*,*,,*,,,*,11.5,,31,*,,*,,,*
*,,*,*,*,,*,,,9,,,30,*,,*,6.7,,*
*,9.3,7,*,*,7.0,*,,,*,,,57,*,,*,9.5,,*
*,,*,*,*,,*,,,*,10.6,,35,*,,*,19.7,,*
*,18.6,*,*,*,,*,,,*,7.0,,25,*,,*,11.4,,*
*,11.3,7,*,*,12.6,*,,,*,,,32,*,,*,13.6,,*
*,13.5,10,*,*,13.4,*,,,11,,,51,*,,*,12.4,,*
*,17.3,*,*,*,,*,,,5,9.5,,54,*,,*,18.6,,*
*,,13,*,*,11.7,*,,,6,8.0,,70,*,,*,12.8,,*
*,,*,*,*,,*,,,*,,,67,*,,*,13.2,,*
*,,*,*,*,,*,,,*,,,6,*,,*,,,*
*,,18,*,*,13.3,*,,,*,8.4,,40,*,,*,16.1,,*
*,,*,*,*,,*,,,*,4.0,,50,*,,*,13.6,,*
9,6.5,*,*,*,,*,,3.8,*,,,61,*,,*,14.4,,*
*,,5,*,*,12.1,*,,,10,,,46,*,,*,10.7,,*
*,,*,*,*,,*,,,20,,,34,*,,*,7.4,,*
*,,*,*,*,,*,,,*,13.9,,31,*,,*,8.0,,*
*,6.9,11,*,*,6.5,*,,,*,,,48,*,,*,12.1,,*
*,,*,*,*,,*,,,8,13.9,,28,*,,*,13.3,,*
*,13.8,*,*,*,,*,,,15,,,52,*,,*,10.9,,*
*,8.8,15,*,*,6.8,*,,,5,,,77,*,,*,13.0,,*
*,,*,*,*,,*,,,15,,,42,*,,*,6.6,,*
*,,*,*,*,,*,,,8,,,33,*,,*,5.4,,*
*,,18,*,*,12.0,*,4.9,,17,,,114,*,,*,13.6,17.0,6
*,,*,*,*,,*,,,16,21.7,,31,*,,*,9.7,,*
*,,*,*,*,,*,,,*,,,35,*,,*,11.0,,*
*,,20,*,*,6.9,*,,,*,,,34,*,,*,13.8,,*
*,,6,*,*,13.0,*,,,6,22.7,,37,*,,*,12.1,,*
*,,*,*,*,,*,,,*,9.6,,20,*,,*,5.1,,*
*,,*,*,*,,*,,,*,,,31,*,,*,8.8,,*
*,,6,*,*,5.1,*,,,22,,,61,*,,*,9.9,,*
*,,*,*,*,,*,,,*,12.4,,27,*,,*,,,*
*,,9,*,*,9.4,*,,,10,6.2,,69,*,,*,6.1,,*
*,19.0,7,*,*,19.1,*,,,17,11.1,,75,*,,*,10.6,,*
*,,*,*,*,,*,,,8,15.1,,37,*,,*,11.7,,*
*,,*,*,*,,*,,,11,8.2,,46,*,,*,9.4,,*
*,4.2,6,*,*,7.3,*,,,10,,,45,*,,*,13.0,,*
*,,*,*,*,,*,,,15,6.7,,57,*,,*,7.5,,*
*,9.4,*,*,*,,*,,,22,4.9,,75,*,,*,7.8,,*
*,8.7,*,*,*,,*,,,*,,,31,*,,*,9.5,,*
15,10.3,7,*,*,11.8,*,,8.9,*,,,87,*,,*,11.1,,*
*,,*,*,*,,*,,,8,,,33,*,,*,8.1,,*
8,7.2,14,*,*,16.5,*,,8.8,15,,,98,*,,*,14.4,,*
11,9.8,11,*,*,7.6,*,,3.4,*,,,64,*,,*,12.8,,*
*,7.1,15,*,*,8.8,*,,,*,,,92,*,,*,12.7,,*
*,,*,*,*,,*,,,9,,,31,*,,*,7.4,,*
*,,7,*,*,4.6,*,,,*,,,29,*,,*,8.6,,*
*,,*,*,*,,*,,,*,9.1,,20,*,,*,,,*
*,,*,*,*,,*,,,*,18.2,,26,*,,*,3.5,,*
*,,*,*,*,,*,,,8,,,38,*,,*,15.5,,*
*,,*,*,*,,*,,,22,,,33,*,,*,9.6,,*
*,,*,*,*,,*,,,*,12.4,,26,*,,*,19.6,,*
*,,*,*,*,,*,,,17,,,31,*,,*,5.4,,*
*,,*,*,*,,*,,,33,11.2,,68,*,,*,6.8,,*
*,,*,*,*,,*,,,*,12.4,,21,*,,*,,,*
*,,*,*,*,,*,,,*,,,10,*,,*,,,*
*,,*,*,*,,*,,,7,9.5,,42,*,,*,4.1,,*
*,,*,*,*,,*,,,*,13.3,,26,*,,*,,,*
*,,*,*,*,,*,,,24,,,34,*,,*,2.8,,*
*,,*,*,*,,*,,,9,,,37,*,,*,6.5,,*
*,,15,*,*,12.9,*,,,*,,,80,*,,*,12.3,,*
*,,*,*,*,,*,,,*,8.4,,44,*,,*,13.9,,*
*,,*,*,*,,*,,,6,10.4,,23,*,,*,7.7,,*
*,6.1,*,*,*,,*,,,7,,,35,*,,*,9.3,,*
*,13.0,10,*,*,12.7,*,,,7,,,75,*,,*,13.9,,*
*,,13,*,*,5.9,*,,,*,,,56,*,,*,6.2,,*
*,7.9,*,*,*,,*,,,*,,,40,*,,*,7.1,,*
*,,*,*,*,,*,,,*,,,22,*,,*,8.8,,*
*,3.0,5,*,*,14.6,*,,,16,8.6,,44,*,,*,13.2,,*
*,,*,*,*,,*,,,*,10.3,,17,*,,*,,,*
*,,*,*,*,,*,,,17,,,39,*,,*,8.2,,*
*,,*,*,*,,*,,,*,,,26,*,,*,6.7,,*
*,,*,*,*,,*,,,9,,,21,*,,*,3.7,,*
*,7.9,19,*,*,7.4,*,,,5,8.9,,98,*,,*,11.2,,*
*,,*,*,*,,*,,,6,17.0,,30,*,,*,,,*
*,,6,*,*,7.0,*,,,7,15.0,,56,*,,*,16.6,,*
*,,19,*,*,10.8,*,,,*,9.5,,49,*,,*,15.9,,*
*,10.9,14,*,*,12.3,*,,,31,,,109,*,,*,15.2,,*
*,4.5,*,*,*,,*,,,5,,,38,*,,*,4.0,,*
*,,*,*,*,,*,,,5,,,25,*,,*,15.4,,*
*,,*,*,*,,*,,,*,,,14,*,,*,2.9,,*
*,,*,*,*,,*,,,*,16.4,,11,*,,*,,,*
*,,*,*,*,,*,,,8,7.9,,28,*,,*,3.0,,*
*,8.9,16,*,*,13.6,*,,,9,,,99,*,,*,14.0,,*
*,9.5,14,*,*,9.7,*,,,9,10.0,,103,*,,*,8.5,,*
*,,*,*,*,,*,,,26,,,45,*,,*,10.5,,*
*,,*,*,*,,*,,,32,,,38,*,,*,,,*
*,,*,*,*,,*,,,9,11.0,,47,*,,*,15.9,,*
*,,*,*,*,,*,,,*,,,39,*,,*,8.2,,*
*,,*,*,*,,*,,,6,5.3,,41,*,,*,7.6,,*
*,4.1,*,*,*,,*,,,15,6.8,,75,*,,*,14.2,,*
*,,*,*,*,,*,,,8,,,43,*,,*,14.5,,*
*,,20,*,*,8.6,*,,,13,,,86,*,,*,8.0,,*
