unknown_other_average_years,black_african_american_average_1,unknown_other_average_years_4,asian_count,black_african_american_average,hispanic_count_1
,9.8,,*,9.8,*
,1.7,,*,10.4,*
,,,*,,*
,,,*,,*
,3.1,,11,5.1,*
,,,*,,*
,,,6,,*
,6.6,,6,10.1,*
,12.5,,*,15.1,*
,3.4,,*,5.1,*
,,,*,,*
,,,*,,*
,,,*,,*
,9.7,,*,14.3,*
,3.8,,*,5.4,*
,5.8,,7,9.7,*
,11.2,,*,14.5,*
,,,17,,*
,,,6,,*
,,,6,,*
,11.9,,5,13.4,*
,11.7,,*,21.6,*
,11.5,,*,14.5,*
,,,*,,*
,13.8,,*,14.2,*
,8.3,,*,13.2,*
,,,8,,*
,11.4,,*,13.8,*
,14.9,,*,22.7,*
,9.8,,*,15.6,*
,,,6,,*
,14.2,,*,20.3,*
,10.7,,6,14.3,*
,,,8,,*
,4.1,,*,9.1,*
,10.7,,*,16.4,*
,13.9,,*,20.6,*
,7.2,,*,17.5,*
,9.8,,*,15.3,*
,,,*,,*
,3.6,,*,5.8,*
,0.2,,*,11.0,*
,,,*,,*
,,,*,,*
,13.8,,*,15.7,*
,5.2,,*,7.7,*
,6.2,,6,10.4,*
,12.5,,*,15.8,*
,10.3,,*,15.2,*
,,,8,,*
,8.1,,*,14.2,*
,,,6,,*
,,,*,,*
,,,*,,*
,,,9,,*
,6.4,,6,11.7,*
,,,*,,*
,,,*,,*
,,,*,,*
,9.4,,*,14.2,*
,2.8,,*,3.8,*
,2.3,,*,4.1,*
,5.2,,*,8.8,*
6.2,,,*,,*
,12.3,,*,14.6,*
,17.4,,*,19.4,*
,21.7,,*,21.7,*
,2.4,,*,6.8,*
,,,*,,*
,,,*,,*
,8.7,,6,13.5,*
,,,*,,*
,,,*,,*
,9.9,,*,12.6,*
,10.6,,8,13.1,*
,8.8,,*,11.9,*
,,,*,,*
,,,*,,*
,10.6,,*,14.9,*
,,,12,,*
,6.8,,*,13.9,*
,,,*,,*
,13.5,,*,13.9,*
,9.9,,*,11.0,*
,8.3,,*,9.5,*
,,,*,,*
,14.4,,8,14.5,*
,16.5,,*,19.4,*
,,,*,,*
,8.9,,*,12.5,*
,0.8,,5,3.4,*
,,,*,,*
,14.5,,*,15.7,*
,,,5,,*
,,,5,,*
,,,*,,*
,,,*,,*
,9.8,,*,18.5,*
,7.4,,*,9.5,*
,6.2,,*,12.6,*
,,,21,,*
,,,*,,*
,10.0,,5,14.7,*
,12.9,,*,18.8,*
,8.0,,*,17.2,*
,11.5,,*,13.3,*
,5.1,,*,10.4,*
,14.0,,*,17.3,*
,,,6,,*
,,,*,,*
,1.2,,*,11.4,*
,,,*,,*
,5.1,,*,9.0,*
,8.4,,*,13.7,*
,9.3,,*,13.6,*
,,,*,,*
,9.3,,*,15.9,*
,2.1,,*,8.1,*
,5.6,,*,7.2,*
,,,14,,*
,,,*,,*
,,,*,,*
,,,*,,*
,,,*,,*
,,,7,,*
,,,*,,*
,4.8,,*,8.0,*
,,,5,,*
,0.9,,*,3.0,*
,3.9,,*,12.3,*
,12.2,,5,14.6,*
,5.3,,*,11.2,*
,10.3,,*,13.0,*
,7.5,,*,13.6,*
,4.7,,5,8.2,*
,,,10,,*
,8.6,,6,10.1,*
,9.5,,*,17.5,*
,2.5,,*,5.9,*
,2.3,,*,8.4,*
,10.1,,*,17.9,*
,8.1,,5,10.8,*
,,,*,,*
,12.2,,*,12.5,*
,9.4,,*,14.1,*
,,,*,,*
,6.5,,*,12.9,*
,4.3,,*,4.6,*
,,,*,,*
,12.1,,*,12.1,*
,,,*,,*
,,,*,,*
,12.7,,*,15.6,*
,,,5,,*
,,,*,,*
,,,6,,*
,14.4,,*,16.3,*
,11.9,,*,13.1,*
,,,*,,*
,4.2,,*,5.3,*
,,,*,,*
,,,*,,*
,5.1,,*,16.4,*
,15.2,,*,16.2,*
,,,*,,*
,3.6,,*,7.4,*
,11.9,,*,15.8,*
,,,*,,*
,9.6,,*,10.5,*
,3.7,,*,7.8,*
,,,*,,*
,,,*,,*
,9.0,,6,15.8,*
,1.6,,5,4.2,*
,,,*,,*
,,,*,,*
,,,*,,*
,,,*,,*
,4.5,,*,13.2,*
,10.3,,*,17.6,*
,,,7,,*
,10.5,,*,14.4,*
,2.5,,*,9.1,*
,3.6,,*,8.9,*
,,,*,,*
,,,12,,*
,,,*,,*
,,,5,,*
,,,*,,*
,,,*,,*
,9.4,,*,9.6,*
,,,*,,*
,12.2,,*,17.1,*
,3.7,,*,5.6,*
,12.5,,*,16.9,*
,,,*,,*
,7.0,,*,9.8,*
,12.2,,*,19.7,*
,,,*,,*
,,,10,,*
,,,*,,*
,4.1,,*,8.4,*
,,,5,,*
,,,*,,*
,,,*,,*
,10.3,,5,11.6,*
,,,*,,*
,,,32,,*
,,,*,,*
