building_id_espm,facility_name,warehouse_unrefrigerated,current_total_site_energy,energy_star_application_status,bbl10,warehouse_unrefrigerated_2,facility_type,hospital_laundry_facility,hotel_quantity_of_laundry,retail_percent_cooled,multifamily_home_primary,national_median_site_eui,city,emissions_factor_kg_co2e,retail_workers_density,current_source_energy,current_energy_period_ending,senior_care_facility_percent,current_rating_1_100,other_workers_on_main_shift,retail_open_closed_refrig,total_indoor_and_outdoor,borough,release_date,data_center_it_energy,current_indirect_ghg_emissions,district_steam_use_kbtu,hotel_gross_floor_area_sq,chilled_water_absorption,electricity_use_kwh,k_12_school_gross_floor_area,natural_gas_use_kbtu,supermarkets_grocery_number,temporary_data_flag_diesel,office_workers_density,outdoor_water_use_kgal,multifamily_home_laundry,retail_number_of_open_or,current_site_energy_intensity,hospital_laboratory_y_1_n,current_site_ups_output_energy,supermarkets_grocery_walk,multifamily_home_percent,current_source_it_energy,indoor_water_use_per_sq_ft,supermarkets_grocery_workers,multifamily_home_total_number,latitude,hotel_onsite_laundry_short
3128193,Houston St,,8807150.2,No Status Available,1005280001,,Multifamily Housing,,,,,,New York,,,187.2,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-05-01T16:20:37.000,,180.51,,,,563500.0,,301100.0,,,,,,,123.2,,,,,,,,,40.728435,
2669668,583-587 Broadway,,11310391.6,No Status Available,1005127501,,Multifamily Housing,,,100.0,Natural Gas,,New York,,0.44,220.0,2011-12-31T00:00:00.000,,0,,0.09,,MANHATTAN,2012-04-30T09:26:10.000,,728.77,,,,2274962.5,,3548219.62,,,,,0.0,1.0,83.9,,,,100.0,,,,58.0,40.724694,
2676431,(7406) - The Downtown Club Condominium,,17499146.0,No Status Available,1000157502,,Multifamily Housing,,,100.0,District Steam,,New York,,1.0,173.6,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-05-01T17:59:33.000,,1477.37,8455522.84,,,2527927.3,,418335.27,,,,,18.0,0.0,76.9,,,,100.0,,,,283.0,40.706358,
3114290,25th Stree,,4885195.2,No Status Available,1006970013,,Office,,,,,68.0,New York,,,90.8,2011-12-31T00:00:00.000,,0,20.0,,,MANHATTAN,2012-07-31T11:11:05.000,,446.06,,,,1392430.6,,134222.0,,,2.3,,,,27.7,,,,,,,,,40.749364,
2809195,780 Greenwich Street,,6158791.4,No Status Available,1006350026,,Multifamily Housing,,,,,,New York City,,,134.1,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-27T19:32:17.000,,122.31,,,,381797.0,,4856100.0,,,,,,,87.5,,,,,,,,,40.73676,
2682647,(8084) - 59 West 12 Street,,9098009.1,No Status Available,1005767502,,Multifamily Housing,,,,"Fuel Oil (No. 5 and No. 6), District Hot Water",,Manhattan,,,107.5,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-05-01T17:59:33.000,,213.18,,,,665472.7,,150545.82,,,2.29,,18.0,,67.5,,,,0.0,,,,95.0,40.73564,
2685844,DEPM 1802 - 70 East 10th St,,35894612.7,No Status Available,1005550001,,Multifamily Housing,,,100.0,Fuel Oil (No. 5 and No. 6),,New York,,1.0,120.1,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-04-30T08:06:30.000,,977.53,,,,3051509.7,,,,,2.3,,47.0,0.0,71.2,,,,0.0,,,,612.0,40.731413,
3002051,27 East 13,,,No Status Available,1005710025,,Multifamily Housing,,,100.0,Natural Gas,,New York,,0.36,,2010-11-30T00:00:00.000,,0,,0.24,,MANHATTAN,2012-04-30T16:52:58.000,,,,,,,,,,,,,3.0,2.0,,,,,80.0,,,,13.0,40.734759,
2641248,156-168 Ea,,5286816.2,No Status Available,1003980008,,Multifamily Housing,,,,,,New York,,,144.8,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-05-02T16:39:08.000,,110.96,,,,346384.0,,152526.0,,,,,,,94.5,,,,,,,,,40.723365,
3114461,The Caledo,,71322401.3,No Status Available,1007147501,,Multifamily Housing,,,,Natural Gas,,New York,,,282.4,2011-12-31T00:00:00.000,,0,0.0,,,MANHATTAN,2012-07-31T11:11:05.000,,1845.47,,,,5760913.1,,51666165.83,,,2.3,,0.0,,168.2,,,,90.0,,,,601.0,40.74369,
2831236,VLADECK,,,No Status Available,1002600075,,Multifamily Housing,,,,,,MANHATTAN,,,,2011-09-30T00:00:00.000,,0,,,,MANHATTAN,2012-06-27T16:15:48.000,,,,,,,,,,,,,0.0,,,,,,0.0,,,,2431.0,40.711397,
2921875,110 Greenwich Street,,4327655.0,No Status Available,1000530033,,Multifamily Housing,,,90.0,Natural Gas,,New York,,0.66,102.7,2011-12-31T00:00:00.000,,0,0.0,0.17,2949.9,MANHATTAN,2012-05-07T10:41:13.000,,72.16,,,,225254.5,,3559086.49,,,,,5.0,1.0,70.6,,,,90.0,,48.12,,55.0,40.70856,
2712491,SL Green Realty Corporation 100 Church Street,,75004301.1,Application - Label Sent (18-NOV-11),1001250020,,Office,,,,,108.2,New York,,,111.1,2012-02-29T00:00:00.000,,97,,,,MANHATTAN,2012-04-30T09:55:18.000,,6495.73,36568339.5,,,11264936.0,,,,,2.05,,,,48.3,,,,,,,,,40.712968,
2732119,670 Broadw,,5786166.9,No Status Available,1005300001,,Office,,,20.0,,92.8,New York,,0.75,192.9,2011-12-31T00:00:00.000,,53,1.0,0.0,,MANHATTAN,2012-04-06T13:28:42.000,,269.78,,,,842142.2,,,,,3.42,,,0.0,89.0,,,,,,,,,40.727299,
1423089,80 Pine St,,158749667.8,No Status Available,1000390012,,Office,,,90.0,,130.0,New York,,2.51,327.3,2012-01-31T00:00:00.000,,40,,1.43,16320.9,MANHATTAN,2012-05-01T09:38:19.000,,13674.36,82359963.1,,,22388541.8,,,,,2.72,,,8.0,146.4,,,,,,15.05,,,40.705892,
2660516,Cooper Squ,,8531302.8,No Status Available,1004600001,,Multifamily Housing,,,,,,New York,,,111.1,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-07-19T13:34:37.000,,192.52,,,,600968.0,,6480800.0,,,,,11.0,,69.5,,,,70.0,,,,152.0,40.727559,
2640841,180 Varick LLC,,20168241.8,No Status Available,1005190070,,Office,,,80.0,,101.8,New York,,2.94,146.4,2011-12-31T00:00:00.000,,90,,0.59,,MANHATTAN,2012-04-26T10:20:39.000,,1361.62,,,,4250477.4,,852.8,,,2.71,,,10.0,54.5,,,,,,,,,40.72748,
2921353,8 Washington Mews,,68.2,No Status Available,1005500013,,Multifamily Housing,,,,,,New York,,,0.1,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-30T17:28:28.000,,0.01,,,,20.0,,0.0,,,,,,,0.0,,,,,,,,,40.731559,
3115614,684 Broadw,,7519495.2,No Status Available,1005310001,,Multifamily Housing,,,0.0,Natural Gas,,New York,,0.69,183.2,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-05-01T08:58:53.000,,173.75,,,,542371.2,,76190.0,,,,,0.0,0.0,115.7,,,,80.0,,,,22.0,40.727905,
2640847,584 Broadway LLC,,14783163.3,No Status Available,1005110008,,Office,,,80.0,,95.8,New York,,2.5,175.0,2011-12-31T00:00:00.000,,84,,0.7,,MANHATTAN,2012-04-26T10:20:39.000,,1133.17,,,,3537341.9,,11041.25,,,4.2,,,14.0,60.1,,,,,,,,,40.724743,
2806001,Hudson Crossing,,15536695.0,No Status Available,1007340037,,Multifamily Housing,,,100.0,,,New York,,0.63,151.5,2011-12-31T00:00:00.000,,0,,0.31,,MANHATTAN,2012-05-02T10:45:23.000,,667.69,,,,2084304.8,,8425047.06,,,2.3,,,1.0,72.3,,,,,,,,,40.755325,
2921358,La Maison Francaise,,52142.2,No Status Available,1005500001,,College/University (Campus-Level),,,,,104.0,New York,,,66.9,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-30T17:28:28.000,,4.9,,,,15282.0,,,,,,,,,20.0,,,,,,,,,40.731301,
2660336,41 East 11th St,,14696365.0,No Status Available,1005630001,,Office,,,,,68.0,New York,,,188.0,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-26T08:30:43.000,Facility has no UPS.,1066.93,,,,3330573.3,,894324.6,,,4.66,,,,66.8,,,,,806158.7,,,,40.733241,
2921365,10 Washington Mews,,,No Status Available,1005500013,,Education,,,,,58.0,New York,,,,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-30T17:28:28.000,,,,,,,,,,,,,,,,,,,,,,,,40.731495,
2704649,DEPM 2964,,30069306.6,No Status Available,1005730043,,Multifamily Housing,,,100.0,Fuel Oil (No. 5 and No. 6),,New York,,1.0,182.9,2011-12-31T00:00:00.000,,0,,0.0,,MANHATTAN,2012-04-30T08:06:30.000,,759.61,,,,2371227.4,,,,,2.3,,19.0,0.0,111.7,,,,0.0,,,,450.0,40.733011,
2684802,11 Waverly Place,,7753071.1,No Status Available,1005480040,,Multifamily Housing,,,90.0,,,New York,,1.0,167.4,2011-12-31T00:00:00.000,,0,,0.91,,MANHATTAN,2012-05-07T10:35:00.000,,240.68,,,,751311.8,,171797.1,,,3.72,,,3.0,94.0,,,,,,,,,40.730041,
2704587,DEPM 2934,,15798758.4,No Status Available,1005760025,,Multifamily Housing,,,,District Steam,,New York,,,116.2,2011-12-31T00:00:00.000,,0,,,,MANHATTAN,2012-04-30T08:06:30.000,,1297.37,12447622.55,,,982161.7,,,,,,,10.0,,69.9,,,,0.0,,,,228.0,40.735217,
