facility_name,multifamily_home_dishwasher,warehouse_unrefrigerated_5,total_green_power_purchased,census_tract,hotel_floor_area_of_full,number_of_staffed_beds,data_center_gross_floor_area,k_12_school_presence_of,current_site_pdu_input_energy,other_weekly_operating_hours,multifamily_home_percent_1,natural_gas_use_therms,other_space_type_name,energy_use_alerts,data_center_annual_it_energy,residence_halls_dormitories_2,fuel_oil_2_use_kbtu,metering_configuration,diesel_2_use_kbtu,parking_non_enclosed_floor,senior_care_facility_gross,parking_gross_floor_area,service_and_product_provider,swimming_pool_size,weather_normalized_site_eui,hospital_gross_floor_area,house_of_worship_presence,office_weekly_operating_hours,temporary_data_flag_fuel_1,k_12_school_pc_density,bank_financial_institution_5,hospital_number_of_buildings,indoor_water_use_kgal,warehouse_unrefrigerated_1,k_12_school_high_school_y,hotel_floor_area_of_gym,full_time_equivalent_fte,senior_care_facility_number_2,medical_office_gross_floor,office_pc_density,retail_weekly_operating_hours,target_site_energy_intensity,retail_number_of_walk_in,temporary_data_flag_district_2,hotel_presence_of_cooking,number_of_mri_machines,total_avoided_ghg_emissions,bank_financial_institution,county,current_direct_ghg_emissions,other_gross_floor_area_sq,hotel_average_occupancy
41 East 11th St,,,,61.0,,,393.0,,70740.0,,,8943.2,Other,,806159.0,,2438124.18,No Selection Made,,,,,,,66.8,,,43.0,,,,,,,,,,,20000.0,4.66,,0.0,,,,,,,NEW YORK,226.94,23000.0,
10 Washington Mews,,,,59.0,,,,,,,,,Education,,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,2576.0,
DEPM 2964,420.0,,,63.0,,,,,,,32.0,,,,,,,No Selection Made,,,,,Aurora Energy Advisors LLC,,111.7,,,65.0,,,,,,,,,,,1364.0,2.2,65.0,0.0,0.0,,,,,,NEW YORK,1741.02,,
11 Waverly Place,,,,59.0,,,,,,,,1718.0,,Data > 120 days old<br>,,,,Whole Facility Energy Consumption,,,,,,,93.1,,,50.0,No,,,,,,,,,,,4.42,70.0,0.0,3.0,,,,,,NEW YORK,378.29,,
DEPM 2934,103.0,,,63.0,,,,,,,14.0,,,,,,,No Selection Made,,0.0,,10000.0,Aurora Energy Advisors LLC,,69.7,,,,,,,,,,,,,,5000.0,,,0.0,,,,,,,NEW YORK,,,
ELLIOTT,0.0,,,,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
Kimmel Center,,,,65.0,,,,,,,,14671.9,Social/Meeting,,,,,No Selection Made,,,,,,,29.3,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,78.05,247639.0,
CAMPOS PLA,0.0,,,,,,,,,,,16719.0,,,,,,No Selection Made,,,,,,,11.2,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,88.95,,
40 Wall Street,,,,7.0,,,,,,,,,,,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
(7554) - The Setai,159.0,,,9.0,,,,,,,10.0,10563.0,,Data > 120 days old<br>,,,,No Selection Made,,,,,FS Energy,,109.8,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,56.2,,
