facility_name,multifamily_home_dishwasher,warehouse_unrefrigerated_5,total_green_power_purchased,census_tract,hotel_floor_area_of_full,number_of_staffed_beds,data_center_gross_floor_area,k_12_school_presence_of,current_site_pdu_input_energy,other_weekly_operating_hours,multifamily_home_percent_1,natural_gas_use_therms,other_space_type_name,energy_use_alerts,data_center_annual_it_energy,residence_halls_dormitories_2,fuel_oil_2_use_kbtu,metering_configuration,diesel_2_use_kbtu,parking_non_enclosed_floor,senior_care_facility_gross,parking_gross_floor_area,service_and_product_provider,swimming_pool_size,weather_normalized_site_eui,hospital_gross_floor_area,house_of_worship_presence,office_weekly_operating_hours,temporary_data_flag_fuel_1,k_12_school_pc_density,bank_financial_institution_5,hospital_number_of_buildings,indoor_water_use_kgal,warehouse_unrefrigerated_1,k_12_school_high_school_y,hotel_floor_area_of_gym,full_time_equivalent_fte,senior_care_facility_number_2,medical_office_gross_floor,office_pc_density,retail_weekly_operating_hours,target_site_energy_intensity,retail_number_of_walk_in,temporary_data_flag_district_2,hotel_presence_of_cooking,number_of_mri_machines,total_avoided_ghg_emissions,bank_financial_institution,county,current_direct_ghg_emissions,other_gross_floor_area_sq,hotel_average_occupancy
516-530 We,,,,99.0,,,,,,,,,,Data > 120 days old<br>,,,,No Selection Made,,,,,"CodeGreen Solutions, Inc.",,57.7,,,46.0,,,,,,,,,,,,1.41,,0.0,,,,,,,NEW YORK,,,
29-45 Tena,0.0,,,59.0,,,,,,,5.0,3560.8,,,,,,Whole Facility Energy Consumption,,,,,,,84.3,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,708.1,,
KVI Mezz Corp. 18,0.0,,,8.0,,,,,,,10.0,3250.5,,,,,,No Selection Made,,,,,"National Refunds, LLC",,93.9,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,504.62,,
817 Broadway,,,,61.0,,,,,,62.0,,3857.0,Other,,,,,No Selection Made,,,,,,,46.8,,,65.0,,,,,,,,,,,,2.05,,0.0,,,,,,,NEW YORK,20.52,5550.0,
King Juan Carlos Center,,,,65.0,,,,,,,,,College/University (Campus-Level),,,,0.0,"This building is part of the NYU cogeneration power plant, and receives primarily District Electricity, Heating, Cooling, etc. 

The energy use is reflected in Natural Gas consumption entered for 251 Mercer Street, Warren Weaver Hall, site of the underg",,,,,,,0.1,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,61310.0,
Winter- 57 E 11th St,,,,61.0,,,,,,,,606.2,,,,,,No Selection Made,,,,,"CodeGreen Solutions, Inc.",,92.7,,,50.0,No,,,,,,,,,,,3.99,55.0,0.0,0.0,,,,,,NEW YORK,198.62,,
39 Broadwa,,,,13.0,,,,,,,,,,,,,,Whole Facility Energy Consumption,,,,,LC Associates,,19864.3,,,65.0,,,,,,,,,,,,2.2,,0.0,,,,,,,NEW YORK,,,
Brodsky - 177 9th Ave,54.0,,,89.0,,,,,,,10.0,31854.6,Library,,,,,No Selection Made,,0.0,,9744.0,,,63.4,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,169.47,20242.0,
CAMPOS PLA,0.0,,,28.0,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
15 Washington Place,10.0,,,59.0,,,,,,,10.0,625.0,,,,,,No Selection Made,,,,,,,71.8,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,376.88,,
97 Horatio Street,53.0,,,79.0,,,,,,,46.0,350.4,,Temporary values used for meter entries<br>,,,192363.72,No Selection Made,,,,,,,2028.6,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,16.02,,
173 Perry St,13.0,,,75.0,,,,,,,13.0,27032.6,,Data > 120 days old<br>,,,,No Selection Made,,,,,Greenwich Energy Solutions,,167.4,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,143.81,,
100 11th Avenue,72.0,,,99.0,,,,,,,8.0,59195.0,,,,,,No Selection Made,,,,,,,90.7,,,,,,,,,,,,,,,,40.0,0.0,0.0,,,,,,NEW YORK,314.92,,
RY - 300 A,107.0,,,31704.0,,,,,,,20.0,47752.9,,,,,,No Selection Made,,,,,,,69.7,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,254.05,,
RIIS/RIIS,0.0,,,,,,,,,,,256537.8,,,,,,No Selection Made,,,,,,,30.4,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,1364.78,,
6 Varick Street,25.0,,,33.0,,,,,,65.0,10.0,5809.6,Other,,,,,No Selection Made,,,,,,,58.9,,,,No,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,203.86,4500.0,
Meyer Hall,,,,57.0,,,,,,,,44.0,College/University (Campus-Level),,,,,Whole Facility Energy Consumption,,,,,,,25.5,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,0.23,258686.0,
284 Mott S,183.0,,,43.0,,,,,,,8.0,950.6,,,,,6044039.07,No Selection Made,,0.0,,7000.0,,,113.6,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,449.7,,
KVI Mezz Corp. 40,0.0,,,8.0,,,,,,,10.0,4117.4,,,,,,No Selection Made,,,,,"National Refunds, LLC",,93.4,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,730.9,,
Westbeth,0.0,,,79.0,,,,,,65.0,15.0,3071.9,Other,,,,10675590.29,No Selection Made,,,,,Bright Power,,69.2,,0.0,65.0,,,,,8502.8,,,,,,,2.2,65.0,0.0,0.0,,,,,,NEW YORK,2621.98,27386.0,
110 William Street,,,,1502.0,,,,,,,,,,Data > 120 days old<br>,,,,No Selection Made,,,,,"NYG Green Partners, LLC",,57.4,,,65.0,,,15.0,,,,,,,,,2.2,,0.0,,,,,,2011.0,NEW YORK,,,
The London,,,,137.0,,,,,,,,,,,,,,Whole Facility Energy Consumption,,,,,"Southport Engineering Associates, PC",,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
12 East 12,23.0,,,61.0,,,,,,84.0,5.0,38054.9,Restaurant/Cafeteria,,,,,No Selection Made,,,,,Ecological,,177.5,,,,No,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,434.72,10000.0,
40 East 14th Street,,,,61.0,,,,,,,,157468.6,,,,,,No Selection Made,,,,,Vornado Realty Trust,,215.8,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,837.73,,
315 Hudson St,,,,37.0,,,,,,,,51.0,,,,,,No Selection Made,,,,,R3 Energy Management Audit & Review,,71.0,,,64.0,,,,,29.9,,,,,,,2.87,47.0,0.0,0.0,,,,,,NEW YORK,897.07,,
VLADECK/VL,0.0,,,202.0,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
79 West 12th Street,100.0,,,63.0,,,,,,,8.0,77520.0,,,,,,No Selection Made,,,,,,,77.0,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,412.41,,
1104-1112 Carroll Place,,,,18102.0,,,,,,,,,,,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,
74 5th Avenue,10.0,,,63.0,,,,,,,15.0,1066.0,,Data > 120 days old<br>Temporary values used for meter entries<br>,,,,No Selection Made,,,,,EN-POWER GROUP,,45.0,,,,No,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,238.94,,
100 Wall S,,,,7.0,,,1356.0,,,,,,,,0.0,,,No Selection Made,,,,,,,104.0,,,40.0,,,,,,,,,,,,3.58,69.0,0.0,0.0,,,,,,NEW YORK,,,
150 Varick Street,,50.0,,37.0,,,,,,,,56989.0,,,,,,No Selection Made,,,,,,,76.2,,,60.0,,,,,,1.0,,,,,,1.95,60.0,0.0,4.0,,,,,,NEW YORK,303.18,,
FULTON,0.0,,,,,,,,,,,36374.2,,,,,,No Selection Made,,,,,,,124.2,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,193.51,,
RIIS/RIIS,0.0,,,,,,,,,,,256537.8,,,,,,No Selection Made,,,,,,,30.4,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,1364.78,,
FULTON,0.0,,,,,,,,,,,36374.2,,,,,,No Selection Made,,,,,,,124.2,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,193.51,,
465 Greenw,18.0,,,39.0,,,,,,,8.0,29839.0,,Data > 120 days old<br>,,,,No Selection Made,,,,,,,42.6,,,40.0,,,,,,,,,,,,2.47,,0.0,,,,,,,NEW YORK,158.74,,
50 Frankli,72.0,,,31.0,,,,,,,15.0,8545.8,,Temporary values used for meter entries<br>,,,,No Selection Made,,,,,Bright Power,,47.0,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,45.46,,
166 Perry,19.0,,,75.0,,,,,,,20.0,27288.8,,Data > 120 days old<br>,,,,No Selection Made,,,,,Greenwich Energy Solutions,,96.1,,,,,,,,522.8,,,,,,,,,0.0,,,,,,,NEW YORK,145.18,,
20 Broad Street,,,,7.0,,,9489.0,,,,,,,,16571724.0,,,No Selection Made,,,,,,,117.6,,,70.0,,,,,20769.0,,,,,,,6.04,,0.0,,,,,,,NEW YORK,,,
SPARK 636,0.0,,,28.0,,,,,,,8.0,,Other,Data > 120 days old<br>Overlapping meter entries<br>Temporary values used for meter entries<br>,,,,default energy data,,,,,iAG Energy Benchmarking Services,,,,,65.0,,,,,,,,,,,,2.2,65.0,,0.0,,,,,,NEW YORK,,13115.0,
434 Broadw,,,,45.0,,,,,,,,757.1,,,,,,No Selection Made,,,,,"SCIenergy, Inc.",,77.0,,,45.0,,,,,448.4,,,,,,,2.88,,0.0,,,,,,,NEW YORK,173.1,,
Mercer Hot,,,,49.0,,,,,,,,73728.3,,,,,,No Selection Made,,,,,,,208.1,,,,,,,,,,,,,,,,70.0,0.0,0.0,,1.0,,,,NEW YORK,392.23,,
22 RIVER T,324.0,,,31703.0,,,,,,,,114273.2,,,,,3677794.68,No Selection Made,,,,,,,71.1,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,878.5,,
225 BROADW,,,,21.0,,,,,,,,78.6,,,,,,No Selection Made,,,,,,,83.7,,,55.0,No,,,,,,,,,,,4.48,,0.0,,,,,,,NEW YORK,1347.06,,
Gold - 354,37.0,,,41.0,,,,,,,16.0,31946.9,,,,,,No Selection Made,,,,,,,67.9,,,65.0,,,,,,,,,,,,2.2,65.0,0.0,0.0,,,,,,NEW YORK,169.96,,
Hudson East - 225 East 6th Street,87.0,,,38.0,,,,,,,16.4,43082.9,,,,,,Whole Facility Energy Consumption,,,,,Quality Conservation Services Inc.,,69.6,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,229.2,,
130 Barrow,96.0,,,69.0,,,,,,,20.0,75973.6,,Data > 120 days old<br>,,,,No Selection Made,,,,,Greenwich Energy Solutions,,121.6,,,,,,,,4905.7,,,,,,,,,0.0,,,,,,,NEW YORK,404.18,,
124 Hudson,,,,33.0,,,,,,,,41621.3,,,,,,No Selection Made,,,,,Ecological,,92.3,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,NEW YORK,221.43,,
CHELSEA AD,0.0,,,97.0,,,,,,,,3187.0,,,,,,No Selection Made,,,,,,,24.1,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,16.95,,
Third Avenue North Residence Hall,,,,40.0,,,,,,100.0,,10603.8,Restaurant/Cafeteria,,,1.0,,No Selection Made,,,,,,,98.0,,,,,,,,,,,,,,,,126.0,0.0,1.0,,,,,,NEW YORK,56.41,1200.0,
22 Thames,,,,13.0,,,,,,,,,,Less than 1 year of data<br>> 65 days in electrical meter entry<br>,,,,No Selection Made,,,,,86/22 Holdings LLC,,,,,,,,224.0,,,,,,,,,,,,,,,,,97589.0,NEW YORK,,,
Tribeca To,440.0,,,33.0,,,,,,,20.0,8483.6,,,,,,No Selection Made,,0.0,,14400.0,Bright Power,,105.5,,,,,,,,,,,,,,,,60.0,0.0,0.0,,,,,,NEW YORK,45.13,,
200 Mercer,28.0,,,5501.0,,,,,,,10.0,35153.3,,,,,,No Selection Made,,,,,,,101.9,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,187.02,,
63 Downing,30.0,,,67.0,,,,,,65.0,10.0,22145.3,Other,,,,,No Selection Made,,,,,,,69.6,,,,,,,,,,,,,,2000.0,,,0.0,,,,,,,NEW YORK,117.81,8000.0,
478-482 Broadway,,,,45.0,,,,,,,,251.7,,,,,,No Selection Made,,,,,Vornado Realty Trust,,108.7,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,1.34,,
Werber: 40 Gold Street,56.0,,,1502.0,,,,,,100.0,15.0,6507.0,Retail (Misc),,,,,Whole Facility Energy Consumption,,,,,Redocs Payment Solutions,,27.8,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,34.62,13600.0,
163 Front,,50.0,,1502.0,,,,,,,,,,,,,2143126.18,No Selection Made,,,,,Great Forest Inc,,40.0,,,,,,,,,0.0,,,,,,,50.0,0.0,1.0,,,,,,NEW YORK,157.66,,
Royal Elizabrth Condo,,,,41.0,,,,,,,,,,,,0.0,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
(7070) - Tribeca Owners Corp,0.0,,,39.0,,,,,,,10.0,35250.2,,,,,,No Selection Made,,,,,FS Energy,,57.5,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,187.53,,
BARUCH,0.0,,,40.0,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
Tribeca Gr,274.0,,,31703.0,,,,,,,24.0,204302.5,,,,,,No Selection Made,,0.0,,11000.0,Bright Power,,114.4,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,1086.89,,
CB Richard Ellis 414 WEST 14TH      (418 West 14th St),,,,,,,,,,,,20055.0,,,,,,Whole Facility Energy Consumption,,,,,iES,,57.3,,,50.0,,,,,,,,,,,,3.38,,0.0,,,,,,,NEW YORK,106.69,,
160 Bleeck,,,,65.0,,,,,,,,4062.0,,Data > 120 days old<br>,,,,No Selection Made,,,,,A Y S Services Inc.,,58.8,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,568.3,,
13-17 Laight St,9.0,,,33.0,,,,,,,10.0,325.8,,Data > 120 days old<br>,,,,No Selection Made,,,,,Greenwich Energy Solutions,,83.3,,,65.0,,,,,,,,,,,,2.19,65.0,0.0,0.0,,,,,,NEW YORK,266.96,,
145 - Holi,,,,7.0,0.0,,,,,,,11620.2,,,,,,No Selection Made,,,,,,,57.8,,,,,,,,,,,225.0,,,,,,0.0,,,0.0,,,,NEW YORK,61.82,,80.0
MMS404 - West 23rd Street,,,,99.0,,,,,,105.0,,39822.1,Self-Storage,Data > 120 days old<br>,,,,No Selection Made,,,,,,,50.0,,,,,,,,667.9,,,,,,,,,0.0,,,,,,,NEW YORK,211.85,131835.0,
Newmark- 4,,,,103.0,,,3072.0,,,50.0,,4176.1,Restaurant/Cafeteria,,0.0,,,No Selection Made,,,,,"CodeGreen Solutions, Inc.",,64.1,,,53.0,,,,,,,,,,,,2.26,,0.0,,,,,,,NEW YORK,284.8,7752.0,
396 Broadw,,,,31.0,,,,,,,,,,Data > 120 days old<br>,,,,No Selection Made,,,,,National Energy Cost Services Inc.,,0.5,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,,
383 West Broadway,11.0,,,47.0,,,,,,,15.0,684.0,Other,,,,2602943.3,Whole Facility Energy Consumption,,,,,Redocs Payment Solutions,,47.3,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,NEW YORK,195.13,14500.0,
Vanderbilt Hall,,,,65.0,,,,,,100.0,,,Education,,,,,No Selection Made,,,,,,,7.5,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,257259.0,
141 Wooste,19.0,,,49.0,,,,,,40.0,8.0,26021.2,Entertainment/Culture,,,,,No Selection Made,,,,,,,65.2,,,65.0,,,,,,,,,,,,2.34,65.0,0.0,0.0,,,,,,NEW YORK,138.43,6825.0,
111 Barrow Street,37.0,,,69.0,,,,,,,10.0,7121.8,Other,Data > 120 days old<br>,,,554762.0,No Selection Made,,,,,Greenwich Energy Solutions,,41.6,,,,,,,,2748.4,,,,,,,,,0.0,,,,,,,NEW YORK,78.7,8000.0,
EOP 1065 A,,,,113.0,,,,,,,,,,,,,,Whole Facility Energy Consumption,,,,,NuEnergen,,78.8,,,60.0,,,,,,,,,,,,4.69,,0.0,,,,,,,NEW YORK,,,
(7172) - Cast Iron Corp,0.0,,,61.0,,,,,,,10.0,2490.2,,,,,,No Selection Made,,,,,FS Energy,,68.2,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,450.86,,
East Building,,,,59.0,,,,,,,,,College/University (Campus-Level),,,,,No Selection Made,,,,,,,61.6,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,103680.0,
NINHURSAG,,,,115.0,,,,,,,,34078.9,,,,,,No Selection Made,,,,,NINHURSAG PROPERETIES N.V. LTD.,,60.6,,,168.0,,,,,,,,,,,,2.47,,0.0,,,,,,,NEW YORK,181.3,,
444 Wareho,,84.0,,28.0,,,,,,,,,,Less than 1 year of data<br>,,,,No Selection Made,,,,,Revoltagen,,,,,,,,,,43.4,0.0,,,,,,,,,,,,,,,NEW YORK,,,
73 Worth S,30.0,,,33.0,,,,,,168.0,5.0,49016.4,Other,Data > 120 days old<br>Temporary values used for meter entries<br>,,,,No Selection Made,,,,,,,97.0,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,260.77,35000.0,
KVI Mezz Corp. 32,0.0,,,8.0,,,,,,,10.0,4514.5,,,,,,No Selection Made,,,,,"National Refunds, LLC",,93.9,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,688.83,,
Waverly Building,,,,59.0,,,,,,,,,College/University (Campus-Level),,,,,No Selection Made,,,,,,,25.4,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,60329.0,
316 11th Avenue,369.0,,,99.0,,,,,,,30.0,226245.0,,,,,,No Selection Made,,,,,R3 Energy Management Audit & Review,,105.3,,,,,,,,115.5,,,,,,,,168.0,0.0,1.0,,,,,,NEW YORK,1203.62,,
433 West 3,110.0,,,111.0,,,,,,,15.0,75793.8,,,,,,No Selection Made,,,,,Bright Power,,88.2,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,615.6,,
Capri Apar,0.0,,,40.0,,,,,,,15.0,26.0,,,,,2587140.75,No Selection Made,,,,,Bright Power,,53.0,,,40.0,,,,,,,,,,,,2.61,,0.0,,,,,,,NEW YORK,190.47,,
DEPM 1360 - 111 Fourth Ave,168.0,,,42.0,,,,,,,5.0,87161.0,,,,,277381.0,No Selection Made,,0.0,,15000.0,Aurora Energy Advisors LLC,,83.0,,,65.0,,,,,,,,,,,,2.2,65.0,0.0,0.0,,,,,,NEW YORK,484.1,,
KVI Mezz Corp. 14,0.0,,,8.0,,,,,,,10.0,4189.4,,,,,,No Selection Made,,,,,"National Refunds, LLC",,93.7,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,678.84,,
166 Bank S,30.0,,,75.0,,,,,,,8.0,20921.5,,,,,,No Selection Made,,,,,Ecological,,45.6,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,111.3,,
350 Bleecker St.,60.0,,,73.0,,,,,,,8.0,42160.6,,,,,,No Selection Made,,0.0,,9500.0,,,68.2,,,,,,,,,,,,,,,,63.0,0.0,0.0,,,,,,NEW YORK,224.29,,
Chung Pak,,,,29.0,,,,,,17.0,,33268.0,Other,,,,,No Selection Made,,,,,Bright Power,,65.8,,,,,,,,19701.2,,,,,,,,78.0,0.0,2.0,,,,,,NEW YORK,176.99,115992.0,
One Seaport Plaza,,,,1502.0,,,0.0,,,,,508.0,,,0.0,,,Whole Facility Energy Consumption,,0.0,,19490.0,R3 Energy Management,,80.5,,,50.0,,,,,120.9,,,,,,,3.33,60.0,62.5,2.0,,,,,,NEW YORK,2.7,,
808 Broadw,68.0,,,61.0,,,,,,,5.0,23114.6,,,,,,No Selection Made,,,,,,,52.7,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,122.97,,
The Bowery,,,,3602.0,0.0,,,,,,,205600.2,,,,,,No Selection Made,,,,,,,315.2,,,,,,,,,,,480.0,,,,,,0.0,,,1.0,,,,NEW YORK,1093.79,,76.0
66 Crosby,32.0,,,45.0,,,,,,,0.0,9545.5,,,,,2928893.72,No Selection Made,,,,,Bright Power,,88.8,,,65.0,,,,,32.1,,,,,,10000.0,2.2,65.0,0.0,0.0,,,,,,NEW YORK,266.25,,
Cadman Towers,,,,1.0,,,,,,,,,,,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KINGS,,,
Bobst Library,,,,5501.0,,,,,,,,,Library,,,,,No Selection Made,,,,,,,13.0,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,505205.0,
LOWER EAST,0.0,,,2601.0,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
29 Washington Square West,,,,65.0,,,,,,,,649.0,,,,,,No Selection Made,,,,,,,70.9,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,736.92,,
22 East Fi,90.0,,,3602.0,,,,,,29.0,15.0,48005.3,Other,,,,,Whole Facility Energy Consumption,,0.0,,20793.0,,,88.2,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,255.39,15419.0,
Highmount,0.0,,,40.0,,,,,,,12.0,912.1,,,,,,No Selection Made,,,,,,,115.2,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,306.63,,
30 Broad,,,,9.0,,,,,,55.0,,,Other,,,,,No Selection Made,,,,,NYG/DE Green Partners LLC,,64.0,,,40.0,,,,,9227.9,,,,,,,3.1,59.0,0.0,2.0,,,,,,NEW YORK,,397.0,
Stellar -,,,,13.0,,,,,,,,,,,,,,No Selection Made,,,,,,,94.1,,,60.0,,,,,,,,,,,,3.05,,0.0,,,,,,,NEW YORK,,,
80 Fifth Avenue,,,,63.0,,,,,,84.0,,28.2,Health Care: Outpatient,,,,,No Selection Made,,,,,,,75.3,,,45.0,,,,,,,,,,,3610.0,2.74,60.0,0.0,0.0,,,,,,NEW YORK,315.55,8000.0,
20 East 9th Street Corp.,318.0,,,59.0,,,,,,,5.0,342431.9,,,,,,No Selection Made,,,,,,,95.3,,,,,,17.0,,,,,,,,2350.0,,74.0,0.0,0.0,,,,,7588.0,NEW YORK,1821.74,,
60 Henry Street - 39740,5.0,,,8.0,,,,,,,26.0,,,Temporary values used for meter entries<br>,,,,No Selection Made,,,,,Metropolitan Refunds,,57.7,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,,
Smyth Thom,,,,21.0,,,,,,,,,,,,,,No Selection Made,,,,,,,91.6,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,NEW YORK,,,
VLADECK/VL,0.0,,,202.0,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
7 Hubert S,40.0,,,39.0,,,,,,60.0,8.0,48795.3,Restaurant/Cafeteria,,,,,No Selection Made,,,,,,,89.0,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,259.59,2998.0,
19 West 4th Street,,,,59.0,,,,,,,,,College/University (Campus-Level),,,,,No Selection Made,,,,,,,30.3,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,,128679.0,
400 Broome St.,4.0,,,41.0,,,,,,65.0,8.0,71336.8,Restaurant/Cafeteria,,,,,No Selection Made,,,,,,,63.8,,,55.0,,,,,,,,,,,,2.25,65.0,0.0,0.0,,,,,,NEW YORK,379.51,3200.0,
Two Bridge,0.0,,,6.0,,,,,,,20.0,231064.7,,Data > 120 days old<br>,,,1943541.2,No Selection Made,,,,,"DSM Engineering Associates, PC",,121.1,,,,,,,,,,,,,,,,65.0,0.0,0.0,,,,,,NEW YORK,1372.25,,
DEPM 2400 - 17 Battery Place,492.0,,,13.0,,,,,,,22.0,49918.9,,,,,,No Selection Made,,0.0,,25300.0,Aurora Energy Advisors LLC,,97.4,,,65.0,No,,,,,,,,,,,2.2,65.0,0.0,0.0,,,,,,NEW YORK,2430.17,,
116 John Street,,,,1502.0,,,,,,,,,,Data > 120 days old<br>,,,,No Selection Made,,,,,EN-POWER GROUP,,35.8,,,80.0,,,,,,,,,,,,2.92,,0.0,,,,,,,NEW YORK,,,
The Waywes,52.0,,,79.0,,,,,,,15.0,46142.9,,,,,,No Selection Made,,,,,Bright Power,,63.1,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,245.48,,
379 West Broadway LLC,,,,47.0,,,,,,,,49.9,,,,,,No Selection Made,,,,,BAY CITY METERING,,118.0,,,50.0,No,,100.0,,,,,,,,,2.07,,0.0,,,,,,25000.0,NEW YORK,84.89,,
RY - 21 Sp,0.0,,,43.0,,,,,,,5.0,49738.7,,,,,,No Selection Made,,,,,,,39.2,,,,,,,,,,,,,,2445.0,,65.0,0.0,0.0,,,,,,NEW YORK,264.61,,
770 Broadway,,,,57.0,,,5303.0,,,,,188383.0,,,0.0,,,No Selection Made,,,,,,,90.1,,,75.0,,,10.0,,,,,,,,,3.59,70.0,0.0,0.0,,,,,11707.0,NEW YORK,1002.2,,
40 East 9t,137.0,,,59.0,,,,,,65.0,20.0,109757.8,Other,,,,136523.46,Whole Facility Energy Consumption,,,,,Bright Power,,71.1,,,,,,,,1343.4,,,,,,,,,0.0,,,,,,,NEW YORK,593.96,11343.0,
2 W 13th St,,,,63.0,,,,,,115.0,,2466.0,College/University (Campus-Level),,,,4549187.09,No Selection Made,,,,,,,65.7,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,NEW YORK,347.79,206336.0,
VLADECK/VL,0.0,,,202.0,,,,,,,,,,Less than 1 year of data<br>Data > 120 days old<br>,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
85 Broad S,,,,9.0,,,,,,0.0,,,Restaurant/Cafeteria,,,,,No Selection Made,,,,,Jones Lang LaSalle,,,,,,,,551.0,,,,,,,,,,0.0,,0.0,,,,,1093117.0,NEW YORK,,25558.0,
Goldman Sachs Headquarters,,,,31703.0,,,9684.0,,,75.0,,33761.0,Other,,0.0,,,Whole Facility Energy Consumption,,,,,,,117.8,,,,,,5948.0,,,,,,,,,,,0.0,,,,,,1708538.0,NEW YORK,179.61,419559.0,
260 West B,,,,33.0,,,,,,,,,,,,,,No Selection Made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW YORK,,,
410 Grand Street - 36896,0.0,,,1402.0,,,,24.0,,,7.0,,Clinic/Other Outpatient Health,Temporary values used for meter entries<br>,,,,No Selection Made,,,,,Metropolitan Refunds,,42.2,,,,,1.75,,,21315.2,,0.0,,,,1600.0,,65.0,0.0,0.0,,,,,,NEW YORK,,2000.0,
(7366) - 43 Tenants Corp,0.0,,,61.0,,,,,,,10.0,325.7,,,,,,No Selection Made,,,,,FS Energy,,84.4,,,,,,,,,,,,,,,,,0.0,,,,,,,NEW YORK,317.92,,
