prog_contact_last_name,office_tues_from_time,office_wed_to_time,prog_contact_fax_no,office_sat_to_time,program_address_2,office_thurs_from_time,office_mon_from_time
Muzac,,,7182628228.0,,3rd Floor,,
Frankel,9:00 AM,5:00 PM,7184664968.0,,,9:00 AM,9:00 AM
Seebaran,9:00 AM,5:00 PM,3472267651.0,,,9:00 AM,9:00 AM
Guerrero,9:00 AM,5:00 PM,2129878958.0,,Suite 2-E,9:00 AM,9:00 AM
Luburic,9:00 AM,5:00 PM,2123480504.0,1:00 PM,2nd Floor,9:00 AM,9:00 AM
Villegas -Daniels ,9:00 AM,5:00 PM,7185238204.0,,Suite 601,9:00 AM,9:00 AM
Cocks,9:00 AM,9:00 AM,,,,9:00 AM,9:00 AM
"Blumenthal,LMSW",9:00 AM,5:00 PM,2122349407.0,,Room B1,9:00 AM,9:00 AM
Callahan,9:00 AM,5:00 PM,7183720634.0,,2nd Floor,9:00 AM,9:00 AM
Kriemelman,9:00 AM,5:00 PM,7184480509.0,,4th Floor,9:00 AM,9:00 AM
Querbach,9:00 AM,5:00 PM,,,2nd Floor,9:00 AM,9:00 AM
Eboh,9:00 AM,6:00 PM,7183038989.0,1:00 PM,2nd Floor,9:00 AM,9:00 AM
Weber,,,7186553503.0,,,,
Felton-Handley,9:00 AM,5:00 PM,7184488731.0,,,9:00 AM,9:00 AM
Tanneberger,9:00 AM,5:00 PM,7183651411.0,,,9:00 AM,9:00 AM
Ford,8:00 AM,12:00 AM,7182637818.0,12:00 AM,,8:00 AM,8:00 AM
Croban,9:00 AM,5:00 PM,7184309705.0,3:00 PM,2nd Floor,9:00 AM,9:00 AM
Cocks,9:00 AM,5:00 PM,,,,9:00 AM,9:00 AM
Kane,9:00 AM,7:00 PM,7184222263.0,,,9:00 AM,9:00 AM
Channer,9:00 AM,6:00 PM,7184017120.0,5:00 PM,,9:00 AM,9:00 AM
Abusch,9:00 AM,6:00 PM,7187987644.0,,,9:00 AM,9:00 AM
Querbach,9:00 AM,5:00 PM,7189224959.0,,2nd Floor,9:00 AM,9:00 AM
O'Hara-Cicero,9:00 AM,7:00 PM,,,Room 201,9:00 AM,9:00 AM
"Phillips
",9:00 AM,5:00 PM,7185755515.0,,Suite 204,9:00 AM,9:00 AM
Ramos,9:00 AM,5:00 PM,7189930590.0,,Basement,9:00 AM,9:00 AM
Santlofer,9:00 AM,5:00 PM,7182734376.0,,,9:00 AM,9:00 AM
Caraccioli,9:00 AM,5:00 PM,,,,9:00 AM,9:00 AM
Pearce ,9:00 AM,7:00 PM,7189923036.0,2:00 PM,Street Level,9:00 AM,9:00 AM
