program_name,agency_name,program_city
Jamaica Family Center-FT/R - Queens,The Child Center of NY ,Queens
PS 55 Beacon Bronx Prevention Program,Graham Windham,Bronx
Family Link-GP,Mental Health Association of NYC (MHA of NYC),Bronx
Manhattan Preventive Services - GP ,Childrens Aid Society,New York
East Harlem Family Treatment/Rehabilitation,Cardinal McCloskey ,New York
General Preventive Program (Queens),"Community Mediation Services,Inc.",Jamaica
Family Life Medical Dev Prev. Svcs-Brownsville,SCO Family of Services,Kings
Beacon Ties - General Preventive - Manhattan,Graham Windham,New York
Special Medical Prevention Program,Cardinal McCloskey ,Bronx
Far Rockaway Prevention Program - G.P. - Queens,Harlem Dowling Westside,Far Rockaway
Family Center - General Preventive - Bklyn,Church Avenue Merchants Block Association,Brooklyn
Family Treatment /Rehabilitation Program - Queens,Episcopal Community Services,Queens Village
Family Treatment Rehabilitation Program,Saint Dominics Home,Bronx
Brooklyn Family Treatment/Rehabilitation Pgm.,Graham Windham,Kings
NAC - Prevention Services Program - Manhattan,New Alternatives for Children,New York
Family Treatment/Rehabilitation (FT/R) Program,Lutheran Social Services of New York,New York
Children and Family Svcs.- S.I. Preventive,Sauti Yetu Center for African Women and Families,Richmond
Jamaica Family Center General Preventive Program,The Child Center of NY ,Jamaica
Family Life Program I - General Preventive - Bronx,Dominican Sisters,Bronx
Liberty Family Treatment/Rehabilitation Program,Safe Space,Ozone Park
Family Treatment Rehabilitation Pgm. -Far Rockaway,Safe Space,Far Rockaway
Beacon Family Place - General Preventive - Bklyn,Cypress Hills L.D.C,Brooklyn
Truancy Prevention - G.P. - Manhattan,"Harlem Childrens Zone,Inc.",New York
General Preventive,Coalition for Hispanic Family Services,Kings
School Based Preventive - Beacon/General - Queens,Southern Queens P.A.,Jamaica
Brooklyn Preventive Services - General Preventive,Jewish Child Care Association,Brooklyn
Neighborhood Family Services Ctr.- G.P. - Bronx,Graham Windham,Bronx
