latitude,longitude,office_mon_to_time,active_flag
40.705395,-73.798368,,Y
,,5:00 PM,Y
,,5:00 PM,Y
40.802819,-73.947496,5:00 PM,Y
40.801606,-73.936823,5:00 PM,Y
40.704799,-73.796524,5:00 PM,Y
,,9:00 AM,Y
40.819767,-73.944433,5:00 PM,Y
40.816241,-73.918355,6:00 PM,Y
40.630097,-73.947401,5:00 PM,Y
40.737456,-73.876222,9:00 PM,Y
,,8:00 PM,Y
40.679602,-73.946817,5:00 PM,Y
40.705079,-73.798175,5:00 PM,Y
40.680186,-73.94593,5:00 PM,Y
40.640901,-74.075766,5:00 PM,Y
40.814344,-73.917762,9:00 AM,Y
40.631604,-73.947418,6:00 PM,Y
40.753785,-73.993229,5:00 PM,Y
40.63316,-73.983315,5:00 PM,Y
40.621629,-74.078064,5:00 PM,Y
40.755135,-73.932042,5:00 PM,Y
40.700121,-73.913964,5:00 PM,Y
40.684318,-73.909056,5:00 PM,Y
40.603701,-74.004001,9:00 PM,Y
40.802207,-73.954142,5:00 PM,Y
40.861668,-73.891337,5:00 PM,Y
40.79632,-73.947978,,Y
