cy_2005_tco2e_100_yr_gwp,category_label,_2005_2024_change_tco2e_20,cy_2008_source_mmbtu,cy_2018_tco2e_20_yr_gwp,cy_2014_consumed,_2005_2024_change_source,cy_2014_tco2e,cy_2011_tco2e_20_yr_gwp,cy_2005_source_mmbtu,cy_2018_tco2e,cy_2017_source_mmbtu,cy_2005_tco2e_20_yr_gwp,cy_2010_tco2e
0.0,Heavy duty trucks,100.0,0.0,423.78,0.0,100.0,0.0,0.0,0.0,423.35,0.0,0.0,0.0
0.21,Manufacturing and Construction,100.0,8211.31,9.17,302111.86,1600.52436804902,2.0,1.47,4115.43,4.31,67487.58,0.45,0.43
0.0,Passenger cars,100.0,1437.58,7840.07,1583482.92,100.0,0.0,101.96,0.0,0.0,228228.69,0.0,0.0
0.0,Refuse trucks,100.0,0.0,405.34,0.0,100.0,0.0,0.0,0.0,283.11,1972.73,0.0,0.0
2311988.04,Residential,-100.0,26888169.84,48225.08,27329254.41,-100.0,309015.3,2043266.34,30977475.56,48123.0,142378.53,2316892.3,2171922.58
6986699.7,Residential,-27.6065083642576,125981004.97,4648974.98,15056362253.46,2.66229126410273,4784830.92,4862745.18,123273274.2,4643869.64,134252117.47,6996259.92,5379112.75
1.19,Commercial and Institutional,1599.20948616601,46255.36,51.64,1701834.01,1600.52306132793,11.29,8.3,23182.75,24.31,380166.01,2.53,2.4
833690.15,Residential,-71.8251046548049,9463280.83,724530.81,53636327.46,-71.825104846806,589830.43,814259.6,11179200.82,722988.95,10891458.13,835468.09,837604.66
0.0,Heavy duty trucks,100.0,0.0,4865.17,0.0,100.0,0.0,0.0,0.0,3940.4,47865.27,0.0,0.0
0.0,Heavy duty trucks,100.0,0.0,8864.12,0.0,100.0,0.0,0.0,0.0,0.0,47865.27,0.0,0.0
0.0,Heavy duty trucks,100.0,0.0,319.28,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,Passenger cars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068.58,Aviation,-12.6091328350849,27680.79,1901.07,236753.3,-12.609019314862,1986.81,1565.34,29875.44,1901.07,30801.65,2068.58,1898.98
332184.37,Residential,-43.3795944264059,8894117.74,315749.64,2914003579.0,9.68745937136404,322747.39,323601.0,6314357.94,315407.28,8572361.69,332750.46,329461.96
77978.75,Wastewater treatment,-16.5209496176843,0.0,69689.67,255.48,0.0,69745.78,75905.98,0.0,69689.67,0.0,77978.75,76334.62
0.0,For hire vehicles,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362756.54,Heavy duty trucks,-24.5722046575645,18758843.22,1282650.93,567604819.93,-18.8691462635263,1300831.01,1361080.29,18831026.43,1278874.05,18154679.51,1364045.94,1363222.47
0.0,Marine Navigation,100.0,0.0,0.0,22.5,100.0,0.0,0.0,0.0,0.0,106.17,0.0,0.0
0.0,Railways,-8.5526815609698,19428841.25,461374.8,2154131108.12,8.89019323514056,0.0,676129.11,19341796.68,0.0,18310060.41,692354.2,0.0
0.0,School buses,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
