ownerstreetaddress,tenantpostcode,tenantstreetname,routetoelevators,noofbicycleaccomodate,locationofentrances,ownerzipcode,regularhoursofoperation,census_tract,dobdevicenumber,floorsuiterequested,tenantnotificationexcept
200 Fifth Avenue,10011,Fifth Avenue,Cyclists will take bike to loading dock located at the westerly portion of 20th St. Cyclists will press intercom for access to freight elevator at loading dock. Cyclists will be required to wait for the freight elevator operator to respond. Cyclists will be escorted to floor approved on the Bicycle Access Plan.,,"Cyclists will enter and exit through the freight elevator located at the 20th St loading dock and freight elevator only. Access to this entrance is on a first come, first serve basis and cyclists are required to queue up with others making deliveries.",10011,"8:00AM-6:00PM, M-F, excluding weekends and holidays.",54.0,,"2,3,4,5,6,7 and 8",2011-05-15T00:00:00.000
619 West 54th Street,10019,West 54th Street,"Once in the loading dock, ring for the Freight Car.",,624 55th Street Side entrance/exit Door of loading dock.,10019,Monday through Friday (except holidays)7 Am to 12 Noon1PM to 4:45PM,,,7th Floor,1999-01-31T00:00:00.000
750 3 ave,10017,3 ave,"In the loading dock cyclists will take the ""B"" elevator car to the basement level. At the basement level the cyclist will turn left and proceed 25 yards, turn left and proceed 100 yards, turn right & proceed to the freight elevator for bicycle transport to tenant floor.",,Cyclists will enter and exit through the loading dock entrance located on the south side of 47th Street between Lexington Avenue and 3rd Avenue,10017,"Monday through Friday, 8:00am to 4:45am, except holidays.",92.0,,8,2012-06-19T00:00:00.000
708 Third Ave.,10017,Third Avenue,,,,10017,,92.0,1p19081,18th Floor,1999-01-31T00:00:00.000
122 East 42nd Street,10168,East 42nd Street,41st Street freight elevator to subbasement.  Interior hi-rise freight elevator then used to access all floors.,,"125 East 41st Street, Entrance permitted at 41st Street building entrance only",10168,"Business days only (Mon-Fri), 8 a.m. to 5 p.m.",80.0,,Suite 3505,
767 Fifth Avenue,10153,Fifth Avenue,"From the 59th Street loading dock facility entrance, the registered bicycle user must check in with loading dock security for proper screening. The bicycle user must present a valid building access card with the appropriate decal designating them as a registered and authorized bicycle user. After screening, the bicycle user shall access the adjacent freight elevator.",,"The designated entrance and exit for bicycles to the GM Building, 767 Fifth Avenue is the building's loading dock facility located on the Southside of 59th Street between Fifth Avenue and Madison Avenue.",10153,"8:00am-6:00pm, Monday to Friday, excluding Holidays",11202.0,,"3, 4, 5 and 10",2012-05-31T00:00:00.000
7 W 18th St,10011,West 18 street,,,,10011,,54.0,,4,
101 Avenue of the Americas,10013,Avenue of the Americas,Use loading dock entrance to freight elevator to your floor.,,Grand Street entrance between Varick and Avenue of the Americas.,10013,8 a.m. - 4:45 p.m. ONLY! Monday - Friday,37.0,,18-23,2011-05-28T00:00:00.000
730 Fifth Avenue,10016,East 28th Street,The Freight Elevator is located directly behind the Freight Entrance doors at 5 East 28th Street.,,Enter and exit through the Freight Entrance a 5 East 28th Street only.  Bicycles are strictly forbidden in the building's main lobby and passenger elevators.,10019,Monday through Friday 9am to Noon; 1 pm to 5 pm.,74.0,,"5,8,11,12",1999-01-31T00:00:00.000
1251 Avenue of the Americas,10020,Avenue of the Americas,,,,10020,,125.0,,C-1,
521 Fifth Avenue,10010,Park Avenue South,Freight Elevator is located about 20 feet down on the right side of the Freight Lobby.,,The Building's Freight Elevator Entrance is located at the side entrance of the Building on 26th Street between Park Avenue South and Madison Avenue.,10175,8:00am-6:00pm Monday-Friday,56.0,,19th and 20th floor,
100 William Street,10038,William Street,Loading dock ramp leading to freight,,Loading dock entrance on Platt St. between William St. and gold,10038,"8am-12 noon, 1pm-5pm Mon-Fri.  NO WEEKEND OPERATION AND CLOSED ON ALL BUILDING HOLIDAYS",1502.0,,Suite 310,1999-01-31T00:00:00.000
805 Third Ave,10017,E46 Street,,,,10022,,90.0,,All Floors,2010-06-27T00:00:00.000
540 Madison Ave,10022,Madison Ave,"From the 55th Street Entrance, the registered Bicycle Users must  enter the Loading Dock for screening by Building Security.  The Bicycle Users must present a valid Building Identification Card with the appropriate decal designating them as a registered and authorized Bicycle User. After screening, the Bicycle Users shall access the Service Elevator down to the Cellar level and proceed  to the Freight Elevator for access to their floor.",,The designated entrance and exit for bicycles to 540 Madison Avenue is the Building's Receiving/Loading Dock Facility located on the south side of East 55th Street between Madison Avenue and Fifth Avenue.,10022,"8:00am-5:00pm, Monday to Friday, excluding Holidays.",102.0,,16,2011-04-29T00:00:00.000
666 Fifth Ave 4th floor,10010,East 25th Street,Loading area to freight elevator,,"Entrance/Exit will be through the 25th Street freight entrance, between Park Avenue and Lexington Avenue",10103,"8:00 AM to 4:30 PM, Monday through Friday",68.0,,5th & 6th floors,
605 3rd Ave,10158,3rd Ave,Via ramp to Freight Elevators. Take FE to 9th & 10th floors.,,39th Street Loading Dock Entrance,10158,"8 am to 6 pm, Monday -Friday, Regular Business Days",88.0,,9th & 10th,1999-01-31T00:00:00.000
1185 Avenue of the Americas,10017,Avenue of the Americas,,,,10017,,125.0,,38,
625 Madison Ave. 17th Floor,10022,Madison Ave.,Through Freight Corridor from 58th Street Freight Entrance to Freight Eleavator located on the right hand side.,,Freight Entrance located on 58th Street.,10022,"8:00AM - 6:00PM, Monday - Friday",11202.0,,16th and 17th floors,2010-05-06T00:00:00.000
360 Lexington Avenue,10017,Lexington Avenue,,,,10017,,80.0,,1200,
237 park avenue,10017,Park Avenue,,,Any employee of Kelly Services who wishes to bring a bike into the building MUST enter through the loading dock ramp on E.45th street and proceed to wheel their bike through the lobby into their space. At no time shall any employee of Kelly Services use any other entrance aside from the loading dock ramp on E.45th Street to wheel their bike into the building.,10017,,92.0,,237 park avenuekelly services ground floor,1999-01-31T00:00:00.000
16 court street       27th floor,11241,court street,,,,11424,,9.0,,27th floor,
One Bryant Park,10017,East 42nd St,,The attached parking location can accommodate 36 bicycles with expansion.,,10036,,88.0,,Bike room,
1 Metrotech North suite 1004,11201,metro tech center,"Once in the Loading Dock, all Bicycle will be carried up the access ramp to the Loading Dock Platform and through the double swing doors, to access the Freight Elevator(s).Bicycle access will be restricted to the Freight Elevator(s) and only during the specified building operating hours.",,"All Bicycle will enter through the Loading Dock Entrance, which is located under the building drive-through, aka MetroTech Roadway off Lawrence Street.",11201,"Monday through FridayOpen: 8AM to 12PM & 1PM to 5PMClosed: 12PM to 1PM, SAT, SUN & HOLIDAYS",11.0,,1004,
390 Park Ave.,10022,Park Ave.,"Upon entering the Loading dock, proceed up the ramp to the dock platform.  The # 7 elevator will be to the right, proceed to the # 7 elevator and take it to the basement.  Exit the # 7 elevator in the basement and follow the sign for the ""Freight Elevator"".  The ""Freight Elevator"" services floors B- 21, select the appropriate floor for your company.",,"Bicycle Access is via the freight delivery door at the loading dock which is located on the 54th Street side of the building, between Park Avenue and Madison Avenue.",10022,The hours of operation are Monday - Friday 7am - 7pm and Saturday 8am - 1pm.,102.0,,20,1999-01-31T00:00:00.000
61 Broadway,10006,Broadway,There is a sign posted on the Trinity Place Loading Dock door showing the route to the freight elevator.,,Access is through the Loading Dock on Trinity Palce.  One foor south of the Trinity Place entrance to the building,10006,,13.0,,2810,1999-01-31T00:00:00.000
101 Park Avenue,10178,Park Avenue,,Fifteen,,10178,,80.0,,7th Floor,1999-01-31T00:00:00.000
55 Water St,10041,Water St,TEst,TEst,Test,10041,TEst,9.0,Test,Test,
1350 Avenue of the Americas,10019,Avenue of the Americas,,,,10019,,104.0,,"Sanford Wittels & Heisler, 31st Flor",2012-06-29T00:00:00.000
733 3rd Avenue,10017,3rd Avenue,,,,10017,,90.0,,17th,
250 W 55th Street,10019,W 55th Street,,,,10019,,137.0,,C2 level,
444 Madison Avenue,10022,Madison Avenue,"The numbers 9 and 13 freight elevators are to be used to gain access to and exit from the tenanted floors. The approved building employee will enter through the loading dock with his/her bicycle and take the #13 freight elevator to the basement.  They will then transfer to the #9 freight elevator for access to upper floors. Upon leaving the premises, this procedure will be done in reverse.",,The loading dock located on east 50th Street is the only means of ingress/egress for bicycles into the building.,10022,9:00 AM to 5:00 PM - Monday thru Friday,102.0,1F4110,36th Floor,1999-01-31T00:00:00.000
10 Rockefeller Plaza,10020,Rockefeller Plaza,,,,10020,,96.0,,20,
444 Madison Avenue,10022,Madison Avenue,,,,10022,,102.0,,38th Floor,
295 Madison Ave,10006,Rector Street,,,,10017,,13.0,,1500,1999-01-31T00:00:00.000
100 Park Ave,10017,Park Ave,,,,10017,,82.0,,1600,1999-01-31T00:00:00.000
1633 Broadway,10019,Broadway,Through the loading dock to the freight vestibule located on the ground floor.,,Loading dock on 51st Street between Broadway and 8th Avenue.,10019,"8am to 6pm, Monday through Friday, excluding building holidays.",131.0,,19th Floor,1999-01-31T00:00:00.000
3 Bryant Park,10036,Avenue of America,,,,10036,,113.0,,13th floor and 15th floor,
545 Fifth Avenue,10016,Park Avenue South,,,,10017,,74.0,,"5th floor, 460 Park Avenue South",1999-01-31T00:00:00.000
445 Park Avenue,10011,Fifth Avenue,,,,10022,,54.0,,11th floor,1999-01-31T00:00:00.000
41 Madison Avenue,10010,Madison Avenue,,,,10010,,56.0,,1,
599 Lexington Ave,10022,Lexington Ave,,,,10022,,100.0,,28th Floor,
165 Broadway,10006,Broadway,,,,10006,,13.0,,Floors 16 - 18,
55 East 52nd Street,10055,East 52nd Street,,,,10055,,102.0,,29,1999-01-31T00:00:00.000
19 West 44th Street,10036,West 44th Street,,,,10036,,96.0,,601,1999-01-31T00:00:00.000
One Whitehall Street,10004,Whitehall Street,,30,,10004,,9.0,,14th Floor,
"9 West 57th Street, 30th Floor",10003,East 16th St,,,,10003,,52.0,,7,
28 West 44th St.,10036,West 44th Street,Cyclists will take bikes straight into the building's basement and use the freight elevator for bicycle transport up to their suite.,18,Cyclists will enter and exit through the sidewalk car on 44th Street leading down to the basement.,10036,Hours of operation for the sidewalk car and freight elevator are Monday to Friday 8:00 AM to 5:00 PM,96.0,,11/12,1999-01-31T00:00:00.000
641 Lexington Ave,10022,Lexington Ave,through the freight entrance following the corridor to the Freight elevator,,Freight entrance of 641 Lexington Avenue located on 54th Street,10022,8am to 6pm Monday to Friday,100.0,,11th fl,1999-01-31T00:00:00.000
400 Park Ave,10022,Park Ave,,,,10022,,102.0,,610 & 620,
420 Lexington Avenue,10170,Lexington Avenue,,,,10170,,92.0,,9th,
250 West 57 Street,10019,West 57,"Cyclists will then access the internal freight elevator (car # 8) located on the east side of the property, through the basement corridor.  For egress, the same elevator is to be used.",,Cyclist will enter/exit the building via the Freight Entrance on 8th Avenue (between 56th and 57th Street) and take the # 13 elevator to the basement level.,10019,"Freight service is available on a first come, first served basis from 8:00 AM to 5:00 PM.",137.0,,1801,2012-08-04T00:00:00.000
41 Madison Avenue,10010,Madison Avenue,Freight entrance thru freight hallway to freight elevator,,Freight entrance on 26th street side of Madison Ave,10010,"8am to 6pm, Monday to Friday",56.0,,35th Floor,
335 Madison Ave.,10017,Madison Ave.,,,,10017,,94.0,,880,
420 Lexington Avenue,10170,Lexington Ave.,"Enter through loading dock.  Walk up ramp, follow corridor to freight elevators. Freight elevators access floors Mezzanine through 30.",,Depew Place/Loading Dock Area. Located off of 45th Street between Lexington Avenue and Vanderbilt Avenue.,10170,7:00AM - 5:30PM,92.0,,300,2013-08-31T00:00:00.000
100 Park Avenue,10017,Park Avenue,"The loading dock freight elevator will take the tenant to the basement, where the tenant will proceed down a corridor to the service freight elevator.  The service freight elevator can access all floors.",,The loading dock is located on 40th Street between Park Avenue and Madison Avenue.,10017,8:00 am to 5:00 pm,82.0,,"2nd, 3rd and 14th floor",1999-01-31T00:00:00.000
575 Madison Avenue,10018,Broadway,"Freight elevator accessed via loading dock entrance on 237 East 44th Street, New York, NY",,"237 East 44th Street, NY NY 10017 (rear of 228 East 45th Street building)",10022,8 am to 5 pm - Monday through FridayClosed between Noon to 1 pm for lunchno service on holidays,113.0,,Suite 1615,1999-01-31T00:00:00.000
380 Madison Avenue,10017,Madison Ave,,"3-level parking garage is 44,453 square feet",,10017,,94.0,1P22961,All Floors,2010-06-19T00:00:00.000
605 Third Avenue,10158,Third Avenue,"39th Street Entrance, follow signs down ramp to freight elevators",,39th Street Loading Dock,10158,8 am to 6 pm - Monday - Friday on Normal Business Days,88.0,,"27, 28, 29, 30, 31",1999-01-31T00:00:00.000
311 West 43rd St,10036,W 43rd St,,,,10036,,12101.0,1P6833,8th and 9th floor,
20 Broad Street,10005,Broad Street,Lower Level 2,,Freight Entrance New Street,10005,8AM-5PM,7.0,,709,1999-01-31T00:00:00.000
1212 Avenue of the Americas,10036,Avenue of the Americas,"UPON ENTRY OF SERVICE ENTRANCE,  FOLLOW CORRIDOR LEADING YOU TO FREIGHT ELEVATOR CAR # 6",,LOCATION OF ENTRANCE / EXIT IS ON 48TH STREET (SERVICE ENTRANCE TO LOADING DOCK),10036,REGULAR OPERATING HOURS FOR FREIGHT ELEVATOR IS 8AM-5PM (MONDAY-FRIDAY),96.0,,"5,6,7,9,12,14,15",
11 West 42nd st,10036,West 42nd Street,,We plan on initially establishing space for 35 bikes and expand as needed,,10036,,96.0,,basement,2011-04-09T00:00:00.000
225 Liberty Street,10281,Liberty Street,,,Entrance to the Van Dock is located at the corner of Liberty and West Street,10281,,31703.0,,,
