requestid,indexnumber,tenantname,dateofelevator,tenantbuildingnumber,tenantcity,alternateparkinglocation,dateofrequest,tenantstatecode,alternateparkingdescription,dateofbuilding,iscartop,requestdateofentry,ownerstatecode,tenantfloor,methodofelevator
1210,BIB12000148,"OppenheimerFunds, Inc.",,225,New York,,2012-05-22T00:00:00.000,NY,,,,2012-05-22T00:00:00.000,NY,12,
2019,BIB14000268,Time Warner Cable Inc.,,1633,New York,,,NY,,,,,NY,40th,
732,BIB11000005,DekaBank,,1330,New York,,2011-01-31T00:00:00.000,NY,,,,2011-01-31T00:00:00.000,NY,23,
1453,BIB13000008,Carl marks & co LLP,,900,New York,,2013-01-25T00:00:00.000,NY,,,,2013-01-14T00:00:00.000,NY,33,
832,BIB11000105,"Colebrooke Capital, Inc.",,645,New York,,2011-05-12T00:00:00.000,NY,,,,2011-05-12T00:00:00.000,NY,8th Floor,
582,BIB10000505,SEIU Local 32BJ,,101,new york,,2010-07-06T00:00:00.000,NY,,,,2010-07-06T00:00:00.000,NY,21,
687,BIB10000610,"LONG POINT CAPITAL, INC.",,437,New York,,2010-10-06T00:00:00.000,NY,,,,2010-10-06T00:00:00.000,NY,32,
1168,BIB12000106,New York City Fire Department,,9,New York,,2012-04-20T00:00:00.000,NY,,,,2012-04-20T00:00:00.000,NY,8 E 10,
568,BIB10000491,Anti-Defamation League,,605,New York,,2010-06-28T00:00:00.000,NY,,,,2010-06-28T00:00:00.000,NY,10,
1447,BIB13000002,A.T. Kearney,,1459,New  York,,2013-01-04T00:00:00.000,NY,,,,2013-01-04T00:00:00.000,NY,36,
2588,BIB17000116,Zizza & Associates,,641,New York,,,NY,,,,,NY,1702,
692,BIB10000615,Regent Business Centers,,750,New York,,2010-10-13T00:00:00.000,NY,,,,2010-10-13T00:00:00.000,NY,9,
2176,BIB15000149,Amazon,,7,New York,,,NY,,,,,NY,6,
64,BIB09000064,"Organic, Inc.",,1375,New York,,2009-12-18T00:00:00.000,NY,,,,2009-12-18T00:00:00.000,NY,8th Floor,
1142,BIB12000080,Perella Weinberg Partners,,767,New York,,2012-04-09T00:00:00.000,NY,,,,2012-04-09T00:00:00.000,NY,10th floor,
2698,BIB18000076,Swann Galleries,,104,New York,,,NY,,,,,NY,6th Floor,
1960,BIB14000209,Fusion Academy,,1,New York,,,NY,,,,2014-09-11T16:37:32.000,NY,1004,
2442,BIB16000194,marcus & millichap,,16,Brooklyn,,,NY,,,,,NY,2A,
1060,BIB11000333,Central Brooklyn Medical Group PC,,1,Brooklyn,,2011-12-29T00:00:00.000,NY,,,,2011-12-29T00:00:00.000,NY,9,
2618,BIB17000146,Elizabeth Gillett Ltd,,260,New York,,,NY,,,,,NY,802,
2238,BIB15000211,"Fedcap Rehabilitation Services, Inc.",,205,New York,Alternate bicycle parking will be provided at a secured convenient area located at 210 East 43rd Street (see attached plan).,,NY,"Sufficient bicycle parking will be accommodated via self supported bicycle storage racks located within the premises identified in ""A"" above.",,,,NY,2,
799,BIB11000072,Ann Inc.,,7,New York,,2011-04-22T00:00:00.000,NY,,,,2011-04-22T00:00:00.000,NY,4th Floor,
2294,BIB16000046,Orsid Realty Corp.,,1740,New York,,2016-04-28T00:00:00.000,NY,,,,2016-05-16T11:37:03.000,NY,2,
1133,BIB12000071,NYU Langone Medical Center,,1,New York,,2012-04-05T00:00:00.000,NY,,,,2012-04-05T00:00:00.000,NY,11-059,
1702,BIB13000257,Jamesbeck Global Partners,,150,New York,,,NY,,,,2013-09-06T10:58:00.000,NY,31,
2074,BIB15000047,The NHP Foundation,,122,New York,,,NY,,,,,NY,3500,
1307,BIB12000245,Matthew Ziehl,,225,New York,,2012-07-23T00:00:00.000,NY,,,,2012-07-23T00:00:00.000,NY,Street Lev,
1277,BIB12000215,"GRACE Communications Foundation, Inc.",,215,New York,,2012-06-25T00:00:00.000,NY,,,,2012-06-25T00:00:00.000,NY,1001,
952,BIB11000225,"FirstMark Capital, LLC",,120,New York,,2011-08-09T00:00:00.000,NY,,,,2011-08-09T00:00:00.000,NY,19th Floor,
1639,BIB13000194,AMP Capital,,777,New Yokr,,,NY,,,,2013-07-08T11:50:36.000,NY,19c,
30,BIB09000030,John Jay College of Criminal Justice-CUNY,,619,New York,,2009-12-14T00:00:00.000,NY,,,,2009-12-14T00:00:00.000,NY,7th Floor,
1456,BIB13000011,Original Media,,175,New York,,2013-01-29T00:00:00.000,NY,,,,2013-01-29T00:00:00.000,NY,7th Floor,
157,BIB10000080,Solomon Blum Heymann LLP,,40,New York,,2010-02-04T00:00:00.000,NY,,,,2010-02-04T00:00:00.000,NY,35,
1242,BIB12000180,Paul M. Chazan,,250,New York,,2012-06-07T00:00:00.000,NY,,,,2012-06-07T00:00:00.000,NY,1619,
2180,BIB15000153,Namely,,195,New York,,2015-08-04T00:00:00.000,NY,,,,2015-08-21T00:00:00.000,NY,15,
343,BIB10000266,Trust Company of the West,,1251,New York,,2010-04-14T00:00:00.000,NY,,,,2010-04-14T00:00:00.000,NY,4700,
2100,BIB15000073,"NAACP Legal Defense and Educational Fund, Inc.",,40,New York,,,NY,,,,,NY,5,
1206,BIB12000144,Sanford Wittels & Heisler,,1350,New York,,2012-05-22T00:00:00.000,NY,,,,2012-05-22T00:00:00.000,NY,31,
175,BIB10000098,GlobalSource Partners,1929-01-01T00:00:00.000,708,New York,,2010-02-17T00:00:00.000,NY,,1929-01-01T00:00:00.000,Yes,2010-02-17T00:00:00.000,NY,18th Floor,MANUAL
2541,BIB17000069,The Rohatyn Group/TRG Management,,280,New York,,,NY,,,,,NY,30W,
973,BIB11000246,"Garson DeCorato & Cohen, LLP",,110,New York,Pine-Water Garage LLC located at 80 Pine St,2011-08-31T00:00:00.000,NY,Interior parking garage with secure bicycle area,,,2011-08-31T00:00:00.000,NY,10,
2165,BIB15000138,Taconic Capital Advisors,,280,New York,,,NY,,,,,NY,5th Floor,
434,BIB10000357,Friedman Kaplan Seiler & Adelman LLP,,1633,New York,,2010-05-11T00:00:00.000,NY,,,,2010-05-11T00:00:00.000,NY,46,
2599,BIB17000127,Elena Felitto,,122,New York,,,NY,,,,,NY,4500,
2198,BIB15000171,GoldenTree Asset Management,,750,New York,,,NY,,,,,NY,15,
474,BIB10000397,"ESPN, Inc.",,605,New York,,2010-05-21T00:00:00.000,NY,,,,2010-05-21T00:00:00.000,NY,8th Floor,
2533,BIB17000061,Tribeca Business Management,,420,New York City,,,NY,,,,,NY,1756,
