bx_westchester_unionport,bk_gravesend,qn_rego_park,bk_brighton_beach,qn_briarwood_jamaica_hills,mn_manhattanville,bk_williamsburg,mn_washington_heights_south,bx_university_heights_morris,mn_stuyvesant_town_cooper,qn_maspeth,mn_gramercy,qn_east_flushing,si_stapleton_rosebank,bk_starrett_city,bin,street_address_mailing_address,qn_glendale,qn_middle_village,bx_north_riverdale_fieldston,bx_hunts_point,boroughs_served,si_rossville_woodrow,bx_highbridge,qn_springfield_gardens_north,mn_murray_hill_kips_bay,mn_west_village,city,longitude,bx_soundview_castle_hill,bk_crown_heights_south,mn_east_harlem_north,mn_lincoln_square,interest_areas,bk_east_new_york_pennsylvania,qn_pomonok_flushing_heights,nta,bk_kensington_ocean_parkway
,,,,,,,,,,,,,Stapleton-Rosebank,,1001357.0,"1 Pace Plaza, room Y31",,,,,All Boroughs,Rossville-Woodrow,,,,,New York,-74.005843,,,,,"Advocacy and organizing, Civic engagement (voting, voter registration), Education and literacy",,,Battery Park City-Lower Manhattan,
,,,,,,,,,,,,,,,5047048.0,950 W. Fingerboard Rd.,,,,,SI,,,,,,Staten Island,-74.087583,,,,,Small Business Development,,,Old Town-Dongan Hills-South Beach,
,,,,,,,,,,,,,,,5023730.0,100 Park Ave,,,,,SI,,,,,,Staten Island,-74.131884,,,,Lincoln Square,"Advocacy and organizing, Children and youth related, Homeless and shelter, Immigrants and/or refugees",,,Port Richmond,
,Gravesend,,,,,,,,,,,,,,,"60 Park Place, Sutie 404",,,,,"BK, MN, BX, QN",,,,,,Newark,,,,,,Children and youth related,,,,
,,,,,,,,,,,,,,,4257866.0,"143-22 109th ave,",,,,,QN,,,,,,Jamaica,-73.803554,,,,,"Arts and culture, Education and literacy, Senior Services",,,South Jamaica,
,,,,,,,,,Stuyvesant Town-Cooper Village,,,,,,1030519.0,"2095 Broadway, Suite 409",,,,,All Boroughs,,,,,,New York,-73.981921,,,,,"Human services, Senior Services, Family Caregivers",,,Lincoln Square,
,,,,,,,,,,,,,,,4436677.0,43-31 39th Street,,,,,All Boroughs,,,,,,Sunnyside,-73.925909,,,,,"Advocacy and organizing, Animals, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Human rights, Human services, Immigrants and/or refugees, Justice-related, People with disabilities, Senior Services, Caregiver services",,,Hunters Point-Sunnyside-West Maspeth,
Westchester-Unionport,Gravesend,Rego Park,Brighton Beach,Briarwood-Jamaica Hills,Manhattanville,Williamsburg,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,Maspeth,Gramercy,East Flushing,Stapleton-Rosebank,Starrett City,4047310.0,59-17 Junction Blvd.,Glendale,Middle Village,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,Rossville-Woodrow,Highbridge,Springfield Gardens North,Murray Hill-Kips Bay,West Village,Elmhurst,-73.864774,Soundview-Castle Hill-Clason Point-Harding Park,Crown Heights South,East Harlem North,Lincoln Square,"Environment and sustainability, All Aspect of Environmental Protection",East New York (Pennsylvania Ave),Pomonok-Flushing Heights-Hillcrest,Corona,Kensington-Ocean Parkway
,,,,,,,,,,,,,,,1001289.0,"100 Gold Street, Suite 3100",,,,,"BK, MN, SI, QN",,,,,,New York,-74.004007,,Crown Heights South,,,"Employment and workforce development, Environment and sustainability",,,Battery Park City-Lower Manhattan,
,,,,,,,,,,,,,,,3388767.0,364 90th Street apt. 1A (mailing only),,,,,BK,,,,,,Brooklyn,-74.030532,,,,,"Children and youth related, Immigrants and/or refugees, mental health",,,Bay Ridge,
Westchester-Unionport,,,,,Manhattanville,,Washington Heights South,University Heights-Morris Heights,Stuyvesant Town-Cooper Village,,Gramercy,,,,1006817.0,232 East 11th Street,,,North Riverdale-Fieldston-Riverdale,Hunts Point,All Boroughs,,Highbridge,,Murray Hill-Kips Bay,West Village,New York,-73.987433,Soundview-Castle Hill-Clason Point-Harding Park,,East Harlem North,Lincoln Square,"Advocacy and organizing, Environment and sustainability, Historic Preservation & Land Use",,,East Village,
,,,Brighton Beach,,,,,,,,,,,,2001065.0,"192 E 151st Street, 5th FL",,,,,"MN, BX",,,,,,The Bronx,-73.927032,,,East Harlem North,,"Children and youth related, Education and literacy, Immigrants and/or refugees",,,West Concourse,
Westchester-Unionport,,,,,,,,University Heights-Morris Heights,,,,,,,3144119.0,411 64th street,,,,,BK,,,,,West Village,Brooklyn,-74.020221,Soundview-Castle Hill-Clason Point-Harding Park,,,,Education and literacy,,,Sunset Park West,
,Gravesend,,,,Manhattanville,Williamsburg,Washington Heights South,,,,,,Stapleton-Rosebank,,1083624.0,"520 8th Avenue, 5th Floor",Glendale,,North Riverdale-Fieldston-Riverdale,Hunts Point,"BK, MN, BX, QN",,Highbridge,Springfield Gardens North,,,New York,-73.992417,Soundview-Castle Hill-Clason Point-Harding Park,,East Harlem North,,"Senior Services, Holocaust Survivors",East New York (Pennsylvania Ave),,Midtown-Midtown South,
,,,,,,,,,,,,,,,1030337.0,250 West 64th Street,,,North Riverdale-Fieldston-Riverdale,,All Boroughs,,,,,,New York,-73.987266,Soundview-Castle Hill-Clason Point-Harding Park,,,,"Children and youth related, People with disabilities, Senior Services",,,Lincoln Square,
