q37_1_1,weight,q37_11,q34_1,q37_3,q25_6,q2,q46_7,q49a_1,q46_3,q46_5
,0.0528,,,,2,1,2.0,0,2.0,2.0
,0.0329,,,,2,1,,0,,
,3.4326,,,,2,1,1.0,0,1.0,1.0
,2.9021,,,,2,1,,0,,
,0.0178,,,,1,1,2.0,0,-1.0,2.0
,3.5636,,,,2,1,,0,,
,0.2195,,,,1,1,,0,,
,0.1106,,,,1,1,,0,,
2.0,1.6823,2.0,2.0,1.0,2,1,1.0,0,1.0,2.0
,0.0178,,,,1,1,,0,,
,1.5917,,,,2,1,,0,,
1.0,0.962,1.0,2.0,2.0,2,1,2.0,0,2.0,2.0
,0.2071,,,,1,1,,0,,
2.0,2.942,1.0,1.0,1.0,2,1,1.0,0,1.0,2.0
2.0,0.8643,2.0,2.0,2.0,2,1,2.0,0,2.0,2.0
,0.3775,,,,2,1,2.0,0,1.0,2.0
1.0,1.2386,1.0,2.0,1.0,2,1,2.0,1,1.0,1.0
2.0,1.3568,2.0,2.0,2.0,2,1,,0,,
2.0,1.0744,1.0,2.0,2.0,2,1,1.0,0,2.0,2.0
,2.1207,,,,2,1,2.0,0,1.0,2.0
1.0,0.3252,2.0,2.0,1.0,2,1,2.0,1,1.0,2.0
,1.1201,,,,2,1,1.0,0,1.0,1.0
,5.7159,,,,2,1,1.0,0,1.0,1.0
2.0,5.1311,1.0,1.0,2.0,2,1,1.0,1,2.0,2.0
,0.3494,,,,2,1,2.0,0,2.0,2.0
,1.5948,,,,2,1,2.0,1,1.0,2.0
,0.9043,,,,2,1,2.0,0,2.0,2.0
,0.1216,,,,2,1,1.0,0,1.0,1.0
,0.0669,,,,2,1,,0,,
,0.5033,,,,2,1,,0,,
,1.6277,,,,2,1,,0,,
,0.7782,,,,2,1,2.0,0,1.0,2.0
2.0,0.4494,1.0,2.0,2.0,2,1,1.0,0,2.0,2.0
,1.6494,,,,2,1,,0,,
,0.0178,,,,2,1,,0,,
2.0,6.0853,2.0,2.0,2.0,2,1,2.0,0,2.0,2.0
2.0,0.2189,2.0,1.0,2.0,2,1,2.0,0,2.0,2.0
2.0,1.1562,1.0,2.0,2.0,2,1,1.0,0,2.0,2.0
,0.0946,,,,1,1,,0,,
,0.1953,,,,2,1,2.0,0,2.0,2.0
,0.4867,,,,1,1,,0,,
2.0,1.2207,2.0,2.0,2.0,2,1,2.0,1,2.0,2.0
,2.0533,,,,1,1,,0,,
,0.1671,,,,2,1,,0,,
2.0,0.8041,2.0,1.0,1.0,2,1,2.0,0,1.0,2.0
,0.5779,,,,2,1,,0,,
,0.0566,,,,1,1,,0,,
,0.5817,,,,2,1,2.0,0,2.0,2.0
2.0,0.5777,1.0,1.0,1.0,2,1,1.0,0,1.0,2.0
,0.9152,,,,2,1,1.0,0,1.0,1.0
1.0,0.2966,1.0,2.0,1.0,2,1,,0,,
2.0,0.4504,1.0,2.0,2.0,2,1,1.0,0,2.0,2.0
,0.6146,,,,2,1,2.0,0,2.0,2.0
,0.0178,,,,2,1,1.0,0,2.0,2.0
2.0,0.651,1.0,2.0,2.0,2,1,1.0,0,2.0,2.0
,1.134,,,,2,1,,0,,
2.0,0.4186,2.0,2.0,2.0,2,1,2.0,0,1.0,2.0
,0.2338,,,,2,1,,0,,
2.0,0.2854,2.0,2.0,2.0,2,1,2.0,0,2.0,2.0
,0.0681,,,,2,1,,0,,
,0.1232,,,,2,1,,0,,
2.0,2.7821,1.0,2.0,1.0,2,1,1.0,0,1.0,1.0
,0.1909,,,,2,1,2.0,0,1.0,2.0
1.0,5.0588,1.0,1.0,1.0,2,2,,0,,
,0.4546,,,,2,1,,0,,
,0.0599,,,,2,1,,0,,
,4.0199,,,,2,1,2.0,0,1.0,2.0
,6.0853,,,,2,1,,0,,
,0.1058,,,,2,1,,0,,
,0.2249,,,,2,1,,0,,
2.0,2.8768,1.0,2.0,-1.0,2,1,1.0,0,1.0,1.0
,1.357,,,,2,1,2.0,0,1.0,1.0
,0.0869,,,,2,1,,0,,
,0.4567,,,,1,1,2.0,0,2.0,2.0
2.0,0.8643,2.0,2.0,2.0,2,1,,0,,
,2.4085,,,,2,1,,0,,
,0.1171,,,,2,1,,0,,
,6.0853,,,,2,1,,0,,
,0.3172,,,,2,1,1.0,0,1.0,2.0
,0.612,,,,2,1,,0,,
,2.6901,,,,2,1,,0,,
2.0,1.2016,1.0,2.0,2.0,2,1,,0,,
,0.0178,,,,2,1,,0,,
2.0,0.6234,2.0,2.0,1.0,2,1,1.0,0,1.0,2.0
,6.0853,,,,2,1,,0,,
,0.6095,,,,2,1,2.0,0,1.0,2.0
,0.2151,,,,2,1,1.0,0,1.0,2.0
,1.3698,,,,2,1,2.0,0,2.0,2.0
,0.3776,,,,2,1,,0,,
1.0,1.2598,1.0,2.0,1.0,2,1,1.0,0,1.0,1.0
,0.9773,,,,2,1,2.0,0,1.0,2.0
,0.0998,,,,2,1,,0,,
2.0,0.3709,2.0,2.0,2.0,2,2,,0,,
,1.4502,,,,2,1,,0,,
,0.7789,,,,2,1,1.0,0,1.0,2.0
,0.2322,,,,2,1,1.0,0,1.0,2.0
,0.0342,,,,1,1,,0,,
2.0,0.6497,2.0,2.0,1.0,2,1,2.0,0,1.0,2.0
2.0,6.0853,2.0,2.0,2.0,2,1,2.0,0,2.0,2.0
2.0,0.2601,1.0,2.0,1.0,2,1,1.0,0,1.0,1.0
1.0,0.6901,2.0,1.0,2.0,-1,1,2.0,0,2.0,2.0
,0.2689,,,,2,1,,0,,
2.0,0.3613,2.0,2.0,2.0,2,1,,0,,
,0.0223,,,,2,1,,0,,
2.0,0.3451,2.0,2.0,2.0,2,1,2.0,0,2.0,2.0
,0.2759,,,,2,1,,0,,
,0.2325,,,,1,1,,0,,
,0.7474,,,,2,1,,0,,
2.0,0.0386,2.0,1.0,1.0,1,1,2.0,0,2.0,2.0
,0.6007,,,,2,1,,0,,
,0.7275,,,,2,1,1.0,0,1.0,1.0
,0.4869,,,,1,1,,0,,
,0.0178,,,,2,1,2.0,0,2.0,2.0
,0.1143,,,,2,1,2.0,0,2.0,2.0
,0.2899,,,,1,1,,0,,
