address_1,enclosed_mall_gross_floor,number_of_buildings,last_modified_date_property_2,hospital_general_medical,property_gfa_calculated_2,strip_mall_gross_floor_area,data_center_ups_output_meter,parking_completely_enclosed,data_center_it_source_energy,municipally_supplied_potable_2,national_median_source_eui,city,supermarket_grocery_number_1,data_center_it_site_energy,last_modified_date_electric,municipally_supplied_potable,multifamily_housing_gross,natural_gas_weather_normalized_1,wholesale_club_supercenter,weather_normalized_source,metered_areas_energy,community_board,bank_branch_gross_floor_area,_2nd_largest_property_use,financial_office_weekly,green_power_onsite_and_offsite,alert_energy_meter_has_gaps,data_center_ups_system,national_median_total_location,data_center_national_median,estimated_values_energy,multifamily_housing_number_2,senior_living_community_living,district_hot_water_use_kbtu,financial_office_number_of_1,water_use_all_water_sources,retail_store_gross_floor,target_energy_star_score,borough,kerosene_use_kbtu,hospital_general_medical_7,electricity_weather_normalized,medical_office_number_of_1,k_12_school_gross_floor_area,senior_living_community_gross,percent_of_recs_retained
165-25 Jamaica Ave,Not Available,1,2022-08-10T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,616.4,189.8,Queens,Not Available,Not Available,2023-04-13T00:00:00.000,Not Available,Not Available,0.4,Not Available,129.1,Whole Property,412.0,Not Available,Retail Store,Not Available,0,Ok,Not Available,465.5,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,616.4,11000,Not Available,QUEENS,Not Available,Not Available,582052.9,Not Available,Not Available,Not Available,Not Available
23-25 31 Street,Not Available,1,2022-04-21T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1299.4,290.5,Queens,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0,Not Available,139.1,Whole Property,401.0,Not Available,Office,Not Available,0,Ok,Not Available,666,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,1299.4,Not Available,Not Available,QUEENS,Not Available,Not Available,1078590.6,0,Not Available,Not Available,Not Available
131 West 35th Street,Not Available,1,2023-02-01T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,671.5,189.2,New York,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,Not Available,0,Not Available,113.6,Whole Property,105.0,Not Available,Not Available,Not Available,0,Ok,Not Available,703.2,Not Available,No,Not Available,Not Available,Not Available,Not Available,671.5,Not Available,Not Available,MANHATTAN,Not Available,Not Available,828149.1,Not Available,Not Available,Not Available,Not Available
382 Willoughby Ave,Not Available,1,2023-04-27T00:00:00.000,Not Available,9975,Not Available,Not Available,9975,Not Available,Not Available,109.6,Brooklyn,Not Available,Not Available,2023-04-10T00:00:00.000,Not Available,64923,0.3,Not Available,82.8,Whole Property,303.0,Not Available,K-12 School,Not Available,0,Ok,Not Available,314.7,Not Available,No,0,Not Available,Not Available,Not Available,Not Available,Not Available,90,BROOKLYN,Not Available,Not Available,424489.1,Not Available,12000,Not Available,Not Available
42-37 Hampton Street,Not Available,1,2023-02-06T00:00:00.000,Not Available,5000,Not Available,Not Available,5000,Not Available,3408.6,118.4,Queens,Not Available,Not Available,2023-03-03T00:00:00.000,Not Available,67898,0.4,Not Available,89,Whole Property,404.0,Not Available,Parking,Not Available,0,Ok,Not Available,378.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,3408.6,Not Available,Not Available,QUEENS,Not Available,Not Available,207724.5,Not Available,Not Available,Not Available,Not Available
355 East 10th Street,Not Available,1,2022-03-29T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3224.9,136.1,New York,Not Available,Not Available,2023-03-10T00:00:00.000,Not Available,38520,85.8,Not Available,137.2,Whole Property,103.0,Not Available,Not Available,Not Available,0,Ok,Not Available,227.3,Not Available,No,0,Not Available,Not Available,Not Available,3224.9,Not Available,Not Available,MANHATTAN,Not Available,Not Available,190126.5,Not Available,Not Available,Not Available,Not Available
4420 15th Ave.,Not Available,1,2019-03-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122.1,Brooklyn,Not Available,Not Available,2023-03-04T00:00:00.000,Not Available,Not Available,0.6,Not Available,137.4,Whole Property,312.0,Not Available,Not Available,Not Available,0,Ok,Not Available,315.5,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BROOKLYN,Not Available,Not Available,512721.9,Not Available,65792,Not Available,Not Available
127-92 Willets Point Boulevard,Not Available,3,2022-09-23T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.9,Corona,Not Available,Not Available,,Not Available,Not Available,7.5,Not Available,143,Whole Property,407.0,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Not Available,0,Ok,Not Available,153.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,QUEENS,Not Available,Not Available,1316474.8,Not Available,Not Available,Not Available,Not Available
4315 Webster Ave,Not Available,1,2020-02-28T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3215.5,138.3,Bronx,Not Available,Not Available,2023-04-07T00:00:00.000,Not Available,61819,0,Not Available,39.4,Whole Property,212.0,Not Available,Not Available,Not Available,0,Ok,Not Available,277.8,Not Available,No,0,Not Available,Not Available,Not Available,3215.5,Not Available,90,BRONX,Not Available,Not Available,225595.5,Not Available,Not Available,Not Available,Not Available
326 East 201 Street,Not Available,1,2023-07-05T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,129.4,Bronx,Not Available,Not Available,2023-07-19T00:00:00.000,Not Available,28555,0,Not Available,72.9,Whole Property,207.0,Not Available,Not Available,Not Available,0,Ok,Not Available,191.4,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,BRONX,Not Available,Not Available,100514.4,Not Available,Not Available,Not Available,Not Available
