indicator_1_6,indicatoroverall_4,indicator_2_6,start_date,indicator_4_7,indicator_5_2,indicatoroverall_5,indicator_1_4,indicator_1_3
No Data,U,No Data,39115,U,U,U,U,P
No Data,P,No Data,39115,WD,P,P,P,P
No Data,WD,No Data,38869,WD,WD,WD,WD,WD
No Data,WD,No Data,39093,WD,P,WD,P,P
No Data,WD,No Data,39120,P,P,WD,WD,P
No Data,P,No Data,39161,P,U,U,U,U
No Data,P,No Data,39055,P,P,P,P,U
No Data,U,No Data,39114,U,U,U,P,U
No Data,P,No Data,39121,U,U,U,U,P
No Data,P,No Data,39027,P,P,P,U,P
No Data,P,No Data,39002,P,P,P,U,P
No Data,P,No Data,39036,WD,P,P,P,P
No Data,P,No Data,39153,WD,P,U,U,P
No Data,WD,No Data,39169,P,WD,P,P,P
No Data,U,No Data,39105,U,U,U,U,U
No Data,WD,No Data,38814,WD,WD,WD,WD,WD
No Data,WD,No Data,39049,WD,WD,WD,WD,WD
No Data,P,No Data,39058,P,P,P,P,WD
No Data,WD,No Data,39153,WD,WD,WD,WD,P
No Data,WD,No Data,39153,WD,P,P,P,P
No Data,P,No Data,38867,P,P,P,P,P
No Data,WD,No Data,38847,WD,P,P,P,P
No Data,WD,No Data,39141,WD,WD,WD,WD,WD
No Data,P,No Data,39153,P,P,P,P,P
No Data,WD,No Data,39062,WD,WD,WD,WD,WD
No Data,WD,No Data,38852,WD,WD,WD,P,P
No Data,WD,No Data,38854,WD,WD,WD,WD,WD
No Data,WD,No Data,39062,WD,P,P,P,P
No Data,P,No Data,39167,P,P,P,P,P
No Data,P,No Data,39056,P,P,U,P,U
No Data,U,No Data,39020,P,U,U,U,P
No Data,P,No Data,39149,WD,U,U,U,U
No Data,WD,No Data,39064,U,WD,P,WD,WD
No Data,P,No Data,39014,WD,P,P,WD,P
No Data,WD,No Data,39160,WD,P,P,U,P
No Data,P,No Data,39162,WD,P,U,P,U
No Data,WD,No Data,39023,P,P,P,P,P
No Data,U,No Data,39056,WD,P,U,P,U
No Data,P,No Data,39125,P,P,P,P,WD
No Data,WD,No Data,39106,P,P,P,P,WD
No Data,U,No Data,39090,P,U,U,U,U
No Data,P,No Data,38845,P,P,P,U,U
No Data,P,No Data,39118,P,P,P,P,P
No Data,P,No Data,39034,P,P,P,P,P
No Data,WD,No Data,39062,WD,WD,WD,WD,WD
No Data,P,No Data,38838,P,U,U,U,U
No Data,WD,No Data,39055,WD,WD,WD,P,WD
No Data,P,No Data,39086,P,P,P,P,P
No Data,WD,No Data,39035,WD,WD,WD,P,P
No Data,P,No Data,39121,P,P,U,U,P
No Data,P,No Data,39111,P,WD,P,WD,WD
No Data,P,No Data,39122,P,WD,P,WD,WD
No Data,WD,No Data,39155,P,P,P,P,P
No Data,P,No Data,39149,P,P,U,U,U
No Data,P,No Data,39153,WD,P,P,P,U
No Data,WD,No Data,39098,WD,P,WD,P,WD
No Data,WD,No Data,39092,WD,WD,WD,WD,WD
No Data,P,No Data,39163,P,P,P,U,P
No Data,U,No Data,39055,P,U,U,U,U
No Data,WD,No Data,39062,WD,WD,WD,WD,WD
No Data,WD,No Data,39029,WD,P,P,P,P
No Data,WD,No Data,39108,WD,WD,WD,WD,WD
No Data,P,No Data,39183,P,P,P,P,P
No Data,P,No Data,39031,P,U,U,U,U
No Data,WD,No Data,38835,WD,P,P,WD,WD
No Data,P,No Data,39127,P,P,U,P,U
No Data,WD,No Data,39106,WD,WD,WD,WD,WD
No Data,WD,No Data,39100,WD,WD,WD,WD,P
No Data,P,No Data,39167,P,P,U,WD,WD
No Data,WD,No Data,39146,WD,P,P,P,P
No Data,WD,No Data,38995,WD,P,P,P,P
No Data,WD,No Data,38831,WD,WD,WD,P,P
No Data,P,No Data,38839,P,P,P,U,U
No Data,WD,No Data,38845,WD,WD,WD,WD,WD
No Data,WD,No Data,39147,WD,P,P,P,P
No Data,P,No Data,39163,P,P,P,P,P
No Data,U,No Data,39112,U,U,U,U,U
No Data,P,No Data,38993,P,P,P,P,P
No Data,WD,No Data,39140,WD,WD,WD,WD,WD
No Data,P,No Data,39104,P,P,U,P,P
No Data,WD,No Data,38869,WD,WD,WD,WD,WD
No Data,P,No Data,39148,P,P,P,U,U
No Data,WD,No Data,39058,P,WD,WD,WD,WD
No Data,P,No Data,38987,P,P,U,P,U
No Data,WD,No Data,39064,WD,WD,WD,WD,WD
No Data,P,No Data,39020,WD,P,P,P,P
No Data,WD,No Data,39029,WD,WD,WD,P,WD
No Data,WD,No Data,39010,WD,P,P,P,WD
No Data,WD,No Data,39049,WD,WD,WD,WD,WD
No Data,P,No Data,39029,WD,U,P,U,P
No Data,WD,No Data,39021,WD,WD,WD,WD,WD
No Data,WD,No Data,39091,WD,WD,P,P,P
No Data,U,No Data,39086,P,U,U,U,P
No Data,WD,No Data,39162,P,P,P,P,P
No Data,WD,No Data,39014,WD,WD,WD,WD,WD
No Data,WD,No Data,38985,P,P,P,P,P
No Data,WD,No Data,38987,WD,WD,WD,WD,WD
No Data,WD,No Data,38852,WD,P,P,P,P
No Data,WD,No Data,39106,WD,WD,WD,WD,WD
No Data,WD,No Data,38996,P,P,P,P,P
No Data,WD,No Data,39100,WD,WD,WD,WD,WD
No Data,U,No Data,39029,P,U,U,U,U
No Data,P,No Data,39049,P,U,P,U,P
No Data,WD,No Data,39065,WD,WD,WD,WD,P
No Data,WD,No Data,39126,WD,P,P,P,WD
No Data,WD,No Data,38848,WD,WD,WD,WD,WD
No Data,WD,No Data,39016,P,WD,WD,WD,WD
No Data,P,No Data,39023,P,P,P,WD,P
No Data,P,No Data,39153,P,P,P,P,P
No Data,WD,No Data,39090,WD,WD,WD,WD,P
No Data,P,No Data,39149,WD,P,P,P,WD
No Data,WD,No Data,38985,WD,U,P,P,P
No Data,WD,No Data,39062,WD,WD,WD,WD,WD
No Data,WD,No Data,39140,WD,WD,P,WD,P
No Data,WD,No Data,39086,WD,WD,WD,WD,WD
No Data,WD,No Data,39086,WD,WD,WD,WD,WD
No Data,P,No Data,38861,P,P,P,P,P
No Data,WD,No Data,39125,WD,WD,WD,WD,WD
No Data,P,No Data,39091,WD,P,P,P,P
No Data,WD,No Data,39051,P,P,WD,P,WD
No Data,WD,No Data,39105,WD,WD,WD,P,WD
No Data,WD,No Data,38993,WD,WD,WD,WD,WD
No Data,P,No Data,39105,P,U,U,P,P
No Data,WD,No Data,38995,WD,WD,WD,WD,WD
No Data,WD,No Data,39113,WD,WD,WD,P,WD
No Data,WD,No Data,39041,WD,P,P,P,WD
No Data,WD,No Data,38812,WD,P,P,WD,WD
No Data,P,No Data,39127,P,U,U,P,P
No Data,WD,No Data,39139,WD,P,P,P,WD
