indicatoroverall_3,indicator_3_4,indicator_4_3,indicator_1_7,indicator_3_1,indicator_2_7,school_year,indicatoroverall_1,indicator_3_6,indicator_5_6,indicator_3_2
U,U,U,No Data,P,No Data,2006-07,U,P,No Data,U
P,P,P,No Data,WD,No Data,2006-07,P,P,No Data,P
WD,WD,WD,No Data,WD,No Data,2005-06,WD,WD,No Data,WD
WD,WD,WD,No Data,WD,No Data,2006-07,P,P,No Data,P
WD,WD,WD,No Data,WD,No Data,2006-07,P,WD,No Data,P
P,P,P,No Data,P,No Data,2006-07,U,P,No Data,U
P,P,P,No Data,P,No Data,2006-07,P,U,No Data,U
P,P,U,No Data,P,No Data,2006-07,U,P,No Data,U
U,P,P,No Data,U,No Data,2006-07,U,U,No Data,U
P,P,U,No Data,P,No Data,2006-07,P,P,No Data,U
P,WD,P,No Data,P,No Data,2006-07,P,P,No Data,U
P,P,WD,No Data,WD,No Data,2006-07,P,WD,No Data,P
P,P,P,No Data,P,No Data,2006-07,P,P,No Data,P
P,P,WD,No Data,P,No Data,2006-07,P,WD,No Data,P
U,U,P,No Data,U,No Data,2006-07,U,U,No Data,U
WD,WD,WD,No Data,WD,No Data,2005-06,WD,WD,No Data,WD
WD,WD,WD,No Data,WD,No Data,2006-07,WD,WD,No Data,WD
P,WD,P,No Data,WD,No Data,2006-07,P,P,No Data,P
WD,WD,WD,No Data,WD,No Data,2006-07,WD,P,No Data,WD
WD,WD,WD,No Data,WD,No Data,2006-07,P,P,No Data,WD
P,P,P,No Data,P,No Data,2005-06,P,P,No Data,P
P,P,WD,No Data,P,No Data,2005-06,P,P,No Data,P
WD,WD,WD,No Data,WD,No Data,2006-07,WD,WD,No Data,WD
P,P,P,No Data,WD,No Data,2006-07,P,P,No Data,U
WD,WD,WD,No Data,WD,No Data,2006-07,WD,WD,No Data,P
WD,WD,WD,No Data,WD,No Data,2005-06,P,WD,No Data,WD
WD,WD,WD,No Data,WD,No Data,2005-06,WD,WD,No Data,WD
P,P,WD,No Data,P,No Data,2006-07,P,WD,No Data,P
P,P,P,No Data,P,No Data,2006-07,P,P,No Data,U
U,U,P,No Data,P,No Data,2006-07,P,U,No Data,U
U,P,U,No Data,P,No Data,2006-07,P,U,No Data,U
U,P,P,No Data,U,No Data,2006-07,U,U,No Data,U
WD,WD,WD,No Data,WD,No Data,2006-07,WD,P,No Data,P
P,P,P,No Data,P,No Data,2006-07,P,WD,No Data,P
WD,WD,WD,No Data,P,No Data,2006-07,P,WD,No Data,WD
P,P,WD,No Data,P,No Data,2006-07,P,WD,No Data,P
WD,WD,WD,No Data,WD,No Data,2006-07,P,WD,No Data,WD
P,P,U,No Data,P,No Data,2006-07,P,P,No Data,U
P,P,WD,No Data,P,No Data,2006-07,P,P,No Data,P
P,WD,WD,No Data,P,No Data,2006-07,WD,P,No Data,P
