property_id,address_1,data_center_pue,last_modified_date_gas_meters,third_party_certification,wastewater_treatment_plant,hospital_general_medical_9,annual_maximum_demand_kw,estimated_data_flag_fuel_3,weather_normalized_site,national_median_site_eui,financial_office_weekly,energy_power_station_gross,multifamily_housing_gross,total_ghg_emissions_metric,bank_branch_gross_floor_area,urgent_care_clinic_other,electricity_use_grid_purchase_2,parking_partially_enclosed,occupancy,national_median_total_ghg,multifamily_housing_number_2,medical_office_percent_that,adult_education_gross_floor,office_number_of_workers,direct_ghg_emissions_intensity,performing_arts_gross_floor,hospital_general_medical_2,office_percent_that_can_be,fuel_oil_1_use_kbtu,natural_gas_use_kbtu,medical_office_gross_floor,hospital_general_medical_7,automobile_dealership_gross,retail_store_number_of_open,difference_from_national,generation_date,alert_water_meter_has_less,municipally_supplied_potable,list_of_all_property_use,year_ending,last_modified_date_water,college_university_gross,manufacturing_industrial,costar_property_id,senior_care_community_living,direct_ghg_emissions_metric,social_meeting_hall_gross,_2nd_largest_property_use
1632816,86-08 Queens Blvd.,Not Available,04/17/2020 05:52 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,3.6,79.6,Not Available,Not Available,Not Available,103.2,Not Available,Not Available,650736.6,Not Available,100,279.1,Not Available,Not Available,Not Available,Not Available,0.9,Not Available,Not Available,Not Available,Not Available,904565.5,Not Available,Not Available,Not Available,0,-63.0,2020-04-20T10:30:12.000,Ok,Not Available,Retail Store,2019-12-31T00:00:00.000,04/17/2020 06:00 PM EDT,Not Available,Not Available,Not Available,Not Available,48,Not Available,Not Available
1633606,832 Marcy Avenue,Not Available,04/14/2020 02:37 PM EDT,Not Available,Not Available,Not Available,368,Not Available,6.8,86.6,Not Available,Not Available,Not Available,962.0,Not Available,Not Available,4989708.8,Not Available,100,1180.9,Not Available,Not Available,Not Available,Not Available,2.6,Not Available,Not Available,Not Available,Not Available,8648300.1,Not Available,Not Available,Not Available,Not Available,-18.5,2020-08-28T16:18:32.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,565.5,Not Available,Not Available
1633600,1400 Pennsylvania Avenue,Not Available,04/14/2020 02:37 PM EDT,Not Available,Not Available,Not Available,336,No,5.3,73.0,Not Available,Not Available,Not Available,602.8,Not Available,Not Available,2685926.4,Not Available,100,826.8,Not Available,Not Available,Not Available,Not Available,2.6,Not Available,Not Available,Not Available,Not Available,800,Not Available,Not Available,Not Available,Not Available,-27.1,2020-08-28T16:17:53.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:28 PM EDT,Not Available,Not Available,Not Available,Not Available,389.3,Not Available,Not Available
1634409,3040 Roberts Avenue,Not Available,04/10/2020 05:34 PM EDT,Not Available,Not Available,Not Available,200.8,Not Available,3.7,89.5,Not Available,Not Available,Not Available,462.6,Not Available,Not Available,1721558.7,Not Available,100,732.8,Not Available,Not Available,Not Available,Not Available,2.4,Not Available,Not Available,Not Available,Not Available,5362200.5,Not Available,Not Available,Not Available,Not Available,-36.9,2020-08-28T16:16:21.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,325.8,Not Available,Not Available
1633290,250 East 164th Street,Not Available,04/10/2020 05:34 PM EDT,Not Available,Not Available,Not Available,376,No,5.1,87.7,Not Available,Not Available,Not Available,949.3,Not Available,Not Available,3267331.2,Not Available,100,1278.3,Not Available,Not Available,Not Available,Not Available,3.6,Not Available,Not Available,Not Available,Not Available,253300,Not Available,Not Available,Not Available,Not Available,-25.7,2020-05-01T21:41:31.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:05 PM EDT,Not Available,Not Available,Not Available,Not Available,672.6,Not Available,Not Available
1634020,180 7th Avenue,Not Available,04/14/2020 02:38 PM EDT,Not Available,Not Available,Not Available,308,No,5.4,88.6,Not Available,Not Available,Not Available,483.0,Not Available,Not Available,2017856.8,Not Available,100,718.4,Not Available,Not Available,Not Available,Not Available,3,Not Available,Not Available,Not Available,Not Available,693300,Not Available,Not Available,Not Available,Not Available,-32.8,2020-08-28T16:18:28.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,322.6,Not Available,Not Available
1634135,421 East 106th Street,Not Available,04/13/2020 05:47 PM EDT,Not Available,Not Available,Not Available,222.4,No,4.0,87.3,Not Available,Not Available,Not Available,250.7,Not Available,Not Available,1491453.4,Not Available,100,601.1,Not Available,Not Available,Not Available,Not Available,1.2,Not Available,Not Available,Not Available,Not Available,2488099.7,Not Available,Not Available,Not Available,Not Available,-58.3,2020-08-28T16:18:29.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,132.2,Not Available,Not Available
1633699,440 West 53rd Street,Not Available,04/13/2020 05:47 PM EDT,Not Available,Not Available,Not Available,192,Not Available,4.9,79.0,Not Available,Not Available,Not Available,413.8,Not Available,Not Available,1819005.4,Not Available,100,513.0,Not Available,Not Available,Not Available,Not Available,2.5,Not Available,Not Available,Not Available,Not Available,5069700.1,Not Available,Not Available,Not Available,Not Available,-19.3,2020-08-28T16:16:06.000,Unable to Check (not enough data),Not Available,K-12 School,2019-12-31T00:00:00.000,Not Available,Not Available,Not Available,Not Available,Not Available,269.3,Not Available,Not Available
1633040,511 West 182nd Street,Not Available,04/13/2020 05:47 PM EDT,Not Available,Not Available,Not Available,268,No,3.8,99.8,Not Available,Not Available,Not Available,757.4,Not Available,Not Available,2402048.0,Not Available,100,1378.2,Not Available,Not Available,Not Available,Not Available,3.1,Not Available,Not Available,Not Available,Not Available,420200,Not Available,Not Available,Not Available,Not Available,-45.0,2020-08-28T16:16:05.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:06 PM EDT,Not Available,Not Available,Not Available,Not Available,566.5,Not Available,Not Available
1634558,76-05 51st Avenue,Not Available,04/13/2020 03:27 PM EDT,Not Available,Not Available,Not Available,172,Not Available,13.9,81.1,Not Available,Not Available,Not Available,235.1,Not Available,Not Available,1643219.2,Not Available,100,182.6,Not Available,Not Available,Not Available,Not Available,3,Not Available,Not Available,Not Available,Not Available,1968500,Not Available,Not Available,Not Available,Not Available,28.8,2020-08-28T16:17:30.000,Ok,Not Available,K-12 School,2019-12-31T00:00:00.000,05/01/2020 05:54 PM EDT,Not Available,Not Available,Not Available,Not Available,104.6,Not Available,Not Available
