building_id_espm,address_1,hotel_number_of_rooms,bank_financial_institution_2,senior_care_facility_number,current_weather_normalized,senior_care_facility_total,house_of_worship_weekly,k_12_school_walk_in_refrig,residence_halls_dormitories,hotel_percent_cooled,parking_open_floor_area_w,bin_unique_building_identifier,supermarkets_grocery_number_2,retail_exterior_entrance,senior_care_facility_average,retail_cash_register_density,temporary_data_flag_fuel,eligibility_for_energy_star,residence_halls_dormitories_1,last_modified_date,office_office_air_conditioned,office_gross_floor_area_sq,supermarkets_grocery_presence,fuel_oil_56_use_kbtu,total_floor_space_sq_ft,warehouse_unrefrigerated_3,temporary_data_flag_fuel_2,other_number_of_pcs,difference_from_national_1,k_12_school_open_weekends,national_median_source_eui,retail_pc_density,senior_care_facility_number_4,temporary_data_flag_natural,bank_financial_institution_1,approval_date_last_energy,temporary_data_flag,water_use_alerts,medical_office_percent_cooled,multifamily_home_number_of_1,temporary_data_flag_district,warehouse_unrefrigerated_6,address_2,senior_care_facility_number_1,k_12_school_percent_cooled,nta,postcode,current_total_source_energy
3128193,180 West Houston Street,,,,185.8,,,,,,,1008380,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T15:47:23.000,,,,6583388.19,71490.0,,No,,,,,,,No,,,No,,,115.0,,,,,,West Village,10014,13386164.9
2669668,583-587 Broadway,,,,221.1,,,,,,,1007955,,1.0,,0.18,,Not Eligible: Rating must be 75 or above,,2012-04-29T00:12:17.000,,,,,134748.0,,,,,,,0.36,,No,,,No,,,23.0,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,10012,29640640.4
2676431,20 West St,,,,171.8,,,,,,,1087243;1000046,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-20T17:18:07.000,,,,,227463.0,,,,,,,0.2,,No,,,No,,,283.0,No,,,,,Battery Park City-Lower Manhattan,10006,39477641.1
3114290,511-541 W 25th Street,,,,90.8,,,,,,,1012382;1080314;1080315;1080316,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-26T14:26:19.000,100.0,137821.0,,,176388.0,,,24.0,-44.6,,164.0,,,No,,,No,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10001,16008781.1
2809195,780 Greenwich Street,,,,134.1,,,,,,,1011938,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-04T17:15:05.000,,,,,70350.0,,,,,,,,,No,,,No,,,,,,,,,West Village,10014,9435325.8
2682647,59 West 12 Street,,,,106.4,,,,,,,1066992,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-23T15:32:16.000,100.0,14966.0,,6676870.29,134694.0,,No,,,,,,,No,,,No,,,95.0,,,,,,West Village,10011,14485040.9
2685844,70 East 10th Street,,,,118.1,,,,,,0.0,1008954,,1.0,,0.3,,Not Eligible: Rating must be 75 or above,,2012-04-26T03:20:11.000,100.0,700.0,,25482861.65,503960.0,,No,,,,,0.2,,,,,No,,100.0,368.0,,,,,,West Village,10003,60512938.7
3002051,27 East 13th Street,,,,,,,,,,,,,1.0,,0.36,,Not Eligible: Rating must be 75 or above,,2012-02-01T15:43:22.000,,,,,59299.0,,,,,,,0.36,,No,,,No,,,92.0,,,,,,West Village,10003,
2641248,160 East 3rd Street,,,,143.6,,,,,,,1004966,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-30T22:35:37.000,,,,3952427.96,55947.0,,No,,,,,,,No,,,Yes,,,,,,,,,East Village,10009,8099066.7
3114461,450 West 17th Street,,,,275.8,,,,,,0.0,1080359,,,,,,Not Eligible: Rating must be 75 or above,,2012-04-21T18:07:33.000,100.0,4992.0,,,424074.0,,,0.0,,,,,,No,,,No,,,469.0,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,10011,119746302.0
