address_1,supermarkets_grocery_gross,bank_financial_institution_4,medical_office_number_of,chilled_water_other_kbtu,longitude,council_district,hotel_room_density,community_board,difference_from_national,other_water_use_kgal,senior_care_facility_workers,multifamily_home_government,year_s_labeled,multifamily_home_gross_floor,house_of_worship_gross_floor,retail_walk_in_refrig_density,fuel_oil_4_use_kbtu,house_of_worship_pc_density,warehouse_unrefrigerated_4,senior_care_facility_number_3,parking_weekly_hours_of_access,current_water_period_ending,medical_office_weekly,senior_care_facility_total_1,multifamily_home_resident,chilled_water_electric_driven,supermarkets_grocery_number_1,multifamily_home_number_of,supermarkets_grocery_percent,rating,electricity_use_kbtu,swimming_pool_months_in_use,hospital_maximum_number_of,parking_enclosed_floor_area,hotel_workers_density,target_rating_1_100,swimming_pool_indoor_outdoor,bank_financial_institution_3,chilled_water_engine_driven,residence_halls_dormitories_4,multifamily_home_laundry_1,current_total_ghg_emissions,residence_halls_dormitories_3,supermarkets_grocery_weekly,national_average_pue,space_use_alerts,retail_gross_floor_area_sq,year_built
180 West Houston Street,,,,,-74.003456,3.0,,102.0,,,,0.0,,71490.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,1922662.0,,,,,0.0,,,,,,718.03,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1952.0
583-587 Broadway,,,,,-73.99741,1.0,,102.0,,,,0.0,,123482.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,13.0,,0.0,7762171.98,,,,,0.0,,,,,42.0,917.54,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",11266.0,1896.0
20 West St,,,,,-74.016151,1.0,,101.0,,,,0.0,,207463.0,,0.0,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,45.0,,0.0,8625287.85,,,,,0.0,,,,,0.0,1499.63,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",20000.0,1929.0
511-541 W 25th Street,,,,,-74.004132,3.0,,104.0,-59.3,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,4750973.24,,,,,0.0,,,,,,453.2,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>",,1917.0
780 Greenwich Street,,,,,-74.006557,3.0,,102.0,,,,0.0,,70350.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,1302691.36,,,,,0.0,,,,,,380.65,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1960.0
59 West 12 Street,,,,,-73.99685,3.0,,102.0,,,,0.0,,119728.0,,,,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,17.0,,0.0,2270592.95,,,,,0.0,,,,,0.0,750.09,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,1931.0
70 East 10th Street,,,17.0,,-73.990705,2.0,,102.0,,,,0.0,,486000.0,,0.0,,,,,112.0,2200-01-01T00:00:00.000,65.0,,No specific resident population,,,21.0,,0.0,10411751.02,,,56040.0,,0.0,,,,,0.0,2996.14,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",9560.0,1960.0
27 East 13th Street,,,,,-73.99278,2.0,,102.0,,,,0.0,,50929.0,,0.24,,,,,,2010-12-31T00:00:00.000,,,No specific resident population,,,,,0.0,,,,,,,,,,,0.0,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",8370.0,1959.0
160 East 3rd Street,,,,,-73.984628,2.0,,103.0,,,,0.0,,55947.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,1181862.21,,,,,0.0,,,,,,432.16,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1940.0
450 West 17th Street,,,,,-74.005955,3.0,,104.0,,,,0.0,,415799.0,,,,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,26.0,,0.0,19656235.44,,,42493.0,,0.0,,,,,469.0,4594.12,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",,2007.0
636 WATER ST. ETAL / VLADECK HSES,,,,,-73.98265,2.0,,103.0,,,,0.0,,1190112.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,6.0,,0.0,,,,,,,,,,,0.0,,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1940.0
110 Greenwich Street,,,,,-74.013349,1.0,,101.0,,,,0.0,,54900.0,,0.0,,,,,,2012-01-31T00:00:00.000,,,No specific resident population,,,13.0,,0.0,768568.51,,,,,0.0,,,,,0.0,261.5,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using temporary values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",6050.0,1929.0
100 Church Street,,,,,-74.00949,1.0,,101.0,-55.4,,,,2011.0,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,95.0,38435961.63,,,,,0.0,,,,,,6495.73,,,,Weekly operating hours is much lower than normal for VACANT.<br> Weekly operating hours is much lower than normal for Vacant Space.<br>,,1958.0
670 Broadway,,,,,-73.995183,1.0,,102.0,-4.0,,,,,,,0.0,,,,,,2200-01-01T00:00:00.000,,,,,,,,53.0,2873389.02,,,,,0.0,,,,,,484.06,,,,Using default values for Space Use attributes.<br>,20000.0,1900.0
80 Pine Street,,,,,-74.007181,1.0,,101.0,12.6,,,,,,,0.36,,,,,100.0,2012-02-29T00:00:00.000,,,,,,,,38.0,76389704.68,,,45132.0,,0.0,,,,,,13674.36,,,,,5585.0,1960.0
200 East 5th Street,,,,,-73.990861,2.0,,103.0,,,,0.0,,122689.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,14.0,,0.0,2050502.82,,,,,0.0,,,,,0.0,537.3,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1981.0
180 Varick Street,,,,,-74.00548,3.0,,102.0,-46.5,,,,,,,0.06,,,,,,2011-09-30T00:00:00.000,,,,,,,,90.0,14502628.95,,,,,0.0,,,,,,1810.39,,,,,17000.0,1929.0
8 Washington Mews,,,,,-73.995962,1.0,,102.0,,,,0.0,,2739.0,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,68.24,,,,,0.0,,,,,,0.01,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1939.0
684 Broadway,,,,,-73.994667,1.0,,102.0,,,,0.0,,63563.0,,0.0,5592734.63,,,,,2200-01-01T00:00:00.000,,,No specific resident population,,,12.0,,0.0,1850570.53,,,,,0.0,,,,,24.0,589.24,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",1448.0,1985.0
584 Broadway,,,,,-73.997341,1.0,,102.0,-37.3,,,,,,,0.05,,,,,,2011-09-30T00:00:00.000,,,,,,,,84.0,12069410.68,,,,,0.0,,,,,,1347.85,,,,,20000.0,1897.0
400 W. 37th St.,,,,,-73.995019,3.0,,104.0,,,,0.0,,209574.0,,0.0,,,,,168.0,2200-01-01T00:00:00.000,,,No specific resident population,,,,,0.0,7111647.97,,,21352.0,,0.0,,,,,,1115.91,,,,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using default values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",3200.0,2003.0
16 Washington Mews,,,,,-73.995353,1.0,,102.0,-80.8,,,,,,,,,,,,,2200-01-01T00:00:00.000,,,,,,,,0.0,52142.18,,,,,0.0,,,,,,4.9,,,,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",,1880.0
