building_classification_3,neighborhood,address_3,market_value_per_sqft,estimated_expense_2,distance_from_condo_in_miles_1,neighborhood_1,estimated_expense_3,net_operating_income_3,gross_sqft_3,year_built_2
D3  -ELEVATOR,UPPER WEST SIDE (79-96),310 WEST 95 STREET,224.07,342780.0,0.09,UPPER WEST SIDE (79-96),410270.0,1039426.0,37674.0,1910.0
,CORONA,,104.4,,,CORONA,,,,
D3  -ELEVATOR,EAST VILLAGE,254 EAST 10 STREET,274.06,196004.0,0.23,EAST VILLAGE,199658.0,426174.0,12264.0,1920.0
D1  -ELEVATOR,LOWER EAST SIDE,53 PITT STREET,301.45,222156.0,0.56,LOWER EAST SIDE,213613.0,548374.0,14938.0,2001.0
D5  -ELEVATOR,FLATIRON,27 WEST 16 STREET,336.63,1089473.0,0.31,FLATIRON,604632.0,1711885.0,41300.0,1911.0
D3  -ELEVATOR,UPPER WEST SIDE (79-96),420 WEST END AVENUE,241.61,1099659.0,0.15,UPPER WEST SIDE (79-96),894656.0,2524976.0,85942.0,1929.0
D3  -ELEVATOR,MURRAY HILL,207 EAST 37 STREET,301.55,143960.0,0.47,MURRAY HILL,600814.0,1330218.0,36020.0,1920.0
D1  -ELEVATOR,CHELSEA,258 WEST 22 STREET,390.4,146534.0,0.17,CHELSEA,268515.0,1487768.0,30375.0,1920.0
D1  -ELEVATOR,EAST VILLAGE,304 EAST 12 STREET,334.61,155998.0,0.0,EAST VILLAGE,1279626.0,4194160.0,101800.0,1990.0
D3  -ELEVATOR,UPPER EAST SIDE (59-79),11 EAST 78 STREET,299.11,1832226.0,0.41,UPPER EAST SIDE (59-79),92138.0,303259.0,8234.0,1975.0
D1  -ELEVATOR,EAST VILLAGE,304 EAST 12 STREET,267.53,1542974.0,0.27,EAST VILLAGE,1711258.0,3353292.0,101800.0,1996.0
D1  -ELEVATOR,TRIBECA,160 MOTT STREET,258.91,437738.0,0.33,SOHO,159999.0,386414.0,11967.0,1920.0
D3  -ELEVATOR,HARLEM-EAST,138 EAST 112 STREET,313.73,184383.0,0.05,HARLEM-EAST,343403.0,1819705.0,47106.0,1900.0
D1  -ELEVATOR,UPPER EAST SIDE (59-79),310 EAST 75 STREET,250.63,716875.0,0.34,UPPER EAST SIDE (59-79),1199741.0,2522435.0,76368.0,1921.0
D1  -ELEVATOR,HIGHBRIDGE/MORRIS HEIGHTS,1710 ANDREWS AVENUE SOUTH,67.82,407340.0,0.39,HIGHBRIDGE/MORRIS HEIGHTS,620955.0,890810.0,96722.0,1927.0
D1  -ELEVATOR,HARLEM-EAST,222 EAST 111 STREET,242.59,505937.0,0.35,HARLEM-EAST,580445.0,1227896.0,41108.0,1910.0
D3  -ELEVATOR,UPPER EAST SIDE (59-79),11 EAST 78 STREET,342.63,2144626.0,0.43,UPPER EAST SIDE (59-79),108524.0,347310.0,8234.0,1975.0
