neighborhood_3,boro_block_lot,estimated_expense_1,year_built_1,distance_from_condo_in_miles_2,year_built_3
UPPER WEST SIDE (79-96),1-01253-7503,274613,1930,0.05,1925.0
,4-01747-7501,117522,1963,,
EAST VILLAGE,1-00447-7501,368740,1940,0.23,1990.0
LOWER EAST SIDE,1-00283-7502,385032,2000,0.49,1900.0
FLATIRON,1-00850-7503,145171,1925,0.31,1907.0
UPPER WEST SIDE (79-96),1-01213-7503,387410,1930,0.24,1916.0
MURRAY HILL,1-00869-7501,581266,1900,0.41,1925.0
CHELSEA,1-00798-7506,415887,2000,0.18,1920.0
EAST VILLAGE,1-00437-7502,182566,1930,0.17,1940.0
UPPER EAST SIDE (59-79),1-01413-7501,740293,1899,0.19,1920.0
EAST VILLAGE,1-00432-7501,242020,1930,0.33,1940.0
LITTLE ITALY,1-00225-7502,570460,1920,0.73,1910.0
HARLEM-EAST,1-01681-7501,473205,2002,0.36,2004.0
UPPER EAST SIDE (59-79),1-01450-7501,370652,1940,0.05,1936.0
HIGHBRIDGE/MORRIS HEIGHTS,2-02875-7501,442080,1926,0.39,1927.0
HARLEM-EAST,1-01631-7501,565743,2004,0.37,2008.0
UPPER EAST SIDE (59-79),1-01389-7501,164318,1910,0.2,1920.0
UPPER EAST SIDE (79-96),1-01578-7502,299935,1920,0.15,1925.0
UPPER WEST SIDE (79-96),1-01197-7501,2005260,1929,0.16,1910.0
WASHINGTON HEIGHTS LOWER,1-02135-7501,459742,1914,0.18,1923.0
UPPER EAST SIDE (79-96),1-01569-7502,485373,1929,0.05,1987.0
GREENWICH VILLAGE-CENTRAL,1-00525-7506,274865,1970,0.66,1900.0
MORRISANIA/LONGWOOD,2-02364-7501,586984,1904,0.78,1915.0
UPPER WEST SIDE (96-116),1-01893-7501,195334,1905,0.24,1925.0
KINGSBRIDGE/JEROME PARK,2-03249-7501,389760,1926,0.57,1973.0
UPPER WEST SIDE (59-79),1-01169-7503,1930068,1929,0.22,1922.0
HARLEM-EAST,1-01661-7503,516800,1920,0.05,2008.0
