total_units_3,gross_sqft_2,expense_per_sqft_3,gross_income_per_sqft_3,market_value_per_sqft_3,net_operating_income_2
45.0,32928.0,10.89,38.48,312.44,901898.0
,,,,,
25.0,11550.0,16.28,51.03,273.08,438784.0
14.0,14960.0,14.3,51.01,323.27,556063.0
75.0,64049.0,14.64,56.09,311.91,2640100.0
38.0,96546.0,10.41,39.79,129.99,2820109.0
48.0,9342.0,16.68,53.61,308.52,333790.0
39.0,14922.0,8.84,57.82,238.52,729387.0
89.0,12264.0,12.57,53.77,175.88,493258.0
16.0,156200.0,11.19,48.02,466.84,5723168.0
89.0,91680.0,16.81,49.75,175.88,2984184.0
35.0,33750.0,13.37,45.66,222.53,1075950.0
43.0,22596.0,7.29,45.92,146.92,885312.0
66.0,41898.0,15.71,48.74,167.06,1292972.0
82.0,62000.0,6.42,15.63,57.03,558620.0
50.0,37065.0,14.12,43.99,209.47,1127518.0
16.0,156200.0,13.18,55.36,466.84,6557276.0
41.0,11928.0,15.49,54.41,273.17,465431.0
24.0,37251.0,20.95,44.25,246.98,920845.0
54.0,47880.0,8.67,19.21,105.04,529553.0
49.0,20000.0,16.89,41.86,256.24,507800.0
16.0,41750.0,11.08,45.75,277.07,1354787.0
48.0,129384.0,8.01,14.57,52.93,813826.0
49.0,43540.0,10.59,31.91,99.91,979214.0
38.0,48640.0,8.23,17.73,63.36,450407.0
39.0,188830.0,15.46,60.24,176.13,8557776.0
50.0,47750.0,11.92,44.81,209.47,1550442.0
,155544.0,,,,8092954.0
15.0,12550.0,14.12,34.65,181.83,294046.0
24.0,98808.0,12.08,48.69,216.74,3515588.0
104.0,190289.0,12.26,58.63,376.53,7356573.0
57.0,151500.0,8.29,18.48,81.65,1574085.0
30.0,49408.0,18.66,46.73,220.9,1456547.0
20.0,32520.0,21.27,51.85,239.35,1016575.0
49.0,53500.0,14.69,61.46,384.87,2574420.0
,307500.0,,,,11491275.0
,58325.0,,,,2386076.0
37.0,62188.0,13.67,40.34,307.15,1551590.0
86.0,44256.0,14.72,39.6,238.46,1074536.0
,6135.0,,,,175952.0
30.0,49408.0,16.47,45.77,220.9,1517320.0
47.0,72957.0,6.2,33.37,154.18,1910744.0
29.0,8303.0,16.84,50.3,238.74,291767.0
40.0,28321.0,18.32,54.49,347.0,943089.0
12.0,15725.0,13.25,47.69,256.64,587172.0
241.0,273538.0,16.5,48.59,260.63,9981402.0
22.0,9780.0,11.8,45.12,263.61,307483.0
27.0,9910.0,14.24,37.22,168.2,201569.0
86.0,10008.0,12.73,55.28,238.46,427542.0
,25482.0,,,,273422.0
,30218.0,,,,1186963.0
30.0,42924.0,10.14,26.5,108.79,683350.0
27.0,19260.0,13.07,41.46,486.22,560851.0
29.0,191721.0,13.75,46.43,88.82,6292284.0
61.0,18260.0,10.73,35.4,380.47,463257.0
60.0,26500.0,15.04,46.12,175.37,833955.0
90.0,72553.0,8.73,22.64,67.01,1031704.0
30.0,25482.0,16.89,49.73,177.58,874033.0
48.0,29500.0,11.81,36.49,79.02,702985.0
35.0,10785.0,13.71,41.21,394.79,277067.0
25.0,20600.0,14.59,47.89,273.08,665586.0
,67535.0,,,,1013025.0
70.0,38880.0,13.03,33.28,355.47,777989.0
16.0,71890.0,16.27,48.13,244.78,2242249.0
618.0,348130.0,18.06,50.74,185.17,11115791.0
28.0,21000.0,13.8,45.53,263.85,635460.0
36.0,11472.0,15.55,94.96,279.04,910303.0
69.0,8525.0,13.15,58.99,253.49,378681.0
123.0,72553.0,9.6,20.5,88.18,852498.0
39.0,35508.0,11.96,48.61,183.35,1387653.0
44.0,32610.0,11.01,45.94,257.99,1083956.0
49.0,20000.0,17.99,46.6,256.24,580600.0
55.0,69043.0,9.99,20.74,35.8,782257.0
92.0,30336.0,12.3,41.97,151.75,913721.0
86.0,38880.0,19.74,52.93,310.01,1295870.0
21.0,6750.0,18.48,50.69,402.92,198788.0
86.0,68108.0,11.99,24.87,132.73,905155.0
16.0,20797.0,13.37,39.7,277.07,544050.0
42.0,41750.0,13.41,48.33,297.01,1404470.0
,17490.0,,,,149890.0
20.0,8420.0,13.1,45.22,149.8,261020.0
38.0,25266.0,16.51,73.13,223.33,1457849.0
16.0,24840.0,14.43,46.13,268.2,811026.0
36.0,63000.0,10.48,24.04,163.62,904680.0
14.0,14960.0,16.65,54.33,323.27,570574.0
33.0,26009.0,12.37,58.17,253.16,1139974.0
30.0,42102.0,15.14,75.92,202.8,2537067.0
24.0,57375.0,15.41,49.64,219.06,1897392.0
63.0,91494.0,15.03,28.85,150.61,1332153.0
36.0,12000.0,12.12,45.38,279.04,398280.0
30.0,49408.0,10.3,35.46,220.9,1312770.0
,79995.0,,,,608762.0
13.0,78936.0,14.2,40.57,160.57,2128904.0
47.0,101800.0,15.68,51.19,297.18,3815464.0
41.0,8525.0,14.69,53.76,191.07,330259.0
38.0,224000.0,10.49,32.48,132.13,4728640.0
52.0,58325.0,18.79,61.77,321.28,2719112.0
57.0,134000.0,9.56,20.53,81.65,1356080.0
,97926.0,,,,956737.0
35.0,23353.0,21.09,54.29,269.96,741924.0
18.0,9935.0,13.05,55.6,323.41,446379.0
40.0,18079.0,12.31,67.52,347.0,947159.0
44.0,54567.0,8.94,32.35,113.32,1247948.0
37.0,83837.0,14.45,37.86,170.49,1856152.0
30.0,51546.0,12.74,44.3,52.16,1775760.0
,14944.0,,,,902319.0
,34356.0,,,,614286.0
174.0,18523.0,16.2,44.84,395.73,611630.0
75.0,64049.0,8.25,56.82,311.91,3096129.0
47.0,91680.0,17.66,56.65,297.18,3718540.0
,,,,,
24.0,17000.0,8.46,16.04,222.82,128860.0
11.0,14960.0,14.98,49.13,383.63,462264.0
40.0,18079.0,14.38,59.81,347.0,770165.0
,6960.0,,,,145116.0
35.0,32388.0,14.09,39.09,253.09,795773.0
,90976.0,,,,598622.0
28.0,125235.0,12.4,34.66,499.66,2642459.0
48.0,22344.0,12.62,47.48,235.94,718583.0
30.0,20700.0,14.43,49.01,202.8,677718.0
121.0,37064.0,16.84,51.29,423.38,1265736.0
28.0,64058.0,13.1,33.55,101.96,1283082.0
45.0,57375.0,18.8,54.82,210.33,2047714.0
11.0,21660.0,8.01,23.05,46.73,317969.0
,30020.0,,,,655636.0
39.0,37038.0,8.3,27.03,52.14,701500.0
69.0,10225.0,19.34,58.19,322.37,420043.0
30.0,43990.0,8.75,21.25,31.48,549875.0
48.0,42874.0,9.75,27.24,130.28,721141.0
36.0,6712.0,17.44,42.11,144.1,172498.0
72.0,29796.0,13.86,58.4,192.34,1341416.0
,19260.0,,,,734769.0
182.0,253256.0,21.2,49.88,232.98,7992759.0
71.0,24617.0,11.63,41.74,254.47,783559.0
,,,,,
,26500.0,,,,1275975.0
25.0,101800.0,13.76,44.96,273.08,3275924.0
16.0,30712.0,9.39,42.0,244.78,1009504.0
15.0,15895.0,12.2,26.68,157.95,251300.0
50.0,65615.0,14.45,47.36,175.18,2065560.0
37.0,52200.0,9.56,23.96,59.13,786654.0
112.0,73640.0,9.51,20.03,51.07,743028.0
50.0,43871.0,15.19,48.34,75.28,1450375.0
16.0,17970.0,7.68,51.61,232.17,747193.0
49.0,24400.0,15.02,49.15,167.24,798124.0
53.0,166518.0,15.53,47.52,275.46,5088790.0
19.0,30375.0,13.66,53.65,244.94,1217734.0
38.0,24848.0,13.87,52.18,286.28,949442.0
24.0,83904.0,12.57,29.03,131.96,1399518.0
25.0,98808.0,16.51,46.69,271.59,3260664.0
48.0,154800.0,17.2,43.33,213.8,3975264.0
90.0,72553.0,9.32,19.35,67.01,750198.0
38.0,42396.0,8.7,53.98,286.28,1765369.0
39.0,232414.0,7.76,33.14,144.54,5931205.0
35.0,33750.0,14.32,39.51,222.53,835988.0
,13593.0,,,,304347.0
76.0,45446.0,14.22,44.49,271.0,1461089.0
