expense_per_sqft_1,gross_sqft_1,full_market_value_2,neighborhood_2,expense_per_sqft_2,gross_income_per_sqft_2,full_market_value,building_classification_1,building_classification,boro_block_lot_1,address_1,net_operating_income_1,expense_per_sqft,distance_from_condo_in_miles
12.32,22290,5398000.0,UPPER WEST SIDE (79-96),10.41,37.8,46661014,D1  -ELEVATOR,R4  -ELEVATOR,1-01253-0016,311 WEST 94 STREET,592914,10.89,0.05
7.89,14895,,,,,1044000,C1-WALK-UP,R2-WALK-UP,4-01753-0063,109 37 AVENUE,209572,7.89,0.22
17.9,20600,4725000.0,EAST VILLAGE,16.97,54.96,3172000,D1  -ELEVATOR,R9  -CONDOPS,1-00447-0051,313 EAST 5 STREET,695250,17.9,0.0
14.64,26300,5285000.0,LOWER EAST SIDE,14.85,52.02,6006002,D3  -ELEVATOR,R4  -ELEVATOR,1-00309-0022,51 LUDLOW STREET,976256,14.64,0.16
13.81,10512,21195000.0,FLATIRON,17.01,58.23,95234003,D3  -ELEVATOR,R4  -ELEVATOR,1-00850-0062,20 EAST 22 STREET,433094,14.64,0.0
10.4,37251,15905000.0,UPPER WEST SIDE (79-96),11.39,40.6,8581002,D3  -ELEVATOR,R4  -ELEVATOR,1-01211-0052,158 WEST 81 STREET,1108218,10.4,0.1
16.37,35508,2657000.0,MURRAY HILL,15.41,51.14,41132994,D1  -ELEVATOR,R4  -ELEVATOR,1-00914-0011,221 EAST 33 STREET,1318412,16.37,0.5
10.04,41423,3655000.0,CHELSEA,9.82,58.7,44072024,D1  -ELEVATOR,R4  -ELEVATOR,1-00797-0074,160 WEST 22 STREET,1991204,10.04,0.05
13.02,14022,3349000.0,EAST VILLAGE,12.72,52.94,2793001,D5  -ELEVATOR,RR  -CONRENT,1-00468-0013,208 EAST 13 STREET,610799,12.57,0.31
11.85,62472,53222000.0,UPPER EAST SIDE (59-79),11.73,48.37,29013991,D3  -ELEVATOR,R4  -ELEVATOR,1-01393-0040,74 EAST 79 STREET,2197765,11.19,0.1
17.26,14022,21862000.0,EAST VILLAGE,16.83,49.38,6315003,D5  -ELEVATOR,R4  -ELEVATOR,1-00468-0013,208 EAST 13 STREET,494836,16.81,0.45
12.89,44256,11997000.0,SOHO,12.97,44.85,6229001,D1  -ELEVATOR,R4  -ELEVATOR,1-00506-0016,30 CHARLTON STREET,1393179,12.97,0.3
9.01,52520,3862000.0,HARLEM-EAST,8.16,47.34,10191000,D3  -ELEVATOR,R4  -ELEVATOR,1-01655-0015,235 EAST 105 STREET,1925383,7.29,0.25
15.36,24131,13461000.0,UPPER EAST SIDE (59-79),17.11,47.97,22843000,D1  -ELEVATOR,R9  -CONDOPS,1-01471-0015,427 EAST 76 STREET,744442,17.11,0.15
6.14,72000,2746000.0,HIGHBRIDGE/MORRIS HEIGHTS,6.57,15.58,4769000,D1  -ELEVATOR,R9  -CONDOPS,2-02866-0034,1674 MACOMBS ROAD,681120,6.14,0.35
12.01,47106,4466000.0,HARLEM-EAST,13.65,44.07,10255008,D3  -ELEVATOR,R4  -ELEVATOR,1-01639-0057,138 EAST 112 STREET,1442857,14.12,0.42
12.1,13580,53222000.0,UPPER EAST SIDE (59-79),13.73,55.71,2174000,D3  -ELEVATOR,R4  -ELEVATOR,1-01390-0009,7 EAST 75 STREET,582718,13.18,0.05
15.91,18852,3161000.0,UPPER EAST SIDE (79-96),15.05,54.07,4074001,D1  -ELEVATOR,R4  -ELEVATOR,1-01579-0002,1556 YORK AVENUE,741072,15.49,0.05
20.77,96546,6351000.0,UPPER WEST SIDE (79-96),19.78,44.5,11087004,D3  -ELEVATOR,R4  -ELEVATOR,1-01216-0051,144 WEST 86 STREET,2333517,19.78,0.19
8.58,53583,3493000.0,WASHINGTON HEIGHTS LOWER,9.44,20.5,6304999,D1  -ELEVATOR,R4  -ELEVATOR,1-02136-0102,665 WEST 160 STREET,585127,8.58,0.09
17.43,27847,5277000.0,UPPER EAST SIDE (79-96),17.5,42.89,40487994,D3  -ELEVATOR,R4  -ELEVATOR,1-01567-0031,440 EAST 88 STREET,705643,17.43,0.1
11.77,23353,13459000.0,GREENWICH VILLAGE-CENTRAL,13.81,46.26,23999997,D3  -ELEVATOR,R4  -ELEVATOR,1-00563-0043,63 EAST 11 STREET,787697,11.08,0.54
7.83,74966,5133000.0,MORRISANIA/LONGWOOD,7.91,14.2,3341997,D5  -ELEVATOR,R4  -ELEVATOR,2-02663-0062,755 EAST 168 STREET,497024,7.83,0.9
10.78,18120,5195000.0,UPPER WEST SIDE (96-116),9.09,31.58,28588000,D1  -ELEVATOR,R9  -CONDOPS,1-01895-0028,610 WEST 113 STREET,386318,10.59,0.2
