unique_squirrel_id,geocoded_column,tail_flags,eating,:@computed_region_sbqj_enih,highlight_fur_color,indifferent,x,chasing,approaches,location,y,date,above_ground_sighter,age,:@computed_region_92fq_4b7q,combination_of_primary_and,other_activities
8F-PM-1012-01,"{'type': 'Point', 'coordinates': [-73.97175802286641, 40.7715726159383]}",False,True,13,Cinnamon,False,-73.9717580228664,False,False,Ground Plane,40.7715726159383,10122018,FALSE,Adult,19,Gray+Cinnamon,
6A-AM-1006-03,"{'type': 'Point', 'coordinates': [-73.9782351435852, 40.7715896672335]}",True,True,13,"Cinnamon, White",False,-73.9782351435852,True,False,Above Ground,40.7715896672335,10062018,30,Adult,19,"Gray+Cinnamon, White",
4F-PM-1013-04,"{'type': 'Point', 'coordinates': [-73.974467903723, 40.7686520352868]}",False,True,13,Cinnamon,True,-73.974467903723,False,False,Ground Plane,40.7686520352868,10132018,FALSE,Adult,19,Gray+Cinnamon,
10A-AM-1006-03,"{'type': 'Point', 'coordinates': [-73.9762246600197, 40.775164077652]}",False,True,13,,False,-73.9762246600197,False,False,Ground Plane,40.775164077652,10062018,FALSE,Juvenile,19,Cinnamon+,
9A-AM-1013-08,"{'type': 'Point', 'coordinates': [-73.9762257701293, 40.7744032758323]}",False,False,13,,False,-73.9762257701293,False,False,,40.7744032758323,10132018,,Adult,19,+,
15I-PM-1012-03,"{'type': 'Point', 'coordinates': [-73.9646901432328, 40.775995869679]}",False,False,13,,False,-73.9646901432328,False,False,Ground Plane,40.775995869679,10122018,FALSE,Adult,19,Gray+,
13H-PM-1010-02,"{'type': 'Point', 'coordinates': [-73.9673253417305, 40.7749505252981]}",False,False,13,,True,-73.9673253417305,False,False,Above Ground,40.7749505252981,10102018,5,Adult,19,Gray+,
39C-AM-1017-04,"{'type': 'Point', 'coordinates': [-73.957976896139, 40.797027128241005]}",False,True,13,,False,-73.957976896139,False,False,Ground Plane,40.797027128241,10172018,FALSE,Adult,19,Gray+,
16A-PM-1019-04,"{'type': 'Point', 'coordinates': [-73.9730224561601, 40.7796833353894]}",False,False,13,Cinnamon,True,-73.9730224561601,False,False,Ground Plane,40.7796833353894,10192018,FALSE,Adult,19,Gray+Cinnamon,
15I-AM-1008-04,"{'type': 'Point', 'coordinates': [-73.9653142636891, 40.7760015129298]}",False,True,13,,False,-73.9653142636891,False,False,Ground Plane,40.7760015129298,10082018,FALSE,Adult,19,Gray+,
3H-PM-1014-07,"{'type': 'Point', 'coordinates': [-73.9725174868556, 40.7664248283566]}",False,False,13,White,True,-73.9725174868556,False,False,Ground Plane,40.7664248283566,10142018,FALSE,Adult,19,Gray+White,
6A-AM-1006-04,"{'type': 'Point', 'coordinates': [-73.97826438139, 40.7717086090782]}",False,False,13,White,False,-73.97826438139,True,False,Ground Plane,40.7717086090782,10062018,FALSE,Adult,19,Gray+White,
32E-AM-1007-10,"{'type': 'Point', 'coordinates': [-73.9598155300913, 40.7905887826983]}",False,False,13,,False,-73.9598155300913,False,False,Ground Plane,40.7905887826983,10072018,FALSE,Adult,19,Black+,
33B-PM-1010-11,"{'type': 'Point', 'coordinates': [-73.9619411917909, 40.7923536640283]}",False,False,13,,False,-73.9619411917909,False,False,Above Ground,40.7923536640283,10102018,10,Adult,19,Gray+,
38C-AM-1019-04,"{'type': 'Point', 'coordinates': [-73.9579218587172, 40.79606050288481]}",False,False,13,,True,-73.9579218587172,False,False,Ground Plane,40.7960605028848,10192018,FALSE,Adult,19,Gray+,
33E-AM-1014-05,"{'type': 'Point', 'coordinates': [-73.9589770206691, 40.791240542172]}",False,False,13,White,True,-73.9589770206691,False,False,Ground Plane,40.791240542172,10142018,FALSE,Adult,19,Gray+White,
33B-PM-1010-12,"{'type': 'Point', 'coordinates': [-73.9619417432685, 40.7930365939865]}",False,False,13,,False,-73.9619417432685,False,False,Ground Plane,40.7930365939865,10102018,FALSE,Adult,19,Gray+,
13A-AM-1017-01,"{'type': 'Point', 'coordinates': [-73.9746608786299, 40.7776092078254]}",False,False,13,,True,-73.9746608786299,False,False,Above Ground,40.7776092078254,10172018,5,Adult,19,Gray+,
30B-PM-1019-03,"{'type': 'Point', 'coordinates': [-73.9635689059841, 40.790163434915]}",False,False,13,Black,False,-73.9635689059841,False,False,Above Ground,40.790163434915,10192018,10,Adult,19,Gray+Black,
11I-PM-1012-03,"{'type': 'Point', 'coordinates': [-73.9681917366128, 40.7723298813768]}",False,False,13,,False,-73.9681917366128,False,False,Ground Plane,40.7723298813768,10122018,FALSE,Adult,19,Gray+,
17E-AM-1017-03,"{'type': 'Point', 'coordinates': [-73.9677054870327, 40.778992870166]}",False,False,13,,False,-73.9677054870327,False,False,Above Ground,40.778992870166,10172018,9,Adult,19,Gray+,
16E-PM-1018-01,"{'type': 'Point', 'coordinates': [-73.9678937289837, 40.7782808361645]}",False,False,13,Cinnamon,True,-73.9678937289837,False,False,Ground Plane,40.7782808361645,10182018,FALSE,Juvenile,19,Gray+Cinnamon,
35A-PM-1013-08,"{'type': 'Point', 'coordinates': [-73.9615602805554, 40.7945662185621]}",False,False,13,White,False,-73.9615602805554,False,False,Ground Plane,40.7945662185621,10132018,FALSE,Adult,19,Gray+White,
12G-PM-1007-06,"{'type': 'Point', 'coordinates': [-73.9686737866872, 40.7739714023732]}",False,False,13,Cinnamon,True,-73.9686737866872,False,False,,40.7739714023732,10072018,,,19,Gray+Cinnamon,
26I-PM-1010-04,"{'type': 'Point', 'coordinates': [-73.95945293109851, 40.7840492606552]}",False,True,13,Cinnamon,False,-73.9594529310985,False,True,Ground Plane,40.7840492606552,10102018,FALSE,Adult,19,Gray+Cinnamon,
16I-AM-1008-01,"{'type': 'Point', 'coordinates': [-73.9649866016038, 40.7764929694457]}",False,False,13,"Gray, White",True,-73.9649866016038,False,False,Ground Plane,40.7764929694457,10082018,FALSE,Adult,19,"Cinnamon+Gray, White",
10F-AM-1007-02,"{'type': 'Point', 'coordinates': [-73.9708726050721, 40.7723572030236]}",False,False,13,,False,-73.9708726050721,False,False,Above Ground,40.7723572030236,10072018,70,Adult,19,Gray+,
8B-AM-1007-09,"{'type': 'Point', 'coordinates': [-73.9766354967197, 40.7734575166319]}",False,True,13,,True,-73.9766354967197,False,False,Ground Plane,40.7734575166319,10072018,FALSE,Adult,19,Gray+,"shelling and eating a nut then a dog chased it up a tree & squirrel carried its nut up the tree,settled in a branch & resumed eating"
37F-PM-1014-01,"{'type': 'Point', 'coordinates': [-73.9554432393295, 40.7945669054449]}",False,False,13,,False,-73.9554432393295,False,False,Ground Plane,40.7945669054449,10142018,FALSE,,19,Gray+,
8B-PM-1012-08,"{'type': 'Point', 'coordinates': [-73.9756557086441, 40.773296289824]}",False,False,13,White,True,-73.9756557086441,False,False,Ground Plane,40.773296289824,10122018,FALSE,Adult,19,Cinnamon+White,
13B-PM-1008-01,"{'type': 'Point', 'coordinates': [-73.9741944367138, 40.7769889953596]}",False,False,13,White,True,-73.9741944367138,False,False,Above Ground,40.7769889953596,10082018,2,Adult,19,Gray+White,
19C-PM-1018-04,"{'type': 'Point', 'coordinates': [-73.9690828325179, 40.7818038172275]}",False,False,13,Cinnamon,False,-73.9690828325179,False,False,Ground Plane,40.7818038172275,10182018,FALSE,Adult,19,Gray+Cinnamon,
30E-AM-1008-01,"{'type': 'Point', 'coordinates': [-73.9605966636226, 40.7889849108637]}",False,False,13,White,False,-73.9605966636226,False,False,Ground Plane,40.7889849108637,10082018,FALSE,Adult,19,Gray+White,
39B-PM-1014-06,"{'type': 'Point', 'coordinates': [-73.9584835416846, 40.7978213396921]}",False,False,13,Cinnamon,True,-73.9584835416846,False,False,Above Ground,40.7978213396921,10142018,10,Adult,19,Gray+Cinnamon,
15G-PM-1019-12,"{'type': 'Point', 'coordinates': [-73.9673160165357, 40.7766158001202]}",False,False,13,,False,-73.9673160165357,False,False,Above Ground,40.7766158001202,10192018,4,Adult,19,Gray+,
22C-AM-1013-02,"{'type': 'Point', 'coordinates': [-73.968045072743, 40.7836626717225]}",True,False,13,Gray,False,-73.968045072743,False,False,Above Ground,40.7836626717225,10132018,4,Adult,19,Cinnamon+Gray,
39F-PM-1006-03,"{'type': 'Point', 'coordinates': [-73.95448101115, 40.7954469678857]}",False,True,13,White,False,-73.95448101115,False,False,Above Ground,40.7954469678857,10062018,15,Adult,19,Gray+White,
19A-PM-1013-01,"{'type': 'Point', 'coordinates': [-73.9708301070924, 40.7820200927465]}",False,False,13,White,True,-73.9708301070924,False,False,Ground Plane,40.7820200927465,10132018,FALSE,Adult,19,Gray+White,planting acorns
22B-PM-1014-07,"{'type': 'Point', 'coordinates': [-73.9681722244801, 40.783559826281]}",False,False,13,Cinnamon,True,-73.9681722244801,False,False,Ground Plane,40.783559826281,10142018,FALSE,Adult,19,Gray+Cinnamon,
14B-PM-1014-06,"{'type': 'Point', 'coordinates': [-73.9727488640736, 40.7781916780621]}",False,False,13,Cinnamon,False,-73.9727488640736,False,True,Ground Plane,40.7781916780621,10142018,FALSE,Juvenile,19,Gray+Cinnamon,watching me
15F-PM-1010-06,"{'type': 'Point', 'coordinates': [-73.968052057989, 40.777338666528]}",False,False,13,,True,-73.968052057989,False,False,Ground Plane,40.777338666528,10102018,FALSE,Adult,19,Gray+,
42H-AM-1019-01,"{'type': 'Point', 'coordinates': [-73.9504693544225, 40.797225436004]}",False,True,13,White,False,-73.9504693544225,False,False,Ground Plane,40.797225436004,10192018,FALSE,Adult,19,Cinnamon+White,
40D-PM-1013-05,"{'type': 'Point', 'coordinates': [-73.9561141662309, 40.7976258458604]}",False,False,13,Cinnamon,False,-73.9561141662309,False,False,Ground Plane,40.7976258458604,10132018,FALSE,Adult,19,Gray+Cinnamon,
5D-AM-1020-01,"{'type': 'Point', 'coordinates': [-73.9761107065353, 40.769642060286]}",False,False,13,,False,-73.9761107065353,False,False,Above Ground,40.769642060286,10202018,30,Adult,19,+,
14I-PM-1018-06,"{'type': 'Point', 'coordinates': [-73.9655905300923, 40.7752614638023]}",False,False,13,Black,True,-73.9655905300923,False,False,Above Ground,40.7752614638023,10182018,2,Adult,19,Cinnamon+Black,
22D-PM-1012-05,"{'type': 'Point', 'coordinates': [-73.9659549963516, 40.7833659689194]}",False,True,13,"Black, Cinnamon, White",True,-73.9659549963516,False,False,,40.7833659689194,10122018,,Adult,19,"Gray+Black, Cinnamon, White",
3B-AM-1010-08,"{'type': 'Point', 'coordinates': [-73.9787105069657, 40.7693708133873]}",False,False,13,Cinnamon,True,-73.9787105069657,False,False,Above Ground,40.7693708133873,10102018,10,Juvenile,19,Gray+Cinnamon,together w/ #7
