address1,part_time,prep_for_others,monday,borough,fiscal_year_amount,nonkosher_budget,total_fy20_personnel_budget,comb_cost_per_person,site_type,thursday,months_in_hhs
9000 SHORE ROAD,1,No,09:00 AM - 05:00PM,BROOKLYN,256255.0,149903.46,271787.54,2199.61,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,8.0
378 COURT STREET,4,No,08:00 AM - 04:00PM,BROOKLYN,702875.0,343239.25,365655.93,3445.37,SENIOR CENTER,08:00 AM - 04:00PM,12.0
933 54 STREET,0,-,08:30 AM - 04:30PM,BROOKLYN,707839.0,241931.78,483606.91,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
85 PALMETTO STREET,4,No,09:00 AM - 07:00PM,BROOKLYN,978390.0,113643.26,178140.12,1381.85,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 07:00PM,7.0
325 EAST  156 STREET,0,Yes,08:00 AM - 04:00PM,BRONX,430795.0,175764.13,373687.54,2908.22,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
25 CARMINE STREET,0,No,09:00 AM - 05:00PM,MANHATTAN,288997.0,89541.87,271383.94,2317.63,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
106-20 SHORE FRONT PARKWAY,0,-,08:00 AM - 04:00PM,QUEENS,273003.0,144112.31,249519.87,,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
102-19 34 AVENUE,0,Yes,08:00 AM - 04:00PM,QUEENS,354988.0,309891.0,350384.98,,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
2600 NETHERLAND AVENUE,6,No,09:00 AM - 05:00PM,BRONX,572842.0,447438.81,527976.6,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
1315 FRANKLIN AVENUE,9,Yes,08:00 AM - 04:00PM,BRONX,263040.0,199358.88,309036.43,3138.98,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
120 WEST   76 STREET,0,No,08:00 AM - 04:00PM,MANHATTAN,1008244.0,164932.0,192303.12,9054.7,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,8.0
3450 DEKALB AVENUE,0,Yes,08:00 AM - 04:00PM,BRONX,508216.0,156799.09,319474.29,1609.77,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
20 WASHINGTON SQUARE NORTH,1,No,09:00 AM - 05:00PM,MANHATTAN,370359.0,185131.23,276941.02,993.08,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
83-20 QUEENS BOULEVARD,0,No,09:00 AM - 04:00PM,QUEENS,423353.0,446956.9,289859.09,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 04:00PM,7.0
143-22 109 AVENUE,0,No,08:00 AM - 04:00PM,QUEENS,193248.0,216241.63,217782.79,,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
"100 GOLD STREET, LOWER LEVEL",0,-,08:00 AM - 05:00PM,MANHATTAN,831406.0,769929.36,726329.07,1031.92,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 05:00PM,7.0
460 ATLANTIC AVENUE,13,No,08:00 AM - 04:00PM,BROOKLYN,665208.0,236739.25,361542.86,,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
463A 7TH ST.,3,No,09:00 AM - 05:00PM,BROOKLYN,311604.0,254639.87,245739.09,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
1068 GERARD AVENUE,0,No,09:00 AM - 05:00PM,BRONX,356340.0,250679.33,295181.67,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
169-65 137 AVENUE,1,No,09:00 AM - 05:00PM,QUEENS,255944.0,184076.62,318469.08,1658.96,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
953 SOUTHERN BLVD OFFICE 205,6,-,09:00 AM - 05:00PM,BRONX,1641067.0,0.0,364575.47,,SENIOR CENTER,09:00 AM - 05:00PM,12.0
430 DUMONT AVENUE,0,No,08:00 AM - 04:30PM,BROOKLYN,303488.0,207408.91,289627.15,1840.81,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:30PM,7.0
3643 NOSTRAND AVENUE,0,No,08:30 AM - 04:30PM,BROOKLYN,426725.0,284214.9,427690.59,2433.43,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
7711 18 AVENUE,3,No,08:30 AM - 04:30PM,BROOKLYN,327286.0,190350.91,214374.31,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
99 FORT WASHINGTON AVE.,1,No,08:00 AM - 04:30PM,MANHATTAN,395104.0,266221.58,440621.57,2214.64,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:30PM,7.0
2049 BARTOW AVENUE,0,No,08:00 AM - 04:00PM,BRONX,387679.0,0.0,323933.74,1453.79,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
68-07 BURNS STREET,0,-,08:30 AM - 04:30PM,QUEENS,263688.0,286898.99,283983.58,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
243 EAST  204 STREET,0,No,08:30 AM - 04:30PM,BRONX,371466.0,236946.47,311505.6,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
415 EAST 73RD STREET,2,-,09:00 AM - 05:00PM,MANHATTAN,903353.0,0.0,271952.81,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
60 WEST END AVENUE,0,No,09:00 AM - 05:00PM,BROOKLYN,359857.0,0.0,333648.57,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
7802 BAY PARKWAY,4,No,09:00 AM - 05:00PM,BROOKLYN,327037.0,0.0,347185.47,2057.52,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
47 VANDALIA AVENUE,5,No,08:00 AM - 04:00PM,BROOKLYN,348445.0,288687.13,287835.77,1536.82,NEIGHBORHOOD SENIOR CENTERS,08:00 AM - 04:00PM,7.0
930 HALSEY STREET,3,No,09:00 AM - 05:00PM,BROOKLYN,978390.0,128365.62,195323.23,4448.72,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
220-01 LINDEN BOULEVARD,0,No,09:00 AM - 05:00PM,QUEENS,379441.0,448025.63,335290.37,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00PM,7.0
307 EAST  116 STREET,5,-,08:30 AM - 04:30PM,MANHATTAN,451432.0,47777.56,156488.3,,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
120 STUYVESANT PLACE,8,-,09:00 AM - 05:00 PM,STATEN ISLAND,606434.0,0.0,353392.44,,NEIGHBORHOOD SENIOR CENTERS,09:00 AM - 05:00 PM,7.0
1540 VAN SICLEN AVENUE,0,No,07:00 AM - 03:00PM,BROOKLYN,321774.0,0.0,251748.99,,NEIGHBORHOOD SENIOR CENTERS,07:00 AM - 03:00PM,7.0
80 EAST  181 STREET,13,Yes,08:00 AM - 04:00PM,BRONX,1043359.0,386468.0,,1914.53,INNOVATIVE SENIOR CENTERS,08:00 AM - 04:00PM,
715 LEONARD STREET,0,No,08:30 AM - 04:30PM,BROOKLYN,399340.0,297939.42,369199.32,2719.26,NEIGHBORHOOD SENIOR CENTERS,08:30 AM - 04:30PM,7.0
