hht,educattain,sporder,est_moop,mar,ftptwork
1,1.0,2,,1,2
1,3.0,3,,5,3
1,3.0,1,9567.0,1,1
2,2.0,1,9288.0,3,1
1,3.0,1,925.0,1,3
3,2.0,4,,1,1
3,3.0,1,0.0,5,2
1,1.0,3,,5,3
2,3.0,2,,5,3
3,2.0,1,5146.04,2,3
1,4.0,1,4327.0,1,1
1,1.0,3,,5,3
1,4.0,2,,1,2
3,1.0,4,,5,2
6,3.0,1,13.0,2,3
2,2.0,5,,5,1
4,1.0,1,216.0,5,3
3,1.0,2,3261.0,1,2
1,2.0,5,,1,3
1,1.0,3,,5,3
1,4.0,1,890.0,1,2
1,4.0,2,,1,1
1,2.0,1,4240.0,1,3
4,1.0,1,1637.64,4,3
3,1.0,3,,5,3
1,,3,,5,3
1,4.0,2,,1,3
1,1.0,3,,5,3
1,1.0,2,,1,3
1,2.0,1,1889.0,1,2
3,1.0,2,,5,3
1,3.0,3,,5,1
1,1.0,3,,5,3
7,,5,,5,3
4,4.0,1,1292.0,5,2
1,4.0,2,,1,1
1,3.0,1,11954.0,1,2
1,3.0,2,,1,1
1,4.0,2,,1,2
4,4.0,1,5096.0,5,3
1,3.0,1,1058.0,1,1
1,4.0,1,3178.0,1,1
3,2.0,2,,5,3
1,3.0,2,,1,3
7,4.0,2,,5,1
1,1.0,3,,3,3
1,1.0,4,,5,3
1,3.0,3,,1,1
1,2.0,1,1326.66,1,1
1,1.0,3,,5,2
3,1.0,2,,2,3
1,1.0,1,608.0,1,2
4,1.0,1,1600.0,4,2
1,1.0,3,,5,3
1,1.0,3,,5,3
1,3.0,1,376.0,1,1
1,4.0,3,,5,3
1,3.0,3,,5,2
3,1.0,4,,5,3
5,4.0,2,,5,1
6,2.0,1,4363.04,5,1
1,1.0,3,,5,3
1,4.0,2,,1,1
3,1.0,3,,5,3
1,2.0,2,,1,1
1,2.0,1,813.16,1,1
1,3.0,1,1552.0,1,1
6,2.0,1,1770.2,2,3
2,2.0,1,5958.88,3,3
2,1.0,2,,5,3
1,2.0,1,4280.8,1,1
1,1.0,4,,1,3
3,1.0,2,,5,3
1,,4,,5,3
1,1.0,1,3164.0,1,3
1,3.0,1,425.0,1,1
6,2.0,1,582.0,2,3
7,4.0,2,987.96,5,2
1,2.0,2,,1,1
1,1.0,1,188.0,1,1
1,1.0,2,,1,3
1,3.0,2,,1,2
3,3.0,1,2055.0,1,3
3,1.0,6,,2,3
3,3.0,2,,5,2
1,1.0,6,,1,3
1,1.0,6,,5,3
1,2.0,1,3980.0,1,1
1,4.0,2,,1,3
1,2.0,2,,1,3
1,4.0,2,,1,2
3,2.0,1,561.0,5,1
1,2.0,2,,1,3
3,2.0,1,7131.0,3,2
6,3.0,1,1040.0,2,1
3,1.0,2,,5,3
1,1.0,2,,1,3
4,4.0,1,343.0,5,2
3,1.0,1,937.0,2,3
1,1.0,7,,5,3
4,3.0,1,450.0,3,1
5,2.0,1,1263.0,3,2
3,1.0,1,686.0,2,3
3,1.0,2,,5,3
1,4.0,1,6091.12,1,1
4,4.0,1,2955.0,5,1
3,,2,,5,3
1,4.0,2,,1,3
1,4.0,3,,5,2
3,1.0,2,,3,3
1,2.0,3,,2,3
1,3.0,2,,1,1
1,1.0,4,,5,3
1,3.0,2,,1,3
6,3.0,1,0.0,4,3
3,2.0,2,,5,3
1,1.0,3,,5,3
7,4.0,1,2504.0,5,1
1,1.0,2,,1,3
1,2.0,2,,1,3
1,2.0,1,3211.0,1,1
1,1.0,3,,5,3
3,1.0,2,,5,3
2,4.0,1,623.0,3,2
2,4.0,2,,1,2
3,2.0,4,,5,3
3,3.0,2,,5,3
1,3.0,2,,1,1
1,1.0,3,,5,3
1,4.0,1,5504.0,1,1
1,1.0,1,2222.28,1,3
1,4.0,4,,5,3
3,3.0,1,4665.0,4,3
1,1.0,3,,5,3
1,1.0,1,860.0,1,1
3,3.0,1,0.0,5,2
1,1.0,3,,5,3
1,3.0,3,,5,2
1,4.0,1,510.0,1,3
6,2.0,1,3787.0,2,3
3,3.0,1,17022.0,3,3
2,3.0,3,,1,1
6,4.0,1,2329.0,5,1
2,1.0,2,,5,3
1,4.0,3,,5,2
3,,4,,5,3
1,2.0,1,4120.84,1,1
1,1.0,3,,5,2
6,3.0,1,1136.0,5,1
3,3.0,1,459.0,4,1
3,1.0,2,,5,3
1,4.0,2,,1,1
1,4.0,1,9088.0,1,2
1,3.0,2,,1,2
1,4.0,5,,1,3
3,2.0,1,208.0,5,2
1,1.0,3,,5,3
2,2.0,2,,5,1
1,,3,,5,3
1,4.0,2,,1,1
7,4.0,1,185.0,5,2
3,1.0,6,,1,2
4,2.0,1,0.0,5,2
2,2.0,1,332.0,5,3
3,2.0,3,,5,3
3,1.0,2,,5,3
1,1.0,1,165.0,1,2
1,1.0,5,,5,3
1,4.0,2,,1,1
1,4.0,6,,5,2
1,2.0,3,,5,2
1,4.0,1,12502.04,1,1
3,1.0,3,,5,3
1,1.0,4,,5,1
1,1.0,2,,1,1
1,3.0,1,3295.0,1,1
3,2.0,2,,5,3
3,3.0,3,,5,2
6,1.0,1,444.0,2,3
4,2.0,1,1608.0,2,3
1,4.0,2,,1,1
1,4.0,4,,5,3
1,,5,,5,3
4,4.0,1,2658.0,5,2
1,4.0,3,,5,2
