floor_id,floor_outlets,sign_sq_footage,fee_amount,floor_kw,sign_circuits,floor_att_receptacles
0,0,0,30.0,0,0,0
FF9E8962-17DD-E811-811A-005056B627E6,2,0,40.0,0,0,0
0,0,0,8.0,0,0,0
0,0,0,12.0,0,0,0
0,0,0,75.0,0,0,0
BF3D7914-FADD-E811-811A-005056B627E6,80,0,62.75,0,0,30
DE7F7D43-0568-E811-8119-005056B627E6,482,0,935.5,0,0,167
0,0,0,15.0,0,0,0
FFEC446D-ED44-E811-8117-005056B627E4,57,0,11.75,0,0,30
0,0,0,60.0,0,0,0
0,0,0,200.0,0,0,0
0,0,0,16.0,0,0,0
0,0,0,435.0,0,0,0
00176498-4302-E911-811C-005056B627E4,60,0,18.0,0,0,30
0,0,0,375.0,0,0,0
FF90011B-0D52-E911-8120-005056B627E4,177,0,42.25,0,0,75
0,0,0,37.5,0,0,0
0,0,0,45.0,0,0,0
0,0,0,200.0,0,0,0
FFC3AABE-8D55-E911-8120-005056B627E4,460,0,124.25,153,0,125
0,0,0,225.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,8.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,15.0,0,0,0
FF0E544E-A0FF-E811-811C-005056B627E4,10,0,7.0,0,0,10
0,0,0,37.5,0,0,0
0,0,0,30.0,0,0,0
0,0,0,16.0,0,0,0
190FF191-3F17-E811-8117-005056B627E4,55,0,60.5,0,0,15
0,0,0,30.0,0,0,0
690C9775-5721-E811-8117-005056B627E4,15,0,5.0,0,0,5
0,0,0,8.0,0,0,0
0,0,0,300.0,0,0,0
F78C27F6-0B5A-E911-8120-005056B627E6,156,0,36.5,0,0,24
0,0,0,15.0,0,0,0
FFC09EAC-F153-E911-8120-005056B627E4,108,0,24.5,0,0,48
D77CDDDF-3AC7-E811-811B-005056B627E4,87,0,51.25,0,0,31
91BCA85D-7C21-E811-8117-005056B627E4,13,0,7.25,0,0,0
0,0,0,8.0,0,0,0
0,0,0,37.5,0,0,0
0,0,0,150.0,0,0,0
3A934D7E-5D22-E811-8117-005056B627E4,18,0,2.0,0,0,9
0,0,0,900.0,0,0,0
0,0,0,1935.0,0,0,0
0,0,0,15.0,0,0,0
0,0,0,60.0,0,0,0
002BF73A-F319-E911-811D-8CFAEDA547D3,101,0,23.25,0,0,33
0,0,0,105.0,0,0,0
FFD511FC-252A-E811-8117-005056B627E4,59,0,39.25,0,0,27
9522AD41-6181-E811-811A-005056B627E4,80,0,17.5,0,0,80
DE6600CA-C10A-E911-811C-005056B627E4,28,0,4.5,0,0,19
0,0,0,90.0,0,0,0
6AB71DFB-D273-E811-811A-005056B627E4,84,0,49.25,0,0,30
FFA10E25-5E6B-E911-8120-005056B627E6,48,0,9.5,0,0,25
D9F8AD9E-F388-E811-811A-005056B627E4,43,0,97.25,0,0,24
093EDAD7-20C5-E811-811A-005056B627E6,45,0,135.75,0,0,16
0,0,0,180.0,0,0,0
0,0,0,90.0,0,0,0
0013684F-88E6-E711-8116-005056B627E6,92,0,28.5,0,0,26
0,0,0,105.0,0,0,0
0,0,0,45.0,0,0,0
0,0,0,810.0,0,0,0
9B214B6F-F388-E811-811A-005056B627E4,53,0,97.25,0,0,28
0,0,0,8.0,0,0,0
FF51A35E-90FC-E711-8116-005056B627E6,32,0,5.5,0,0,20
0,0,0,16.0,0,0,0
FFEE9707-91A4-E811-811B-005056B627E4,25,0,3.75,0,0,0
D5DAD71D-9F04-E911-811C-005056B627E4,7,0,49.75,0,0,3
0,0,0,1200.0,0,0,0
0,0,0,225.0,0,0,0
0,0,0,15.0,0,0,0
E0D4533C-693E-E811-8117-005056B627E4,41,0,19.5,0,0,20
0,0,0,30.0,0,0,0
0,0,0,225.0,0,0,0
0,0,0,50.0,0,0,0
B0F5E402-9E57-E811-8117-005056B627E4,13,0,215.5,0,0,12
0,0,0,15.0,0,0,0
FFDDB56A-4DBC-E811-811B-005056B627E4,38,0,17.75,0,0,17
0,0,0,90.0,0,0,0
5542D048-7307-E811-8117-005056B627E4,7,0,14.25,0,0,0
