latitude,longitude,comparable_rental_1_address,comparable_rental_2_total_units,brooklyn_condominium_property_gross_sqft,comparable_rental_1_market_value_per_sqft,brooklyn_condominium_property_building_classification,comparable_rental_2_building_classification,community_board,bbl,brooklyn_condominium_property_est_gross_income
40.720048,-73.957503,84 BROADWAY,25.0,35801,92.0,R4-ELEVATOR,D9-ELEVATOR,1.0,3023037501.0,624000
40.634171,-73.972351,829 GREENWOOD AVENUE,36.0,43528,88.0,R4-ELEVATOR,C7-WALK-UP,12.0,3054007501.0,761740
40.693606,-73.98308,205 STATE STREET,187.0,202727,104.0,R4-ELEVATOR,D6-ELEVATOR,2.0,3020607501.0,5506065
40.676838,-73.960447,55 BROOKLYN AVENUE,31.0,10784,28.4,R2-WALK-UP,C1-WALK-UP,8.0,3011557502.0,129408
40.717505,-73.954247,94 HAVEMEYER STREET,22.0,11383,70.0,R2-WALK-UP,D9-ELEVATOR,1.0,3023137501.0,212520
40.604721,-73.959399,139 EMERSON PLACE,48.0,19600,73.0,R2-WALK-UP,C1-WALK-UP,15.0,3068197501.0,235200
40.644563,-73.998829,832 42 STREET,20.0,9903,40.5,R2-WALK-UP,C4-WALK-UP,12.0,3009257501.0,174391
40.577241,-73.953962,835 OCEAN AVENUE,,133505,19.7,R9-CONDOPS,,13.0,3087237501.0,1241597
40.600367,-73.95158,2992 NOSTRAND AVENUE,,43876,29.6,R4-ELEVATOR,,15.0,3073257501.0,501941
40.699742,-73.950552,276 SOUTH 1 STREET,30.0,17940,44.6,R4-ELEVATOR,D9-ELEVATOR,1.0,3022647520.0,365437
40.703188,-73.984665,16 WATER STREET,59.0,52530,103.0,R4-ELEVATOR,D7-ELEVATOR,2.0,3000317502.0,1044000
40.579951,-73.964274,3160 CONEY ISLAND AVENUE,32.0,18163,43.8,R4-ELEVATOR,C7-WALK-UP,13.0,3086647501.0,273805
40.605989,-73.978734,549 6 AVENUE,,11525,94.0,R4-ELEVATOR,,11.0,3066517501.0,258852
40.720562,-73.946861,692 METROPOLITAN AVENUE,25.0,16680,119.0,R4-ELEVATOR,D2-ELEVATOR,1.0,3027197503.0,440185
40.692797,-73.97276,63 FT GREENE PLACE,24.0,22750,77.0,R2-WALK-UP,C1-WALK-UP,2.0,3020737501.0,380075
40.696274,-73.955524,640 LAFAYETTE AVENUE,,12338,138.0,R4-ELEVATOR,,3.0,3017347512.0,363971
40.713306,-73.956476,233 FRANKLIN STREET,20.0,28440,90.0,R2-WALK-UP,C1-WALK-UP,1.0,3023837501.0,518400
,,322 RODNEY STREET,12.0,25336,72.0,R2-WALK-UP,C1-WALK-UP,,,443380
40.584444,-73.94442,3611 SHORE PARKWAY,,18590,64.0,R4-ELEVATOR,,15.0,3087837502.0,309709
40.60264,-73.952018,677 CLASSON AVENUE,,17388,118.0,R4-ELEVATOR,,15.0,3072997501.0,333312
40.685322,-73.971281,158 ADELPHI STREET,16.0,40875,65.0,R2-WALK-UP,C1-WALK-UP,2.0,3019577501.0,694875
40.674316,-73.9847,78 PROSPECT PARK WEST,30.0,54122,76.0,R4-ELEVATOR,D1-ELEVATOR,6.0,3009747504.0,1195440
40.642628,-74.002122,2219 64 STREET,35.0,23207,40.9,R4-ELEVATOR,D1-ELEVATOR,12.0,3007697501.0,0
40.692272,-73.954705,640 LAFAYETTE AVENUE,13.0,24200,138.0,R4-ELEVATOR,C7-WALK-UP,3.0,3017637504.0,0
40.612757,-74.033727,378 93 STREET,14.0,20790,76.0,R4-ELEVATOR,C7-WALK-UP,10.0,3061377502.0,436590
40.60015,-73.951541,677 CLASSON AVENUE,,17109,118.0,R4-ELEVATOR,,15.0,3073257504.0,337218
40.690313,-73.956271,854 GATES AVENUE,,40106,62.0,R4-ELEVATOR,,3.0,3019417501.0,1163074
