programname,longitude,census_tract,latitude,x,council_district
P.S./I.S. 187 Hudson Cliffs,-73.937093,273.0,40.856693,1001652,10.0
P.S. 38 The Pacific,-73.982639,39.0,40.685264,989065,33.0
1199 Future of America Learning Center,-73.897948,401.0,40.862953,1012478,14.0
Friends of Crown Heights 29,-73.929039,347.0,40.673175,1003934,36.0
Manida (Center #1),-73.888434,93.0,40.814588,1015120,17.0
Williamsbridge NAACP Early Childhood Education Center,-73.863773,392.0,40.883871,1021919,12.0
Sunset Park Avenues Elementary School,-74.008105,82.0,40.650785,982001,38.0
Urban Strategies 3,-73.873986,1070.0,40.65639,1019214,42.0
"Yeled V'Yalda ECC, Inc.",-73.978914,486.0,40.639418,990102,39.0
Brooklyn Brownstone School,-73.935963,273.0,40.681896,1002011,36.0
HELP I,-73.899963,1134.0,40.667082,1012002,42.0
Prospect Early Childhood Center,-73.899717,85.0,40.816517,1012008,8.0
P.S. 67 Charles A. Dorsey,-73.978215,2901.0,40.695633,990291,35.0
Pequenos Souls Day Care Center,-73.939701,196.0,40.802802,1000944,9.0
P.S. 129 John H. Finley,-73.951912,21703.0,40.814637,997561,9.0
P.S. 89,-74.013542,31703.0,40.716668,980496,1.0
East Harlem Education Center,-73.942688,170.0,40.790263,1000120,8.0
P.S. 207,-73.906556,289.0,40.878322,1010091,11.0
P.S. 257 John F. Hylan,-73.941801,491.0,40.702392,1000387,34.0
P.S. 124 Yung Wing,-73.995087,16.0,40.714201,985612,1.0
P.S. 209,-73.897491,38301.0,40.856585,1012498,15.0
P.S. 189,-73.927604,277.0,40.852631,1004278,10.0
LSSMNY: Early LIFE Childrens Center 14,-73.948215,229.0,40.82548,998582,7.0
Sixth Avenue Elementary School,-73.9955,54.0,40.739178,985497,3.0
P.S. 215 Morris H. Weiss,-73.970013,41401.0,40.602084,992577,47.0
The Learning Tree,-73.862622,372.0,40.873827,1022243,12.0
"All Seasons Day Care, LLC",-73.852411,434.0,40.897866,1025052,11.0
District 20 Pre-K Center at 7415 Fort Hamilton Parkway,-74.015894,206.0,40.626158,979838,43.0
P.S. 58,-73.899264,395.0,40.846162,1012121,15.0
Cathedral Parkway Towers Preschool,-73.962367,193.0,40.801565,994669,7.0
P.S. 40 Augustus Saint-Gaudens,-73.981655,64.0,40.735751,989313,2.0
Riverdale Nursery School And Family Center,-73.90362,285.0,40.887742,1010899,11.0
Bais Yaakov D'Chassidei Gur,-73.977946,464.0,40.62465,990372,44.0
P.S. 123 Mahalia Jackson,-73.944433,22102.0,40.819767,999630,9.0
The Bilingual Bicultural School,-73.942548,180.0,40.793194,1000158,8.0
Learning Through Play Pre-K Center at 105 Willis Avenue,-73.925307,19.0,40.805788,1004928,8.0
St. Anselm Catholic Academy,-74.028499,62.0,40.625297,976339,43.0
P.S. 396,-73.913197,24502.0,40.854701,1008263,14.0
P.S. 182,-73.856302,16.0,40.818228,1024024,18.0
Imagine Early Learning Center at East 97th Street,-73.952888,16002.0,40.787567,997296,4.0
P.S. 20 Clinton Hill,-73.971376,183.0,40.690765,992188,35.0
District 2 Pre-K Center at 10 Reade Street,-74.004163,31.0,40.713899,983096,1.0
Washington Heights DCC,-73.937006,263.0,40.845604,1001679,10.0
Trey Whitfield School,-73.901487,1144.0,40.674961,1011576,37.0
Guild for Exceptional Children,-73.997511,216.0,40.630998,984941,44.0
Saint Theresa,-73.833239,26601.0,40.849483,1030386,13.0
Williamsburg CCC,-73.963835,545.0,40.705423,994277,33.0
Seventh Avenue Center for Family Services,-73.92005,21501.0,40.848772,1006369,14.0
P.S. 253,-73.962071,364.0,40.579607,994786,48.0
P.S. 107,-73.868372,20.0,40.818467,1020683,18.0
P.S. 306 Ethan Allen,-73.886547,1104.0,40.655997,1015729,42.0
P.S. 224 Hale A. Woodruff,-73.866092,1220.0,40.664075,1021400,42.0
Strong Place for Hope Day Care Center - Atlantic,-73.983223,41.0,40.686296,988903,33.0
P.S. 140 The Eagle School,-73.907948,185.0,40.823289,1009727,17.0
