dbn,programname,geodistrict,programtype,accessibility,earlylearnseats,bbl,nonsiblingoffers,duallanguageprograms
06M187,P.S./I.S. 187 Hudson Cliffs,6,District School,No Accessibility,,1021790365.0,Some,
15K038,P.S. 38 The Pacific,15,District School,No Accessibility,,3001910001.0,Some,
10XAPN,1199 Future of America Learning Center,10,NYCEEC,No Information Available,,2031670001.0,,
16KBKK,Friends of Crown Heights 29,16,NYCEEC,No Information Available,All,3013610066.0,,
08XAGF,Manida (Center #1),8,NYCEEC,No Information Available,All,2027630029.0,,
11XAPX,Williamsbridge NAACP Early Childhood Education Center,11,NYCEEC,No Information Available,,2046510044.0,,
15K516,Sunset Park Avenues Elementary School,15,District School,Partially Accessible,,3007230025.0,Some,Y
19KBVE,Urban Strategies 3,19,NYCEEC,No Information Available,All,3044487501.0,,
20KBIS,"Yeled V'Yalda ECC, Inc.",20,Half Day Programs,No Information Available,,3053690006.0,,
16K628,Brooklyn Brownstone School,16,District School,No Accessibility,,3016740011.0,Some,
19KBPG,HELP I,19,NYCEEC,No Information Available,All,3037660001.0,,
08XAKR,Prospect Early Childhood Center,8,NYCEEC,No Information Available,All,2027080025.0,,
13K067,P.S. 67 Charles A. Dorsey,13,District School,No Accessibility,,3020390002.0,Some,
04MASX,Pequenos Souls Day Care Center,4,NYCEEC,No Information Available,All,1017700159.0,,
05M129,P.S. 129 John H. Finley,5,District School,No Accessibility,,1019570010.0,Some,Y
02M089,P.S. 89,2,District School,Fully Accessible,,1000160220.0,,
84M518,East Harlem Education Center,4,Charter School,No Information Available,,1016770001.0,,
10X207,P.S. 207,10,District School,No Accessibility,,2057010105.0,Some,
14K257,P.S. 257 John F. Hylan,14,District School,Partially Accessible,,3031140011.0,All,
02M124,P.S. 124 Yung Wing,2,District School,Partially Accessible,,1002890001.0,Some,
10X209,P.S. 209,10,District School,Fully Accessible,,2031460072.0,Some,
06M189,P.S. 189,6,District School,Partially Accessible,,1021590051.0,All,
06MATP,LSSMNY: Early LIFE Childrens Center 14,6,NYCEEC,No Information Available,All,1020760041.0,,
02M340,Sixth Avenue Elementary School,2,District School,Fully Accessible,,1008187501.0,Some,
21K215,P.S. 215 Morris H. Weiss,21,District School,Partially Accessible,,3066810169.0,Some,
11XAEW,The Learning Tree,11,NYCEEC,No Information Available,,2046330011.0,,
11XAWG,"All Seasons Day Care, LLC",11,NYCEEC,No Information Available,,2050720013.0,,
20Z073,District 20 Pre-K Center at 7415 Fort Hamilton Parkway,20,Pre-K Center,No Information Available,,3059340001.0,,Y
09X058,P.S. 58,9,District School,No Accessibility,,2029090032.0,All,
03MAZI,Cathedral Parkway Towers Preschool,3,NYCEEC,No Information Available,,1018640009.0,,
02M040,P.S. 40 Augustus Saint-Gaudens,2,District School,No Accessibility,,1009250012.0,,
10XALT,Riverdale Nursery School And Family Center,10,NYCEEC,No Information Available,,2057777501.0,,
21KABE,Bais Yaakov D'Chassidei Gur,21,NYCEEC,No Information Available,,3054620045.0,,
05M123,P.S. 123 Mahalia Jackson,5,District School,No Accessibility,,1020420035.0,All,
04M182,The Bilingual Bicultural School,4,District School,No Accessibility,,1016590012.0,All,
07Z028,Learning Through Play Pre-K Center at 105 Willis Avenue,7,Pre-K Center,No Information Available,,2022957501.0,,
20KAJD,St. Anselm Catholic Academy,20,NYCEEC,No Information Available,,3060070053.0,,
10X396,P.S. 396,10,District School,No Accessibility,,2032160002.0,Some,
08X182,P.S. 182,8,District School,No Accessibility,,2035640001.0,Some,
02MANH,Imagine Early Learning Center at East 97th Street,2,NYCEEC,No Information Available,,1016020044.0,,
13K020,P.S. 20 Clinton Hill,13,District School,No Accessibility,,3020910003.0,Some,
02Z089,District 2 Pre-K Center at 10 Reade Street,2,Pre-K Center,No Information Available,,1001550001.0,,
06MAXS,Washington Heights DCC,6,NYCEEC,No Information Available,All,1021430048.0,,
19KCLM,Trey Whitfield School,19,NYCEEC,No Information Available,,3036820033.0,,
20KBAI,Guild for Exceptional Children,20,NYCEEC,No Information Available,,3056900042.0,,
08XAEO,Saint Theresa,8,NYCEEC,No Information Available,,2041920023.0,,
14KBKF,Williamsburg CCC,14,NYCEEC,No Information Available,All,3021760001.0,,
09XAOK,Seventh Avenue Center for Family Services,9,NYCEEC,No Information Available,All,2028780028.0,,
21K253,P.S. 253,21,District School,No Accessibility,,3086660610.0,Some,
08X107,P.S. 107,8,District School,No Accessibility,,2035910050.0,Some,
02Z121,District 2 Pre-K Center at 252 East 57 Street,2,Pre-K Center,No Information Available,,1013307502.0,,
05M175,P.S. 175 Henry H Garnet,5,District School,Partially Accessible,,1019190006.0,All,
18K244,P.S. 244 Richard R. Green,18,District School,Fully Accessible,,3047390001.0,All,
10X077,Bedford Park Elementary School,10,District School,Fully Accessible,,2033530040.0,Some,Y
17KBVX,Yeled V'Yalda 667,17,Half Day Programs,No Information Available,,3012630041.0,,
03M009,P.S. 9 Sarah Anderson,3,District School,Partially Accessible,,1012140029.0,,
09X555,Mount Eden Children's Academy,9,District School,Fully Accessible,,2028590077.0,Some,
07X043,P.S. 43 Jonas Bronck,7,District School,No Accessibility,,2022800040.0,Some,
03MAVB,Bloomingdale Family Program III,3,NYCEEC,No Information Available,All,1018440001.0,,
13KCEG,Imagine Dumbo - Adams,13,NYCEEC,No Information Available,,3000527501.0,,
14K017,P.S. 17 Henry D. Woodworth,14,District School,No Accessibility,,3023450001.0,All,
02M212,P.S. 212 Midtown West,2,District School,No Accessibility,,1010380014.0,Some,
15KBMO,Chick Peas Child Care,15,NYCEEC,No Information Available,,3011040003.0,,
06MBBJ,Fort George Child Center 1,6,NYCEEC,No Information Available,All,1021660082.0,,
02MATL,"Chinatown Day Care Cetner, Inc.",2,NYCEEC,No Information Available,,1002810046.0,,
14KCPK,Chabad of North Brooklyn,14,NYCEEC,No Information Available,,3023430012.0,,
11XADJ,Saint Clare of Assisi School,11,NYCEEC,No Information Available,,2042690037.0,,
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,16,District School,No Accessibility,,3016710019.0,All,
15KCPN,One World Project - Brooklyn,15,NYCEEC,No Information Available,,3052720001.0,,
12X134,P.S. 134 George F. Bristow,12,District School,No Accessibility,,2029650082.0,All,
07X277,P.S. 277,7,District School,No Accessibility,,2022740023.0,Some,Y
20KBQA,"Tiny Tots Playhouse, LLC",20,NYCEEC,No Information Available,,3060480049.0,,
10X051,P.S. 51 Bronx New School,10,District School,No Accessibility,,2030840001.0,Some,
12X211,P.S. 211,12,District School,Partially Accessible,,2029510032.0,All,
10X085,P.S. 85 Great Expectations,10,District School,Partially Accessible,,2030240021.0,All,
