cy_2013_tco2e_20_yr_gwp,cy_2013_tco2e,source_units,cy_2006_tco2e_100_yr_gwp,cy_2014_source_mmbtu,cy_2006_tco2e_20_yr_gwp,cy_2007_tco2e_20_yr_gwp,inventory_type,sectors_sector,cy_2020_consumed,source_label,cy_2009_source_mmbtu,cy_2023_tco2e,cy_2017_tco2e,category_full,cy_2022_source_mmbtu
0.0,0.0,VMT,0.0,0.0,0.0,0.0,GPC,Transportation,1084192.45,Electricity,0.0,1468.96,0.0,Heavy duty trucks (public and private),33211.24
6.33,2.98,gallon,0.44,39057.02,0.93,1.1,GPC,Stationary Energy,738002.29,Biofuel,12412.12,3.22,3.46,Manufacturing and Construction (Industrial),70461.94
117.67,0.0,VMT,0.0,4133.18,21.02,42.97,CLCPA Addition,Transportation,159102026.52,Upstream Electricity,1898.08,0.0,0.0,Passenger cars (public and private),321924.58
0.0,0.0,VMT,0.0,0.0,0.0,0.0,GPC,Transportation,222492.62,Natural gas,0.0,668.62,103.59,Refuse Truck (public and private),9107.38
500868.94,500245.27,VMT,640397.9,7048365.94,640608.16,641198.59,GPC,Transportation,173681281.78,Diesel,7309712.4,430315.44,466234.78,Buses,5662155.67
0.0,0.0,VMT,0.0,0.0,0.0,0.0,CLCPA Addition,Transportation,222492.62,Upstream CNG,0.0,0.0,0.0,Refuse Truck (public and private),9107.38
1256342.33,1255339.48,VMT,1279841.85,20463204.32,1281161.62,1299653.53,GPC,Transportation,1334379043.6,Gasoline,19050207.3,846499.83,1144328.56,For Hire,17416983.9
0.0,0.0,VMT,0.0,0.0,0.0,0.0,CLCPA Addition,Transportation,0.0,Upstream CNG,0.0,0.0,0.0,Passenger cars (public and private),0.0
62739.27,62625.08,VMT,50769.19,891073.66,50825.0,50931.56,GPC,Transportation,38277048.26,Diesel,753622.89,35869.11,56606.87,School Bus,263683.08
93073.0,90122.37,gallon,47842.38,709641.63,49408.75,33786.98,GPC,Transportation,7946576.2,Marine diesel,606826.57,97967.91,61545.82,Marine Navigation,0.0
145195.25,144887.91,gallon,239680.48,508066.23,240188.9,282456.08,GPC,Stationary Energy,0.0,#6 fuel oil,3766409.28,0.0,1303.96,"Commercial and Institutional (commercial, institutional, and streetlights)",0.0
6048923.67,6042836.15,SCF,893881.88,26871757.83,894782.37,948389.8,GPC,Stationary Energy,13974992021.75,Natural gas,9782106.06,780087.22,824020.48,Manufacturing and Construction (Industrial),15192489.34
2572612.12,2569809.42,kWh,3368570.51,77693894.9,3372630.78,3563850.34,GPC,Stationary Energy,7733327893.37,Electricity,75818850.58,2773436.39,2426498.92,Manufacturing and Construction (Industrial),69701143.71
932593.23,930607.87,gallon,704533.77,9713416.06,706036.82,827396.45,GPC,Stationary Energy,79890907.71,#2 fuel oil,11569549.49,525576.6,613870.26,"Commercial and Institutional (commercial, institutional, and streetlights)",8269641.04
0.0,0.0,VMT,0.0,0.0,0.0,0.0,CLCPA Addition,Transportation,2252897.3,Upstream Electricity,0.0,0.0,0.0,Medium duty trucks (public and private),30517.19
535667.82,184053.35,MT,190692.02,0.0,554988.97,989068.69,GPC,Waste,2645.06,CH4,0.0,36730.25,89064.5,Wastewater treatment,0.0
2484632.61,0.0,kWh,0.0,77693894.9,3031468.06,3182859.87,CLCPA Addition,Stationary Energy,7733327893.37,Upstream Electricity,75818850.58,0.0,0.0,Manufacturing and Construction (Industrial),69701143.71
0.0,0.0,VMT,0.0,0.0,0.0,0.0,CLCPA Addition,Transportation,3252536.62,Upstream CNG,0.0,0.0,0.0,Heavy duty trucks (public and private),187503.02
14916.23,14854.75,gallon,14425.1,201427.17,14484.8,14484.8,GPC,Transportation,1291342.37,Diesel,190204.26,16302.73,14698.74,Railways,224108.35
0.0,0.0,VMT,0.0,0.0,0.0,0.0,CLCPA Addition,Transportation,0.0,Upstream Electricity,0.0,0.0,0.0,School Bus,0.0
