ela_level_3_2,white_1,special_program,category,female_1,grade_1,ell_french_1,ela_level_2_1,math_level_2_2,ell_hatian_creole_1
s,s,Dual Language,Reside in temporary housing,s,s,,s,s,
,s,Dual Language,Poverty,19,s,,,,
s,s,Gifted and Talented,Attend school outside district of residence,s,,,s,s,
,s,Gifted and Talented,Reside in temporary housing,s,s,,,,
s,s,Dual Language,Reside in temporary housing,s,,,s,s,
0.2676056338028169,77,Gifted and Talented,Poverty,73,28,,s,s,
,s,Dual Language,Reside in temporary housing,s,s,,,,
s,s,Dual Language,Reside in temporary housing,22,7,,6,s,
,s,Dual Language,Attend school outside district of residence,s,s,,,,
s,s,Dual Language,Reside in temporary housing,15,s,,s,s,
,s,Dual Language,English Language Learners,19,17,s,,,s
s,s,Dual Language,English Language Learners,14,,s,s,s,s
0.3333333333333333,s,Gifted and Talented,Attend school outside district of residence,27,6,,s,s,
,s,Dual Language,Students with Disabilities,s,,,,,
s,s,Dual Language,Students with Disabilities,s,,,s,s,
,s,Dual Language,Poverty,s,,,,,
0.3472222222222222,s,Gifted and Talented,Poverty,61,15,,s,s,
,s,Dual Language,English Language Learners,16,10,s,,,s
,s,Gifted and Talented,Reside in temporary housing,s,,,,,
,s,Dual Language,Attend school outside district of residence,s,,,,,
,s,Dual Language,Reside in temporary housing,s,,,,,
,s,Dual Language,Attend school outside district of residence,s,,,,,
s,s,Dual Language,Students with Disabilities,17,s,,s,s,
s,s,Dual Language,Attend school outside district of residence,s,s,,s,s,
,s,Dual Language,All Students,13,9,,,,
s,s,Gifted and Talented,Students with Disabilities,s,s,,s,s,
s,s,Dual Language,Students with Disabilities,s,,,s,s,
s,s,Dual Language,English Language Learners,16,8,s,s,s,s
s,s,Dual Language,English Language Learners,83,15,s,29,0.20437956204379562,s
s,s,Dual Language,Attend school outside district of residence,6,s,,s,s,
s,s,Gifted and Talented,Students with Disabilities,s,s,,s,s,
,s,Dual Language,Reside in temporary housing,s,,,,,
,s,Gifted and Talented,English Language Learners,s,s,s,,,s
,s,Dual Language,English Language Learners,12,21,s,,,s
s,s,Dual Language,English Language Learners,7,s,s,s,s,s
0.3076923076923077,98,Gifted and Talented,All Students,98,31,,s,s,
s,s,Dual Language,All Students,29,17,,s,s,
,s,Dual Language,Reside in temporary housing,s,,,,,
s,s,Dual Language,English Language Learners,11,,s,10,0.28,s
s,s,Dual Language,Reside in temporary housing,20,8,,s,0.6923076923076923,
,s,Dual Language,All Students,9,,,,,
,s,Dual Language,Poverty,19,17,,,,
,s,Dual Language,Poverty,s,,,,,
s,s,Dual Language,Attend school outside district of residence,s,,,s,s,
,s,Dual Language,Attend school outside district of residence,s,s,,,,
s,s,Dual Language,English Language Learners,24,7,s,16,0.5357142857142857,s
s,s,Dual Language,English Language Learners,34,12,s,s,s,s
s,s,Dual Language,Poverty,8,s,,s,s,
s,s,Dual Language,English Language Learners,s,,s,s,s,s
s,s,Dual Language,Poverty,33,,,8,0.4666666666666667,
,s,Gifted and Talented,English Language Learners,s,s,s,,,s
s,s,Dual Language,Poverty,40,19,,8,s,
,s,Dual Language,All Students,16,s,,,,
s,s,Dual Language,Poverty,34,16,,9,0.22580645161290322,
0.5714285714285714,s,Gifted and Talented,Poverty,21,7,,s,s,
s,9,Dual Language,English Language Learners,9,6,15,s,s,s
s,9,Gifted and Talented,All Students,26,16,,s,s,
s,s,Dual Language,Attend school outside district of residence,s,s,,s,s,
s,s,Dual Language,All Students,83,15,,29,0.20437956204379562,
,s,Dual Language,Attend school outside district of residence,s,,,,,
s,s,Gifted and Talented,Reside in temporary housing,s,,,s,s,
0.34234234234234234,10,Gifted and Talented,Poverty,87,27,,s,s,
s,s,Dual Language,Reside in temporary housing,11,s,,s,s,
s,s,Dual Language,Poverty,s,,,s,0.8,
s,s,Dual Language,Poverty,s,,,s,0.5384615384615384,
,s,Dual Language,Attend school outside district of residence,s,,,,,
s,s,Dual Language,Attend school outside district of residence,s,s,,s,s,
s,s,Gifted and Talented,Reside in temporary housing,s,,,s,s,
s,s,Dual Language,All Students,106,67,,21,0.5074626865671642,
s,s,Dual Language,Poverty,32,9,,s,0.358974358974359,
s,s,Dual Language,Poverty,16,8,,s,s,
,s,Dual Language,Reside in temporary housing,s,s,,,,
,s,Dual Language,Students with Disabilities,s,,,,,
,s,Dual Language,Reside in temporary housing,s,s,,,,
s,s,Dual Language,Attend school outside district of residence,s,,,s,s,
s,9,Gifted and Talented,Students with Disabilities,s,s,,s,s,
s,s,Gifted and Talented,Poverty,s,,,s,s,
,s,Dual Language,English Language Learners,16,s,s,,,s
s,s,Dual Language,English Language Learners,14,7,s,s,s,s
s,s,Dual Language,Reside in temporary housing,s,s,,s,s,
,s,Dual Language,Reside in temporary housing,s,s,,,,
,s,Dual Language,Reside in temporary housing,s,s,,,,
s,s,Gifted and Talented,Attend school outside district of residence,19,s,,s,s,
,s,Dual Language,All Students,76,64,,,,
0.5,s,Dual Language,English Language Learners,42,31,s,7,s,s
,s,Dual Language,All Students,s,,,,,
,20,Dual Language,All Students,16,7,,,,
s,s,Dual Language,Poverty,s,,,s,s,
s,s,Dual Language,Reside in temporary housing,s,,,s,s,
,s,Dual Language,Students with Disabilities,s,s,,,s,
s,s,Gifted and Talented,Students with Disabilities,s,,,s,s,
s,s,Dual Language,English Language Learners,74,26,s,22,0.3,s
,s,Dual Language,Attend school outside district of residence,s,,,,,
,s,Dual Language,English Language Learners,s,,s,,,s
s,s,Dual Language,English Language Learners,337,187,s,72,0.21568627450980393,s
,s,Dual Language,Students with Disabilities,s,s,,,,
,s,Dual Language,Attend school outside district of residence,s,,,,,
s,9,Gifted and Talented,Poverty,26,16,,s,s,
,s,Dual Language,Attend school outside district of residence,s,,,,,
,s,Dual Language,Attend school outside district of residence,s,s,,,,
,s,Gifted and Talented,English Language Learners,s,s,s,,,s
,s,Dual Language,Reside in temporary housing,s,s,,,,
s,s,Dual Language,English Language Learners,7,,s,6,0.6,s
s,s,Gifted and Talented,Reside in temporary housing,s,,,s,s,
s,s,Dual Language,Attend school outside district of residence,s,,,s,s,
s,s,Dual Language,Attend school outside district of residence,s,,,s,s,
,s,Dual Language,Poverty,15,10,,,,
s,9,Dual Language,All Students,9,7,,s,s,
s,s,Gifted and Talented,Reside in temporary housing,s,,,s,s,
s,s,Gifted and Talented,Attend school outside district of residence,s,,,s,s,
s,s,Dual Language,Poverty,22,7,,13,0.6086956521739131,
s,s,Dual Language,Reside in temporary housing,s,,,s,s,
,s,Dual Language,Students with Disabilities,s,s,,,,
,s,Dual Language,Attend school outside district of residence,s,,,,,
,s,Dual Language,Poverty,16,16,,,,
s,s,Gifted and Talented,Attend school outside district of residence,s,,,s,s,
0.6111111111111112,9,Gifted and Talented,Attend school outside district of residence,16,s,,s,s,
s,s,Dual Language,English Language Learners,49,30,s,10,0.4583333333333333,s
,s,Dual Language,Reside in temporary housing,s,s,,,,
