math_test_takers,other_2,ell_other_1,asian_1,ell_russian_1,ela_level_1_1,ela_level_1_2,math_level_2_1
s,s,,s,,s,s,s
,s,,s,,,,
s,s,,s,,s,s,s
,s,,s,,,,
s,s,,6,,s,s,s
71,s,,63,,s,s,s
,s,,s,,,,
17,s,,s,,10,0.5882352941176471,s
,s,,s,,,,
16,s,,s,,14,0.875,s
,s,s,s,s,,,
21,s,s,s,s,20,0.8,s
33,s,,11,,s,s,s
,s,,s,,,,
s,s,,s,,s,s,s
,s,,s,,,,
72,s,,33,,s,s,s
,s,s,s,s,,,
,s,,s,,,,
,s,,s,,,,
,s,,s,,,,
,s,,s,,,,
12,s,,s,,12,1,s
6,s,,s,,6,1,s
,s,,s,,,,
s,s,,s,,s,s,s
s,s,,s,,s,s,s
s,s,s,s,s,s,s,s
137,s,s,s,s,92,0.7419354838709677,28
s,s,,s,,s,s,s
s,s,,s,,s,s,s
,s,,s,,,,
,s,s,s,s,,,
,s,s,s,s,,,
6,s,s,s,s,s,s,s
91,s,,60,,s,s,s
8,s,,46,,s,s,s
,s,,s,,,,
25,s,s,s,s,10,0.45454545454545453,7
13,s,,s,,9,0.9,9
,s,,s,,,,
,s,,s,,,,
,s,,s,,,,
s,s,,s,,s,s,s
,s,,s,,,,
28,s,s,s,s,10,0.35714285714285715,15
31,s,s,s,s,22,0.8461538461538461,s
s,s,,s,,s,s,s
8,s,s,8,s,s,s,s
60,s,,s,,70,0.8974358974358975,28
15,s,,10,,7,0.5384615384615384,s
s,s,s,s,s,s,s,s
6,s,,s,,s,s,s
14,s,,s,,s,s,9
20,s,,s,,12,0.6,14
,s,,s,,,,
42,s,s,s,s,33,0.8048780487804879,7
25,s,,s,,15,0.75,9
13,s,s,s,s,8,1,s
s,s,,s,,s,s,s
28,s,,13,,s,s,s
,s,s,s,s,,,
s,s,,s,,s,s,s
20,s,,s,,s,s,s
84,s,,23,,s,s,s
6,s,,s,,s,s,s
61,s,,s,,s,s,s
14,s,s,s,s,9,0.75,s
73,s,,15,,s,s,s
14,s,s,s,s,s,s,s
,s,,s,,,,
7,s,,s,,6,1,s
6,s,,s,,s,s,s
,s,,s,,,,
13,s,s,s,s,6,0.5,s
16,s,,s,,10,0.7692307692307693,s
23,s,s,s,s,13,0.6842105263157895,s
,s,,s,,,,
13,s,,20,,s,s,s
,s,s,s,s,,,
24,s,,s,,9,0.375,11
30,s,,s,,19,0.6785714285714286,s
s,s,,s,,s,s,s
,s,,s,,,,
,s,,s,,,,
s,s,,s,,s,s,s
26,s,,s,,s,s,s
,s,s,s,s,,,
s,s,,s,,s,s,s
,s,,s,,,,
,s,,s,,,,
,s,,s,,,,
s,s,,s,,s,s,s
s,s,s,8,s,s,s,s
,s,s,12,s,,,
,s,,s,,,,
s,s,,8,,s,s,s
s,s,,s,,s,s,s
,s,,s,,,,
s,s,,s,,s,s,s
23,s,s,s,s,14,0.6363636363636364,s
13,s,,s,,9,0.75,s
9,s,,s,,s,s,s
s,s,,s,,s,s,s
9,s,,s,,8,0.8888888888888888,s
s,s,,s,,s,s,s
s,s,,s,,s,s,s
,s,,s,,,,
9,s,,s,,8,0.8888888888888888,s
s,s,,s,,s,s,s
s,s,,s,,,,s
s,s,,10,,s,s,s
s,s,,s,,s,s,s
,s,,s,,,,
s,s,,s,,s,s,s
,s,,s,,,,
s,s,,s,,s,s,s
,s,,s,,,,
30,s,s,s,s,19,0.6785714285714286,s
17,s,,s,,s,s,s
11,s,,16,,s,s,s
9,s,,s,,9,1,s
255,s,,476,,154,0.6337448559670782,55
14,s,,s,,s,s,9
s,s,,s,,s,s,s
8,s,,46,,s,s,s
54,s,s,s,s,35,0.7777777777777778,18
6,s,,s,,s,s,s
s,s,,s,,s,s,s
,s,,s,,,,
s,s,,s,,s,s,s
81,0.08187134502923976,,19,,s,s,s
,s,,s,,,,
,s,s,s,s,,,
73,s,,17,,s,s,s
s,s,,s,,s,s,s
72,s,,s,,7,0.09722222222222222,25
s,s,,8,,s,s,s
s,s,,s,,s,s,s
11,s,,s,,8,0.7272727272727273,s
s,s,s,s,s,s,s,s
11,s,,10,,s,s,s
83,0.0663265306122449,,56,,s,s,s
73,s,,17,,s,s,s
s,s,,s,,s,s,s
23,s,,s,,14,0.7368421052631579,9
17,s,s,s,s,11,0.6470588235294118,8
8,s,s,s,s,s,s,s
,s,,s,,,,
s,s,,s,,s,s,s
s,s,,s,,s,s,s
,s,,s,,,,
22,s,,34,,s,s,s
41,s,,42,,s,s,s
33,s,,s,,14,0.5,14
11,s,,s,,s,s,s
116,0.06542056074766354,,71,,s,s,s
s,s,,s,,,,s
,s,,s,,,,
,s,,s,,,,
,s,,s,,,,
s,s,,s,,s,s,s
s,s,,s,,,,s
30,s,,s,,13,0.5652173913043478,8
8,s,,6,,s,s,s
14,s,,s,,9,0.6428571428571429,s
60,s,,s,,37,0.6166666666666667,18
6,s,,s,,s,s,s
