comparable_rental_3_address,comparable_rental_2_building_classification,comparable_rental_1_full_market_value,comparable_rental_1_estimated_gross_income,comparable_rental_2_neighborhood,bronx_condominiums_comparable_properties_estimated_gross_income,comparable_rental_1_boro_block_lot,comparable_rental_1_market_value_per_sqft
1702 DAVIDSON AVENUE,C1-WALK-UP,1045000,326961,HIGHBRIDGE/MORRIS HEIGHTS,377759,2-02876-0165,49.76
 ,D1-ELEVATOR,3185000,692789,KINGSBRIDGE/JEROME PARK,856978,2-05779-0810,74.85
 ,D1-ELEVATOR,2838000,1238859,MORRISANIA/LONGWOOD,1289267,2-02751-0022,32.08
2141 STARLING AVENUE,D6-ELEVATOR,1661000,659820,PARKCHESTER,33039949,2-03936-0001,29.57
1065 MANOR AVENUE,D1-ELEVATOR,4141000,998079,CASTLE HILL/UNIONPORT,265779,2-03715-0030,58.74
 ,C9-WALK-UP,2808000,948132,SCHUYLERVILLE/PELHAM BAY,218190,2-02513-0044,41.36
 ,C1-WALK-UP,3407000,895896,THROGS NECK,318636,2-05606-0001,72.75
 ,D1-ELEVATOR,7091000,2080061,RIVERDALE,1616355,2-05903-0283,52.92
 ,C1-WALK-UP,1800000,655376,MORRISANIA/LONGWOOD,221370,2-02684-0068,43.62
 ,C1-WALK-UP,643000,174490,RIVERDALE,205344,2-05798-0101,85.17
 ,D1-ELEVATOR,496000,382436,KINGSBRIDGE/JEROME PARK,266601,2-03262-0106,18.62
2925 BRIGGS AVENUE,C7-WALK-UP,937000,406602,BEDFORD PARK/NORWOOD,199323,2-03283-0025,27.6
 ,D7-ELEVATOR,2805000,980263,CASTLE HILL/UNIONPORT,196136,2-03801-0001,37.45
2196 MATTHEWS AVENUE,D1-ELEVATOR,2655000,879792,PELHAM PARKWAY NORTH,636720,2-04274-0064,37.13
518 TULFAN TERRACE,D1-ELEVATOR,2453000,630807,RIVERDALE,610662,2-05907-0348,58.68
 ,D7-ELEVATOR,4268000,1304480,RIVERDALE,283920,2-05784-0340,46.09
