source_relation,date_day,organization_id,organization_name,currency,taps,new_downloads,tap_new_downloads,redownloads,tap_redownloads,total_downloads,tap_total_downloads,conversions,tap_installs,impressions,spend
"",2025-02-22,3219110,Tip Tap Cat,USD,37,12,12,0,0,12,12,12,12,852,5.9
"",2022-06-26,3219110,Tip Tap Cat,USD,40,7,7,0,0,7,7,7,7,1112,31.05
"",2021-12-20,3219110,Tip Tap Cat,USD,3,0,0,0,0,0,0,0,0,63,0.32
"",2022-09-03,3219110,Tip Tap Cat,USD,218,96,96,0,0,96,96,96,96,1148,59.64
"",2022-12-13,3219111,Gaming Studio,EUR,41,11,11,0,0,11,11,11,11,1819,22.46
"",2024-04-20,3219112,App Developer Pro,EUR,221,97,97,0,0,97,97,97,97,1229,95.9
"",2024-06-22,3219110,Tip Tap Cat,USD,69,6,6,0,0,6,6,6,6,356,77.59
"",2023-07-30,3219112,App Developer Pro,EUR,162,17,17,0,0,17,17,17,17,1245,71.02
"",2025-02-23,3219110,Tip Tap Cat,USD,54,23,23,0,0,23,23,23,23,1608,69.89
"",2022-05-12,3219111,Gaming Studio,EUR,75,44,44,0,0,44,44,44,44,819,15.76
"",2023-06-05,3162550,Joseph Markiewicz,USD,142,50,50,0,0,50,50,50,50,828,28.26
"",2022-04-04,3219111,Gaming Studio,EUR,58,13,13,0,0,13,13,13,13,449,36.36
"",2023-08-14,3219110,Tip Tap Cat,USD,107,51,51,0,0,51,51,51,51,850,63.64
"",2022-01-09,3162550,Joseph Markiewicz,USD,55,11,11,0,0,11,11,11,11,1994,18.12
"",2023-04-18,3219112,App Developer Pro,EUR,344,36,36,0,0,36,36,36,36,1828,13.54
"",2023-08-09,3219110,Tip Tap Cat,USD,22,1,1,0,0,1,1,1,1,578,43.12
"",2024-04-11,3219111,Gaming Studio,EUR,19,3,3,0,0,3,3,3,3,695,48.72
"",2024-11-27,3219110,Tip Tap Cat,USD,219,17,17,0,0,17,17,17,17,1414,88.39
"",2021-12-10,3219110,Tip Tap Cat,USD,27,6,6,0,0,6,6,6,6,1494,25.88
"",2021-12-12,3219110,Tip Tap Cat,USD,7,2,2,0,0,2,2,2,2,249,5.56
"",2024-07-01,3219111,Gaming Studio,EUR,63,13,13,0,0,13,13,13,13,715,72.09
"",2023-10-04,3219112,App Developer Pro,EUR,80,8,8,0,0,8,8,8,8,1099,83.94
"",2023-02-09,3219110,Tip Tap Cat,USD,233,99,99,0,0,99,99,99,99,2616,176.92000000000002
"",2022-10-10,3219110,Tip Tap Cat,USD,26,13,13,0,0,13,13,13,13,880,11.27
"",2025-06-26,3219112,App Developer Pro,EUR,245,110,110,0,0,110,110,110,110,1225,15.38
"",2023-01-08,3219110,Tip Tap Cat,USD,162,11,11,0,0,11,11,11,11,888,43.51
"",2022-02-21,3219110,Tip Tap Cat,USD,194,100,100,0,0,100,100,100,100,1948,72.39
"",2025-06-09,3219111,Gaming Studio,EUR,19,4,4,0,0,4,4,4,4,623,84.99
"",2024-05-21,3219110,Tip Tap Cat,USD,149,14,14,0,0,14,14,14,14,1080,46.95
"",2022-12-26,3162550,Joseph Markiewicz,USD,36,10,10,0,0,10,10,10,10,1273,62.63
"",2023-07-28,3219110,Tip Tap Cat,USD,257,18,18,0,0,18,18,18,18,1855,44.85
"",2024-12-16,3219110,Tip Tap Cat,USD,18,1,1,0,0,1,1,1,1,280,77.2
"",2025-12-03,3219111,Gaming Studio,EUR,130,38,38,0,0,38,38,38,38,1732,5.4
"",2025-05-18,3219110,Tip Tap Cat,USD,57,2,2,0,0,2,2,2,2,524,39.04
"",2024-08-13,3219110,Tip Tap Cat,USD,85,19,19,0,0,19,19,19,19,1346,79.95
"",2022-12-27,3219110,Tip Tap Cat,USD,67,22,22,0,0,22,22,22,22,1781,50.31
"",2021-12-17,3219110,Tip Tap Cat,USD,5,0,0,0,0,0,0,0,0,100,5.09
"",2024-05-03,3219110,Tip Tap Cat,USD,20,3,3,0,0,3,3,3,3,110,93.12
"",2023-11-20,3219111,Gaming Studio,EUR,129,45,45,0,0,45,45,45,45,1409,73.8
"",2024-12-03,3219111,Gaming Studio,EUR,155,70,70,0,0,70,70,70,70,1016,17.9
"",2024-05-17,3162550,Joseph Markiewicz,USD,19,2,2,0,0,2,2,2,2,275,88.82
"",2022-06-14,3162550,Joseph Markiewicz,USD,88,21,21,0,0,21,21,21,21,1423,76.58
"",2023-01-06,3219111,Gaming Studio,EUR,10,6,6,0,0,6,6,6,6,123,17.03
"",2022-04-25,3219110,Tip Tap Cat,USD,21,1,1,0,0,1,1,1,1,118,43.8
"",2025-02-16,3219111,Gaming Studio,EUR,161,62,62,0,0,62,62,62,62,1127,97.55
"",2021-12-18,3219110,Tip Tap Cat,USD,9,2,2,0,0,2,2,2,2,403,5
"",2022-09-09,3219111,Gaming Studio,EUR,97,9,9,0,0,9,9,9,9,662,71.72
"",2023-09-13,3219110,Tip Tap Cat,USD,141,52,52,0,0,52,52,52,52,1343,24.53
"",2025-01-15,3219110,Tip Tap Cat,USD,20,9,9,0,0,9,9,9,9,448,38.73
"",2022-12-11,3219111,Gaming Studio,EUR,43,16,16,0,0,16,16,16,16,1756,88.47
"",2022-10-27,3219111,Gaming Studio,EUR,34,19,19,0,0,19,19,19,19,1663,49.45
"",2024-11-13,3219110,Tip Tap Cat,USD,132,11,11,0,0,11,11,11,11,1986,25.09
"",2025-10-01,3219110,Tip Tap Cat,USD,254,42,42,0,0,42,42,42,42,1519,78.93
"",2023-09-02,3219110,Tip Tap Cat,USD,206,40,40,0,0,40,40,40,40,1322,95.51
"",2025-05-26,3219110,Tip Tap Cat,USD,316,17,17,0,0,17,17,17,17,1694,26.46
"",2025-06-04,3219110,Tip Tap Cat,USD,196,96,96,0,0,96,96,96,96,1038,69.31
"",2022-11-18,3219111,Gaming Studio,EUR,155,47,47,0,0,47,47,47,47,1623,19.4
"",2025-02-12,3219112,App Developer Pro,EUR,132,57,57,0,0,57,57,57,57,775,44.91
"",2022-01-05,3219110,Tip Tap Cat,USD,154,50,50,0,0,50,50,50,50,3234,139.95
"",2025-12-15,3219111,Gaming Studio,EUR,146,83,83,0,0,83,83,83,83,1109,11.05
"",2024-10-11,3219110,Tip Tap Cat,USD,11,2,2,0,0,2,2,2,2,569,53
"",2025-06-28,3219111,Gaming Studio,EUR,118,60,60,0,0,60,60,60,60,1323,24.69
"",2024-11-30,3219111,Gaming Studio,EUR,90,8,8,0,0,8,8,8,8,759,34.95
"",2022-11-25,3219110,Tip Tap Cat,USD,261,122,122,0,0,122,122,122,122,1726,75.98
"",2023-02-20,3219111,Gaming Studio,EUR,25,5,5,0,0,5,5,5,5,155,47.81
"",2024-10-29,3162550,Joseph Markiewicz,USD,14,3,3,0,0,3,3,3,3,1490,18.36
"",2022-03-10,3219110,Tip Tap Cat,USD,247,77,77,0,0,77,77,77,77,1773,36.75
"",2023-01-25,3219112,App Developer Pro,EUR,35,6,6,0,0,6,6,6,6,1287,99.55
"",2025-01-13,3219111,Gaming Studio,EUR,81,10,10,0,0,10,10,10,10,1158,24.98
"",2023-04-04,3219111,Gaming Studio,EUR,105,53,53,0,0,53,53,53,53,756,67.84
"",2022-10-21,3219110,Tip Tap Cat,USD,232,116,116,0,0,116,116,116,116,1630,99.27
"",2024-10-04,3219112,App Developer Pro,EUR,324,103,103,0,0,103,103,103,103,1684,47.2
"",2024-04-12,3219110,Tip Tap Cat,USD,25,15,15,0,0,15,15,15,15,540,12.65
"",2022-07-25,3219110,Tip Tap Cat,USD,36,6,6,0,0,6,6,6,6,309,37.23
"",2024-08-01,3219110,Tip Tap Cat,USD,151,39,39,0,0,39,39,39,39,1242,13.09
"",2024-06-29,3219111,Gaming Studio,EUR,41,13,13,0,0,13,13,13,13,1376,45.06
"",2024-06-20,3162550,Joseph Markiewicz,USD,116,60,60,0,0,60,60,60,60,1382,78.94
"",2022-01-05,3162550,Joseph Markiewicz,USD,13,4,4,0,0,4,4,4,4,102,93.66
"",2022-05-04,3219110,Tip Tap Cat,USD,205,113,113,0,0,113,113,113,113,1430,61.64
"",2024-10-13,3219110,Tip Tap Cat,USD,100,52,52,0,0,52,52,52,52,935,96.12
"",2024-01-11,3219111,Gaming Studio,EUR,62,34,34,0,0,34,34,34,34,568,46.95
"",2022-02-01,3219110,Tip Tap Cat,USD,113,54,54,0,0,54,54,54,54,957,21
"",2023-11-03,3162550,Joseph Markiewicz,USD,25,13,13,0,0,13,13,13,13,501,96.02
"",2022-10-22,3219110,Tip Tap Cat,USD,191,70,70,0,0,70,70,70,70,1391,37.77
"",2025-07-28,3219110,Tip Tap Cat,USD,138,54,54,0,0,54,54,54,54,866,49.99
"",2024-02-17,3162550,Joseph Markiewicz,USD,21,6,6,0,0,6,6,6,6,1359,93.3
"",2024-02-25,3162550,Joseph Markiewicz,USD,30,10,10,0,0,10,10,10,10,486,91.94
"",2025-04-17,3219110,Tip Tap Cat,USD,183,103,103,0,0,103,103,103,103,1042,73.14
"",2023-01-08,3219111,Gaming Studio,EUR,383,217,217,0,0,217,217,217,217,1948,68.07
"",2025-06-26,3219110,Tip Tap Cat,USD,59,30,30,0,0,30,30,30,30,681,51.5
"",2025-08-14,3219111,Gaming Studio,EUR,111,7,7,0,0,7,7,7,7,825,7.01
"",2024-12-07,3219111,Gaming Studio,EUR,63,29,29,0,0,29,29,29,29,984,76.11
"",2021-12-05,3219112,App Developer Pro,EUR,15,9,9,0,0,9,9,9,9,1463,90.82
"",2023-10-31,3219110,Tip Tap Cat,USD,95,53,53,0,0,53,53,53,53,505,73.81
"",2024-06-26,3219110,Tip Tap Cat,USD,138,41,41,0,0,41,41,41,41,847,41.07
"",2024-12-28,3219110,Tip Tap Cat,USD,57,8,8,0,0,8,8,8,8,433,35.24
"",2024-08-02,3162550,Joseph Markiewicz,USD,96,46,46,0,0,46,46,46,46,1711,17.54
"",2022-09-09,3219112,App Developer Pro,EUR,148,11,11,0,0,11,11,11,11,1990,25.31
"",2025-06-16,3219111,Gaming Studio,EUR,272,124,124,0,0,124,124,124,124,1654,67.17
"",2022-12-15,3219110,Tip Tap Cat,USD,200,62,62,0,0,62,62,62,62,1690,11.25
"",2023-01-23,3162550,Joseph Markiewicz,USD,77,31,31,0,0,31,31,31,31,1653,83.18
"",2023-04-26,3219110,Tip Tap Cat,USD,28,6,6,0,0,6,6,6,6,259,37.23
"",2023-01-01,3162550,Joseph Markiewicz,USD,79,13,13,0,0,13,13,13,13,676,73.65
"",2022-07-24,3219110,Tip Tap Cat,USD,26,11,11,0,0,11,11,11,11,769,92.16
"",2025-07-26,3162550,Joseph Markiewicz,USD,85,33,33,0,0,33,33,33,33,595,87.3
"",2022-04-14,3219111,Gaming Studio,EUR,19,8,8,0,0,8,8,8,8,323,24.77
"",2023-04-30,3219110,Tip Tap Cat,USD,20,4,4,0,0,4,4,4,4,290,22.3
"",2023-05-10,3162550,Joseph Markiewicz,USD,24,5,5,0,0,5,5,5,5,140,79.94
