property_id,property_name,address_1,hospital_general_medical_1,leed_us_project_id,multifamily_housing_number_5,egrid_output_emissions_rate,personal_services_health,indoor_water_intensity_all,bar_nightclub_gross_floor,alert_meter_has_less_than,hospital_general_medical_10,hospital_general_medical_7,vocational_school_gross_floor,national_median_site_energy,hospital_general_medical_2,residence_hall_dormitory,source_eui_kbtu_ft,bank_branch_gross_floor_area,restaurant_worker_density,national_median_energy_star,enclosed_mall_gross_floor,convenience_store_without,multifamily_housing_number,green_power_onsite_kwh,county,indirect_ghg_emissions_metric,self_storage_facility_gross,data_center_cooling_equipment,estimated_values_water,convenience_store_with_gas,green_power_offsite_kwh,difference_from_national_1,manufacturing_industrial,parking_open_parking_lot,financial_office_number_of,other_gross_floor_area_ft,medical_office_percent_that_1,data_center_it_site_energy,district_steam_use_kbtu,percent_of_recs_retained,other_weekly_operating_hours,direct_ghg_emissions_metric,office_computer_density_number,weather_normalized_site_energy,senior_care_community_gross,hotel_gross_floor_area_ft,latitude,primary_property_type_self,hospital_general_medical,fuel_oil_2_use_kbtu,national_median_reference,multifamily_housing_gross,estimated_values_energy,office_weekly_operating_hours,veterinary_office_gross_floor,release_date,medical_office_percent_that,weather_normalized_source,hospital_general_medical_4,estimated_data_flag_fuel,indoor_water_use_all_water,refrigerated_warehouse_gross,national_median_site_eui,kerosene_use_kbtu
2714266,98 DeKalb Ave,98 DeKalb Ave,Not Available,Not Available,0,82.9,Not Available,55.94,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1042,Not Available,Not Available,50,Not Available,Not Available,4,Not Available,Not Available,42.3,Not Available,Not Available,No,Not Available,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.9,0,623451,Not Available,Not Available,40.689839,Parking,Not Available,Not Available,,1100,No,0,Not Available,2016-03-02T15:12:03.000,Not Available,1040.4,Not Available,Not Available,92.3,Not Available,Not Available,Not Available
2677294,Deepdale Gardens F12,252-14 60th Avenue,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,4970550.1,Not Available,Not Available,167.9,Not Available,Not Available,50,Not Available,Not Available,100,Not Available,Queens,78.8,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,25,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,279.5,Not Available,6261887.8,Not Available,Not Available,40.759498,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,50694,No,Not Available,Not Available,2016-03-23T11:38:01.000,Not Available,168,Not Available,No,Not Available,Not Available,98.1,Not Available
2715984,231 Ocean Ave - 38270,231 Ocean Ave,Not Available,Not Available,0,82.9,Not Available,44.05,Not Available,Ok,Not Available,Not Available,Not Available,6590370.9,Not Available,Not Available,114.7,Not Available,Not Available,50,Not Available,Not Available,100,Not Available,Not Available,65.3,Not Available,Not Available,No,Not Available,0,-17.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,247.3,Not Available,5462493.5,Not Available,Not Available,40.65712,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,64165,No,Not Available,Not Available,2016-03-03T09:31:31.000,Not Available,114.4,Not Available,Not Available,2826.3,Not Available,102.7,Not Available
2801972,121 West 19th Street,121West 19th Street,Not Available,Not Available,0.55004,82.9,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,8164870.8,Not Available,Not Available,156.5,Not Available,Not Available,50,Not Available,Not Available,136,Not Available,Not Available,413.4,Not Available,Not Available,No,Not Available,0,23.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,271,Not Available,10133061.6,Not Available,Not Available,40.740803,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,121810,Yes,Not Available,Not Available,2016-03-11T09:39:55.000,Not Available,156.8,Not Available,Not Available,Not Available,Not Available,60.8,Not Available
2771735,332 EDC Realty Corp,332 Rogers Ave.,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,8479240.4,Not Available,Not Available,93.8,Not Available,Not Available,50,Not Available,Not Available,99,Not Available,Not Available,92,Not Available,Not Available,No,Not Available,0,-26.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,271.2,Not Available,6256515.6,Not Available,Not Available,40.665153,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,92715,No,Not Available,Not Available,2016-03-27T15:24:10.000,Not Available,94.2,Not Available,Not Available,Not Available,Not Available,89.9,Not Available
1819837,Center for Automotive Education and Training,15-30 Petracca Place,Not Available,Not Available,Not Available,82.9,Not Available,22.4,Not Available,Ok,Not Available,Not Available,Not Available,5892380.9,Not Available,Not Available,174.7,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,United States,339.5,Not Available,Not Available,No,Not Available,0,23.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,169.2,Not Available,7119022.7,Not Available,Not Available,40.783399,Adult Education,Not Available,Not Available,CBECS - Education,Not Available,No,Not Available,Not Available,2016-03-07T11:06:35.000,Not Available,169.6,Not Available,Not Available,2076.8,Not Available,63.6,Not Available
2795476,HSS-Main Hospital,535 E 70th St,Not Available,Not Available,Not Available,82.9,Not Available,18.16,Not Available,Ok,Not Available,Not Available,Not Available,63597010.8,Not Available,Not Available,522.6,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Manhattan,7071.6,Not Available,Not Available,No,Not Available,0,34.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,83875899.2,Not Available,Not Available,40.765211,Other - Specialty Hospital,Not Available,Not Available,CBECS - Inpatient Healthcare,Not Available,No,Not Available,Not Available,2016-03-03T11:21:23.000,Not Available,514.1,Not Available,Not Available,9301.6,Not Available,124.1,Not Available
4389861,ELITE 137-40 45th Avenue,137-40 45th Avenue,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,7055317.8,Not Available,Not Available,124.8,Not Available,Not Available,50,Not Available,Not Available,108.95,Not Available,Not Available,86.9,Not Available,Not Available,Yes,Not Available,0,1.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,324.8,Not Available,7087338.2,Not Available,Not Available,40.750951,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,77822,No,Not Available,Not Available,2016-03-31T11:32:10.000,Not Available,122.8,Not Available,Not Available,Not Available,Not Available,90.7,Not Available
4392234,Lenox 65 Inc.,65 Lenox Road,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,8804551.1,Not Available,Not Available,54.9,Not Available,Not Available,50,Not Available,Not Available,117.6,Not Available,Not Available,16.6,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,-54.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,201.4,Not Available,3965898.8,Not Available,Not Available,40.653706,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,84000,No,Not Available,Not Available,2016-03-22T18:54:34.000,Not Available,54.6,Not Available,Not Available,Not Available,Not Available,104.8,Not Available
2536142,New Yorker Hotel,481 8th Avenue,Not Available,Not Available,Not Available,82.9,Not Available,40.7,Not Available,Ok,Not Available,Not Available,Not Available,122484339.5,Not Available,159470,204.9,Not Available,3.63636,50,Not Available,Not Available,Not Available,Not Available,New York,3955,Not Available,Not Available,No,Not Available,0,0.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6044986.2,Not Available,Not Available,4315.9,1.25,119912096.2,Not Available,742596,40.752295,Hotel,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Not Available,No,45,Not Available,2016-02-26T09:21:33.000,Not Available,202.2,Not Available,Not Available,51585.1,Not Available,114.7,Not Available
2688529,Elbern Apartment Condo,36-20 168 Street,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,3930318,Not Available,Not Available,26.7,Not Available,Not Available,50,Not Available,Not Available,126,Not Available,Not Available,59.3,Not Available,Not Available,No,Not Available,0,-77.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.1,Not Available,848925.8,Not Available,Not Available,40.762573,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,90000,No,Not Available,Not Available,2016-03-30T16:04:00.000,Not Available,26.1,Not Available,Not Available,Not Available,Not Available,43.7,Not Available
4368662,Rose - 45 East 89th Street,45 East 89th Street,Not Available,Not Available,0.54698,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,41147179.8,Not Available,Not Available,199.4,Not Available,Not Available,50,Not Available,Not Available,496,Not Available,Not Available,1030.1,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,55.9,Not Available,0,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,2747.5,Not Available,63996527.1,Not Available,Not Available,40.782869,Multifamily Housing,Not Available,0,Fannie Mae Industry Survey - Multifamily,453400,No,Not Available,Not Available,2016-03-19T14:53:01.000,100,198.4,Not Available,No,Not Available,Not Available,87.9,Not Available
3414699,1726 Davidson Avenue,1726 Davidson Avenue,Not Available,Not Available,0,82.9,Not Available,60.82,Not Available,Ok,Not Available,Not Available,Not Available,6420242,Not Available,Not Available,123.9,Not Available,Not Available,50,Not Available,Not Available,108,Not Available,Not Available,76.1,Not Available,Not Available,No,Not Available,0,-4.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,382.4,Not Available,6187073.1,Not Available,Not Available,40.847708,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,66000,No,Not Available,Not Available,2016-03-21T09:59:46.000,Not Available,124.6,Not Available,Not Available,4014.3,Not Available,97.3,Not Available
4043249,920 Ave St John,920 Ave St John,Not Available,Not Available,0,82.9,Not Available,22.01,Not Available,Ok,Not Available,Not Available,Not Available,4199670.6,Not Available,Not Available,207.4,Not Available,Not Available,50,Not Available,Not Available,79.73,Not Available,Not Available,175.2,Not Available,Not Available,No,Not Available,0,71.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,352.7,Not Available,6160763,Not Available,Not Available,40.815682,Multifamily Housing,Not Available,3924720.1,Fannie Mae Industry Survey - Multifamily,56952,No,Not Available,Not Available,2016-03-09T14:59:11.000,Not Available,187.8,Not Available,No,1253.7,Not Available,73.7,Not Available
3112326,"Longfellow Owners, LLC",1325 Lafayette Avenue,Not Available,Not Available,0,82.9,Not Available,Not Available,Not Available,Possible Issue,Not Available,Not Available,Not Available,6780370.6,Not Available,Not Available,183.7,Not Available,Not Available,50,Not Available,Not Available,104,Not Available,Not Available,121.4,Not Available,Not Available,No,Not Available,0,31.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,397.3,Not Available,9040503.1,Not Available,Not Available,40.81699,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,67800,No,Not Available,Not Available,2016-03-29T17:56:42.000,Not Available,185.1,Not Available,Not Available,Not Available,Not Available,100,Not Available
4137142,"Brooklyn, NY- 0197",360 Gateway Drive,Not Available,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,9054272.4,Not Available,Not Available,84.4,Not Available,Not Available,50,Not Available,Not Available,Not Available,Not Available,Not Available,257.7,Not Available,Not Available,Unable to Check (not enough data),Not Available,0,-58.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.6,Not Available,3799981.4,Not Available,Not Available,40.650018,Retail Store,Not Available,Not Available,CBECS - Retail Store,Not Available,No,Not Available,Not Available,2016-04-01T14:29:44.000,Not Available,84.6,Not Available,Not Available,Not Available,Not Available,73.1,Not Available
