male_1,black_1,school_name,grade_8
289,48,P.S. 166 The Richard Rodgers School of The Arts an,0
194,84,Orchard Collegiate Academy,33
609,355,Art and Design High School,0
103,40,The STAR Academy - P.S.63,0
112,62,Humanities Preparatory Academy,0
407,112,J.H.S. 054 Booker T. Washington,261
329,39,P.S. 166 The Richard Rodgers School of The Arts an,0
450,42,Battery Park City School,91
307,81,P.S./I.S. 217 Roosevelt Island,18
74,7,Sixth Avenue Elementary School,0
129,77,P.S. 38 Roberto Clemente,0
80,14,The River School,0
346,9,P.S. 042 Benjamin Altman,0
161,62,Ella Baker School,27
137,23,The River School,0
712,110,J.H.S. 167 Robert F. Wagner,436
262,94,Institute for Collaborative Education,75
253,146,Chelsea Career and Technical Education High School,0
190,48,M.S. M245 The Computer School,132
390,87,School of the Future High School,89
189,46,P.S. 140 Nathan Straus,66
316,133,P.S. 075 Emily Dickinson,0
241,120,P.S. 096 Joseph Lanzetta,78
302,9,P.S. 290 Manhattan New School,0
198,82,The High School For Language And Diplomacy,0
841,158,"New Explorations into Science, Technology and Math",137
111,27,M.S. 243 Center School,57
146,215,Gramercy Arts High School,0
77,76,Forsyth Satellite Academy,0
417,216,Manhattan Comprehensive Night and Day High School,0
119,673,The High School of Fashion Industries,0
399,223,Manhattan Comprehensive Night and Day High School,0
43,82,Repertory Company High School for Theatre Arts,0
556,95,J.H.S. 104 Simon Baruch,340
145,14,M.S. 255 Salk School of Science,115
301,163,Business Of Sports School,0
65,50,47 The American Sign Language and English Secondar,0
188,167,Food and Finance High School,0
289,122,"Urban Assembly School of Design and Construction,",0
141,123,"Urban Assembly Academy of Government and Law, The",0
177,86,The Urban Assembly School for Green Careers,0
291,29,P.S. 002 Meyer London,0
346,13,P.S. 041 Greenwich Village,0
65,36,"Ballet Tech, NYC Public School for Dance",21
238,400,P.S. 076 A. Philip Randolph,58
192,72,M.S. M245 The Computer School,133
117,39,M.S. 243 Center School,54
443,13,P.S. 199 Jessie Isador Straus,0
105,107,High School of Hospitality Management,0
278,139,Tag Young Scholars,52
194,160,The Maxine Greene HS for Imaginative Inquiry,0
118,95,Community Action School - MS 258,58
441,22,P.S. 199 Jessie Isador Straus,0
612,355,Art and Design High School,0
123,118,"James Baldwin School, The: A School for Expedition",0
454,222,James Weldon Johnson,62
207,162,Pace High School,0
178,17,High School for Dual Language and Asian Studies,0
115,82,Cascades High School,0
193,54,International High School at Union Square,0
110,22,Yorkville East Middle School,50
285,77,Yorkville Community School,0
211,13,East Side Middle School,150
257,124,MANHATTAN BUSINESS ACADEMY,0
452,127,Quest to Learn,117
420,82,P.S. 126 Jacob August Riis,119
191,27,Baruch College Campus High School,0
443,52,P.S. 087 William Sherman,0
451,69,J.H.S. 054 Booker T. Washington,282
632,188,High School for Environmental Studies,0
299,80,Yorkville Community School,0
365,89,P.S. 333 Manhattan School for Children,51
115,47,University Neighborhood Middle School,69
229,76,P.S. 111 Adolph S. Ochs,64
33,28,Harvey Milk High School,0
624,90,J.H.S. 104 Simon Baruch,346
374,83,School of the Future High School,102
133,105,Professional Performing Arts High School,30
151,65,The High School For Language And Diplomacy,0
40,3,The River School,0
323,14,P.S. 059 Beekman Hill International,0
122,104,Lower Manhattan Arts Academy,0
163,40,P.S. 051 Elias Howe,0
156,130,P.S. 050 Vito Marcantonio,37
173,57,Manhattan International High School,0
586,196,High School for Environmental Studies,0
78,72,Marta Valle High School,0
680,297,Fiorello H. LaGuardia High School of Music & Art a,0
631,86,J.H.S. 104 Simon Baruch,403
180,102,P.S. 034 Franklin D. Roosevelt,62
196,82,Landmark High School,0
342,4,P.S. 042 Benjamin Altman,0
308,38,P.S. 166 The Richard Rodgers School of The Arts an,0
330,80,The Lexington Academy,0
240,48,Millennium High School,0
249,177,Edward A. Reynolds West Side High School,0
454,131,P.S. 165 Robert E. Simon,81
153,227,Gramercy Arts High School,0
370,116,Academy for Software Engineering,0
169,292,Wadleigh Secondary School for the Performing & Vis,31
445,36,P.S. 199 Jessie Isador Straus,0
165,71,Frank Mccourt High School,0
244,383,P.S. 076 A. Philip Randolph,74
277,1,Manhattan Bridges High School,0
92,79,River East Elementary,0
184,54,Manhattan International High School,0
253,151,P.S. 188 The Island School,68
414,18,P.S. 158 Bayard Taylor,0
383,29,P.S. 158 Bayard Taylor,0
359,27,P.S. 002 Meyer London,0
126,528,The High School of Fashion Industries,0
90,102,P.S. 242 - The Young Diplomats Magnet Academy,0
182,42,Lower Manhattan Community Middle School,129
423,73,P.S. 126 Jacob August Riis,113
430,35,P.S. 002 Meyer London,0
151,131,New Design High School,0
299,41,P.S. 166 The Richard Rodgers School of The Arts an,0
58,7,The Peck Slip School,0
285,162,The Riverside School for Makers and Artists,36
248,127,P.S. 188 The Island School,60
155,28,Neighborhood School,0
95,51,P.S. 015 Roberto Clemente,0
198,75,Stephen T. Mather Building Arts & Craftsmanship Hi,0
260,55,P.S. 001 Alfred E. Smith,0
246,114,P.S./I.S. 217 Roosevelt Island,36
413,22,P.S. 158 Bayard Taylor,0
416,206,James Weldon Johnson,97
121,22,Emma Lazarus High School,0
170,1,P.S. 77 Lower Lab School,0
219,24,Eleanor Roosevelt High School,0
102,117,P.S. 242 - The Young Diplomats Magnet Academy,0
324,9,P.S. 234 Independence School,0
165,24,P.S. 452,0
253,51,P.S. 020 Anna Silver,0
188,76,Academy for Software Engineering,0
46,18,University Neighborhood Middle School,31
238,119,P.S. 096 Joseph Lanzetta,58
143,144,P.S. 185 - The Early Childhood Discovery and Desig,0
219,94,Bard High School Early College,0
57,86,The Alain L. Locke Magnet School for Environmental,0
173,21,P.S. 212 Midtown West,0
101,123,West Prep Academy,74
396,190,High School of Arts and Technology,0
264,26,M.S. 131,170
41,26,The Urban Assembly School for Emergency Management,0
156,33,Neighborhood School,0
120,144,P.S. 185 - The Early Childhood Discovery and Desig,0
168,124,P.S. 050 Vito Marcantonio,57
127,176,Gramercy Arts High School,0
347,203,Life Sciences Secondary School,33
436,175,High School of Economics and Finance,0
203,82,The Urban Assembly School for Green Careers,0
102,116,West Prep Academy,68
273,26,The Anderson School,64
168,89,P.S. 102 Jacques Cartier,0
232,29,N.Y.C. Lab School for Collaborative Studies,0
178,77,Unity Center for Urban Technologies,0
452,168,High School of Economics and Finance,0
192,212,Richard R. Green High School of Teaching,0
313,94,P.S. 163 Alfred E. Smith,0
302,70,P.S./I.S. 217 Roosevelt Island,21
167,118,Pace High School,0
287,99,"Urban Assembly School of Design and Construction,",0
308,117,P.S. 033 Chelsea Prep,0
318,9,P.S. 041 Greenwich Village,0
301,8,P.S. 059 Beekman Hill International,0
237,56,Institute for Collaborative Education,69
162,73,Unity Center for Urban Technologies,0
117,140,P.S. 185 - The Early Childhood Discovery and Desig,0
263,135,Edward A. Reynolds West Side High School,0
178,6,"East Side Elementary School, PS 267",0
316,22,P.S. 183 Robert L. Stevenson,0
218,101,P.S. 096 Joseph Lanzetta,65
186,100,"P.S. 145, The Bloomingdale School",0
110,113,"James Baldwin School, The: A School for Expedition",0
194,40,P.S. 142 Amalia Castro,0
147,131,"Urban Assembly Academy of Government and Law, The",0
253,104,Liberty High School Academy for Newcomers,0
304,46,P.S. 020 Anna Silver,0
59,18,Stephen T. Mather Building Arts & Craftsmanship Hi,0
123,149,P.S. 242 - The Young Diplomats Magnet Academy,0
89,1,M.S. M247 Dual Language Middle School,69
183,98,P.S. 007 Samuel Stern,51
110,144,P.S. 185 - The Early Childhood Discovery and Desig,0
98,57,Innovation Diploma Plus,0
278,127,Urban Assembly New York Harbor School,0
