white_1,economic_need_index,female_2,male_2,grade_2,white_2,asian_2
339,No Data,51.3,48.7,89,57.1,10.1
10,No Data,39.9,60.1,0,3.1,13.6
158,55.0%,58.7,41.3,0,10.7,8.5
21,69.3%,49.3,50.7,35,10.3,4.4
19,67.1%,50.2,49.8,0,8.4,6.2
485,No Data,50.1,49.9,0,59.5,8.5
366,17.1%,48.4,51.6,107,57.4,12.2
482,9.4%,47.1,52.9,89,56.7,19.9
233,22.3%,49.9,50.1,102,38.0,29.4
99,11.7%,52.3,47.7,0,63.9,9.7
6,91.5%,48.8,51.2,38,2.4,4.4
66,14.9%,47.4,52.6,25,43.4,30.3
16,81.6%,47.0,53.0,95,2.5,88.7
118,32.1%,51.9,48.1,33,35.2,3.6
118,18.7%,49.6,50.4,38,43.4,32.7
638,26.7%,47.5,52.5,0,47.0,23.3
256,32.6%,46.7,53.3,0,52.0,6.9
9,No Data,42.9,57.1,0,2.0,7.2
191,31.0%,52.5,47.5,0,47.7,8.0
283,32.7%,48.9,51.1,0,37.1,15.6
10,90.6%,49.1,50.9,24,2.7,5.7
91,62.3%,45.0,55.0,112,15.8,2.4
13,91.2%,46.4,53.6,38,2.9,2.0
479,6.7%,53.3,46.7,91,74.1,11.6
21,71.2%,55.3,44.7,0,4.7,31.2
722,25.7%,51.5,48.5,114,41.6,33.3
136,21.9%,52.8,47.2,0,57.9,6.0
30,64.9%,72.1,27.9,0,5.7,4.2
3,73.3%,57.0,43.0,0,1.7,1.1
43,89.3%,42.2,57.8,0,6.0,22.7
64,67.0%,93.4,6.6,0,3.6,5.1
43,78.8%,46.4,53.6,0,5.8,23.5
26,61.3%,82.2,17.8,0,10.7,1.7
262,49.8%,48.2,51.8,0,24.4,44.6
232,13.2%,60.3,39.7,0,63.6,21.4
9,No Data,28.3,71.7,0,2.1,1.9
12,68.9%,65.1,34.9,0,6.5,1.6
7,69.2%,54.1,45.9,0,1.7,4.6
12,72.1%,30.2,69.8,0,2.9,6.0
8,84.5%,54.1,45.9,0,2.6,3.6
14,75.5%,44.5,55.5,0,4.4,1.6
5,90.2%,47.3,52.7,81,0.9,78.6
498,4.5%,52.0,48.0,131,69.1,9.2
29,45.6%,56.7,43.3,0,19.3,37.3
15,84.8%,52.7,47.3,45,3.0,0.8
193,No Data,53.3,46.7,0,47.0,8.8
145,No Data,48.9,51.1,0,63.3,7.0
586,8.7%,50.2,49.8,146,65.9,12.8
11,75.8%,73.6,26.4,0,2.8,3.0
82,39.0%,50.4,49.6,53,14.6,34.4
209,47.6%,62.5,37.5,0,31.4,45.0
4,78.2%,64.2,35.8,0,1.1,1.9
11,84.3%,47.6,52.4,25,2.9,4.7
428,6.0%,53.7,46.3,102,72.3,10.8
8,89.1%,47.4,52.6,0,4.7,11.1
60,58.2%,49.1,50.9,46,17.1,21.1
47,45.2%,64.8,35.2,0,29.6,7.5
452,30.7%,47.1,52.9,161,49.1,14.4
2,No Data,47.5,52.5,16,2.0,2.0
55,No Data,45.4,54.6,0,15.7,38.6
476,5.8%,48.5,51.5,118,69.7,10.5
270,31.6%,55.2,44.8,0,46.0,27.6
340,6.7%,47.6,52.4,76,59.3,15.4
407,20.0%,51.2,48.8,103,61.9,8.2
252,27.5%,50.0,50.0,0,51.9,6.8
8,81.6%,59.1,40.9,0,2.7,0.3
141,40.0%,45.7,54.3,38,45.0,5.4
60,24.7%,45.1,54.9,0,42.3,11.3
13,76.5%,34.4,65.6,0,2.3,1.9
502,19.0%,49.0,51.0,113,66.7,8.6
8,73.0%,72.9,27.1,0,2.0,4.0
14,92.7%,49.3,50.7,76,1.7,3.5
71,59.9%,51.9,48.1,0,19.3,22.0
550,No Data,48.8,51.2,163,68.1,7.1
5,84.8%,54.8,45.2,0,2.1,4.1
447,14.0%,47.8,52.2,87,54.1,19.6
372,19.5%,49.3,50.7,108,60.1,8.4
264,34.3%,50.5,49.5,73,49.2,6.3
527,16.5%,47.1,52.9,0,62.0,11.4
111,No Data,55.8,44.2,0,29.8,10.2
55,50.8%,57.1,42.9,0,16.5,6.9
16,55.8%,48.5,51.5,0,16.5,7.2
5,70.9%,34.6,65.4,0,1.1,2.0
25,73.9%,51.1,48.9,53,6.8,2.4
10,74.5%,55.1,44.9,0,2.0,2.2
217,No Data,54.0,46.0,60,62.4,21.3
119,62.6%,36.9,63.1,0,20.3,10.8
12,76.0%,55.7,44.3,0,2.4,2.4
121,53.7%,45.4,54.6,47,34.1,6.8
13,86.1%,50.0,50.0,29,3.5,5.3
102,No Data,52.7,47.3,29,39.5,14.3
68,52.5%,79.7,20.3,0,14.2,3.6
6,76.8%,44.7,55.3,0,2.6,16.2
18,85.9%,46.3,53.7,0,4.1,2.3
116,29.0%,51.8,48.2,0,60.1,8.8
30,59.9%,47.8,52.2,125,3.3,87.4
59,69.3%,49.5,50.5,54,10.8,2.4
526,9.9%,45.9,54.1,120,75.1,13.0
134,41.7%,56.4,43.6,0,30.1,49.7
1261,30.7%,75.7,24.2,0,44.9,19.9
10,86.5%,45.3,54.7,27,5.2,0.0
209,6.8%,53.3,46.7,71,55.4,16.4
237,14.6%,58.0,42.0,0,61.4,16.6
95,60.8%,55.4,44.6,0,19.5,6.4
81,55.2%,57.5,42.5,0,13.1,3.7
44,61.9%,49.2,50.8,14,23.3,3.7
42,79.2%,43.3,56.7,0,5.5,24.5
27,63.9%,50.6,49.4,0,7.6,5.9
1,92.1%,51.5,48.5,0,0.2,0.2
61,96.0%,37.4,62.6,0,14.2,10.5
15,71.9%,39.6,60.4,0,3.4,8.2
168,No Data,46.3,53.7,77,33.9,13.1
8,90.8%,48.3,51.7,38,3.0,5.3
145,65.5%,69.9,30.1,0,8.1,20.0
8,No Data,100.0,0.0,0,1.9,3.9
10,89.7%,45.9,54.1,41,2.2,1.1
78,No Data,53.6,46.4,0,22.6,4.9
6,76.0%,39.6,60.4,0,1.6,2.8
183,47.6%,52.2,47.8,87,35.1,1.5
228,37.3%,58.9,41.1,0,42.6,22.8
10,86.0%,51.0,49.0,63,1.8,1.2
15,60.1%,63.3,36.7,0,19.0,7.6
4,73.1%,44.5,55.5,0,3.6,5.5
57,No Data,51.8,48.2,62,10.7,29.5
7,90.3%,45.8,54.2,0,2.4,2.8
18,No Data,55.8,44.2,0,4.1,5.0
10,76.6%,56.7,43.3,0,2.8,5.8
95,44.6%,82.3,17.7,0,18.7,3.5
19,60.3%,83.8,16.2,0,7.7,2.4
16,79.0%,50.8,49.2,0,5.0,7.6
268,No Data,60.9,39.1,0,47.9,16.1
5,85.7%,49.5,50.5,29,1.8,2.8
8,72.9%,72.6,27.4,0,4.5,1.7
55,57.9%,59.4,40.6,0,12.3,33.9
173,50.3%,48.7,51.3,84,30.6,5.8
19,82.4%,56.2,43.8,0,3.6,7.5
11,66.6%,69.8,30.2,0,3.1,8.8
62,69.2%,46.8,53.2,72,7.8,59.5
295,12.9%,52.2,47.8,56,52.8,28.1
7,77.5%,55.9,44.1,0,1.9,2.2
10,76.3%,54.5,45.5,0,2.3,1.4
61,No Data,49.3,50.7,0,9.4,9.9
66,No Data,93.4,6.6,0,3.8,4.3
8,No Data,40.2,59.8,0,3.7,1.4
149,35.1%,59.5,40.5,0,33.9,45.0
80,54.4%,47.5,52.5,0,21.9,40.2
196,25.2%,58.1,41.9,0,48.9,5.2
144,41.5%,47.7,52.3,42,47.7,7.3
