multiple_race_categories_not_represented_1,grade_3,grade_5,grade_10,grade_k,dbn,asian_1,grade_12,multiple_race_categories_not_represented_2,english_language_learners_2
20,98,89,0,106,03M166,60,0,3.4,6.1
13,0,0,68,0,01M292,44,63,4.0,19.8
27,0,0,418,0,02M630,125,220,1.8,1.2
2,28,17,0,47,01M063,9,0,1.0,3.0
9,0,0,67,0,02M605,14,48,4.0,4.0
32,0,0,0,0,03M054,69,0,3.9,2.3
51,102,72,0,125,03M166,78,0,8.0,4.9
67,92,100,0,100,02M276,169,0,7.9,1.6
26,106,58,0,101,02M217,180,0,4.2,11.1
12,0,0,0,48,02M340,15,0,7.7,0.0
5,40,42,0,40,04M038,11,0,2.0,9.5
2,0,0,0,62,02M281,46,0,1.3,17.8
5,90,129,0,112,02M042,579,0,0.8,34.5
19,37,38,0,36,02M225,12,0,5.7,3.0
7,27,0,0,85,02M281,89,0,2.6,18.4
58,0,0,0,0,02M167,316,0,4.3,3.8
26,0,0,70,0,02M407,34,76,5.3,0.8
7,0,0,125,0,02M615,32,72,1.6,4.3
19,0,0,0,0,03M245,32,0,4.7,2.0
61,0,0,119,0,02M413,119,107,8.0,1.0
2,24,29,0,28,01M140,21,0,0.5,9.7
21,93,82,0,86,03M075,14,0,3.7,14.1
5,50,41,0,38,04M096,9,0,1.1,19.6
37,94,125,0,112,02M290,75,0,5.7,4.0
9,0,0,127,0,02M399,138,107,2.0,10.2
88,115,134,189,100,01M539,577,119,5.1,0.1
15,0,60,0,0,03M243,14,0,6.4,0.0
32,0,0,188,0,02M374,22,85,6.1,2.1
1,0,0,49,0,01M458,2,54,0.6,8.9
10,0,0,276,0,02M575,164,163,1.4,52.6
24,0,0,468,0,02M600,91,442,1.3,2.6
10,0,0,253,0,02M575,175,233,1.3,48.7
15,0,0,56,0,02M531,4,65,6.2,0.4
21,0,0,0,0,02M104,479,0,2.0,6.4
10,0,0,0,0,02M255,78,0,2.7,0.0
6,0,0,112,0,02M393,8,85,1.4,6.0
3,0,0,39,0,02M047,3,45,1.6,5.9
2,0,0,104,0,02M288,19,95,0.5,2.9
8,0,0,121,0,02M300,25,92,1.9,6.3
3,0,0,95,0,02M305,11,52,1.0,5.5
8,0,0,102,0,03M402,5,84,2.5,13.8
2,79,120,0,88,02M002,434,0,0.4,32.6
75,115,109,0,121,02M041,66,0,10.4,1.9
5,0,43,0,0,02M442,56,0,3.3,0.7
2,51,44,0,53,03M076,4,0,0.4,9.3
10,0,0,0,0,03M245,36,0,2.4,1.7
4,0,63,0,0,03M243,16,0,1.7,0.0
57,140,136,0,176,03M199,114,0,6.4,2.7
12,0,0,120,0,02M296,12,72,3.0,8.5
38,62,99,0,49,04M012,193,0,6.8,0.2
3,45,44,0,31,04M038,19,0,1.1,13.8
3,27,34,0,34,04M050,3,0,1.0,8.2
