grade_6,black,ela_level_1_1,math_level_2_1,total_enrollment,grade_1,ell_spanish_1,math_level_4,ell_russian,ell_other_1,asian,ell_arabic
45,s,0.516,0.211,450,53,0.442,31,19,6.4%,201,7.0
3276,504,0.267,0.279,32054,3531,,3896,,,6130,
314,177,0.697,0.208,3048,300,0.868,20,s,3.8%,160,103.0
320,523,0.58,0.216,2477,239,,62,,,28,
1552,3575,0.413,0.268,15081,1614,,762,,,469,
144,281,0.369,0.291,1231,163,,72,,,26,
1473,5207,0.244,0.273,15696,1828,,2061,,,3330,
1292,7478,0.28,0.257,10342,1038,,1010,,,316,
2377,5908,0.363,0.288,21862,2461,,1326,,,246,
336,340,0.121,0.166,3014,320,,795,,,744,
2544,6380,0.355,0.288,23424,2600,,1497,,,277,
1040,1229,0.331,0.278,7639,678,,635,,,177,
288,111,0.694,0.253,2610,298,0.777,46,s,4.1%,257,214.0
4220,698,0.237,0.267,41438,4612,,5803,,,8264,
591,2701,0.385,0.276,5559,548,,275,,,110,
3379,4363,0.357,0.276,30804,3444,,2012,,,1247,
1512,681,0.303,0.278,14547,1551,,1428,,,198,
16,s,0.553,0.152,215,32,0.647,12,s,s,30,52.0
290,1308,0.356,0.26,1671,105,,104,,,13,
222,206,0.317,0.293,1816,192,,184,,,290,
120,556,0.331,0.292,1200,120,,90,,,88,
337,706,0.413,0.226,2609,247,,202,,,84,
722,1034,0.421,0.264,6921,788,,364,,,206,
238,382,0.57,0.278,3375,522,0.187,111,744,21.5%,986,338.0
1565,9144,0.264,0.257,12551,1295,,1334,,,382,
836,153,0.569,0.278,7667,799,,192,,,642,
984,2052,0.272,0.269,8329,808,,863,,,587,
1047,2513,0.349,0.274,9861,1061,,551,,,90,
159,854,0.315,0.289,1762,177,,171,,,225,
4371,4807,0.192,0.246,40024,4518,,6267,,,4272,
1474,2508,0.162,0.182,12501,1289,,2809,,,931,
221,141,0.393,0.303,2402,259,,120,,,s,
142,156,0.356,0.302,1009,126,,71,,,200,
315,709,0.586,0.219,2771,271,,53,,,13,
453,454,0.106,0.194,3167,224,,849,,,1166,
507,858,0.267,0.253,4577,508,,514,,,801,
846,4695,0.402,0.273,6521,632,,325,,,82,
353,562,0.263,0.286,1867,119,,234,,,62,
30,53,0.664,0.225,455,62,0.475,6,s,10.1%,95,96.0
