bin,respondent_house_number,boro,certification_status,ecb_violation_status,aggravated_level
2048785,42-25,2,CURE ACCEPTED,RESOLVE,NO
4858527,47-21,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4206601,138-42,4,CERTIFICATE ACCEPTED,RESOLVE,NO
4030560,65-88,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3116598,597,3,CERTIFICATE ACCEPTED,RESOLVE,
1062759,,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
3039446,1946,3,CERTIFICATE ACCEPTED,RESOLVE,NO
4080813,17-37,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3096782,,3,CERTIFICATE ACCEPTED,RESOLVE,
4439453,,4,CERTIFICATE ACCEPTED,RESOLVE,
4036812,40-22,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
1071860,245,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
1067542,22,1,N/A - DISMISSED,RESOLVE,NO
3093152,871,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3056642,502,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3078710,362,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
1.064585E+6,97,1,COMPLIANCE-INSP/DOC,RESOLVE,NO
1008774,519,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4229312,92-64,4,CERTIFICATE ACCEPTED,RESOLVE,
403866000.00%,144-11,4,CURE ACCEPTED,RESOLVE,NO
3026467,8019,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3053109,322,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3074495,184,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3324358,990,3,CERTIFICATE ACCEPTED,RESOLVE,
2007588,9322,2,CERTIFICATE ACCEPTED,RESOLVE,NO
3231754,9514,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
2012890,211,2,CURE ACCEPTED,RESOLVE,NO
3229556,1151,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
4534792,97-37,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
5151300,1131,5,CERTIFICATE ACCEPTED,RESOLVE,
3201777,2303,3,COMPLIANCE-INSP/DOC,RESOLVE,
5024130,926,5,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4114650,142-06,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4117992,129-04,4,CURE ACCEPTED,RESOLVE,NO
1063193,90,1,CERTIFICATE ACCEPTED,RESOLVE,NO
3117271,5312,3,COMPLIANCE-INSP/DOC,RESOLVE,
3072359,3511,3,NO COMPLIANCE RECORDED,ACTIVE,NO
4021720,21-50,4,N/A - DISMISSED,RESOLVE,NO
4250572,122-12,4,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
3217154,1367,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
4229578,91-40,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4443483,50,4,CURE ACCEPTED,RESOLVE,NO
4277796,130-65,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
3038613,2298,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
2090231,1277,2,CERTIFICATE ACCEPTED,RESOLVE,NO
4080123,83-09,4,N/A - DISMISSED,RESOLVE,NO
3393642,1504,3,COMPLIANCE-INSP/DOC,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
4093892,78-51,4,CERTIFICATE ACCEPTED,RESOLVE,NO
4210126,87-77,4,CERTIFICATE ACCEPTED,RESOLVE,NO
4595352,72-03,4,CURE ACCEPTED,RESOLVE,NO
2094168,,2,COMPLIANCE-INSP/DOC,RESOLVE,NO
4117650,46-15,4,CERTIFICATE ACCEPTED,RESOLVE,NO
1060779,200,1,CERTIFICATE ACCEPTED,RESOLVE,NO
4.049692E+6,51-20,4,NO COMPLIANCE RECORDED,ACTIVE,NO
4191151,106-24,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4216825,167-38,4,CERTIFICATE ACCEPTED,RESOLVE,
4107803,166-10,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4240089,4153,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3097822,840,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
3001477,145,3,N/A - DISMISSED,RESOLVE,AGGRAVATED OFFENSE LEVEL 1
1059225,1,1,N/A - DISMISSED,RESOLVE,NO
4268113,169-29,4,CERTIFICATE ACCEPTED,RESOLVE,NO
3087697,209,3,CERTIFICATE ACCEPTED,RESOLVE,NO
5003850,25,5,COMPLIANCE-INSP/DOC,RESOLVE,NO
1035423,485,1,CERTIFICATE ACCEPTED,RESOLVE,MULTIPLE OFFENSE
3016450,4505,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
1079772,3485,1,CERTIFICATE ACCEPTED,RESOLVE,NO
332588200.00%,14,3,CERTIFICATE ACCEPTED,RESOLVE,NO
5069753,112,5,CERTIFICATE ACCEPTED,RESOLVE,NO
416699500.00%,89-15,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4187315,85-19,4,COMPLIANCE-INSP/DOC,RESOLVE,NO
4040680,45-16,4,NO COMPLIANCE RECORDED,ACTIVE,NO
1063193,23-02,1,CERTIFICATE ACCEPTED,RESOLVE,
5116727,240,5,CERTIFICATE ACCEPTED,RESOLVE,NO
1081327,850,1,CURE ACCEPTED,RESOLVE,NO
3237502,2035,3,COMPLIANCE-INSP/DOC,RESOLVE,NO
