address,additionalpriorities,nta,extendedhoursallschools,community_board,outofdistrictofferspkconly
775 Rogers Avenue,,Prospect Lefferts Gardens-Wingate,AM/PM,317.0,
17 Hinsdale Street,,East New York (Pennsylvania Ave),AM/PM,305.0,
721 Lincoln Place,,Crown Heights North,Contact Program,308.0,
590 Sixth Avenue,,Hudson Yards-Chelsea-Flatiron-Union Square,PM,105.0,
274 Keap Street,,Williamsburg,Contact Program,301.0,
1780 Dr Martin L King Jr Boulevard,,,AM,,
314 Pacific Street,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Contact Program,302.0,
1240 Webster Avenue,,Claremont-Bathgate,Contact Program,203.0,
830 Mace Avenue,,Bronxdale,AM/PM,211.0,
860 Park Avenue,,Stuyvesant Heights,PM,303.0,
201 Warren Street,,Battery Park City-Lower Manhattan,Contact Program,101.0,
69 Macdonough Street,,Bedford,,303.0,
2543 Morgan Avenue,,Allerton-Pelham Gardens,AM/PM,211.0,
1701 Nereid Avenue,,Woodlawn-Wakefield,AM/PM,212.0,
601 Stickball Boulevard,,Soundview-Castle Hill-Clason Point-Harding Park,,209.0,
293 Neptune Avenue,,Brighton Beach,AM,313.0,
180 Suffolk Street,,Chinatown,AM/PM,103.0,
!711 Manida Street,,Hunts Point,,202.0,
80 East 181 Street,,Mount Hope,AM/PM,205.0,
3210 Riverdale Avenue,,Spuyten Duyvil-Kingsbridge,AM/PM,208.0,
990 Dekalb Avenue,,Stuyvesant Heights,AM/PM,303.0,
150 West 105 Street,,Upper West Side,Contact Program,107.0,
590 Sixth Avenue,,Hudson Yards-Chelsea-Flatiron-Union Square,,105.0,
323 Grand Street,,Chinatown,AM/PM,103.0,
1946 Bathgate Avenue,,Claremont-Bathgate,AM/PM,206.0,
266 Flatbush Avenue,,Prospect Heights,AM/PM,306.0,
515 4 Avenue,,Park Slope-Gowanus,Contact Program,306.0,
628 Tinton Avenue,,Melrose South-Mott Haven North,,201.0,
2424 Jerome Avenue,,Fordham South,,205.0,
125 5 Avenue,,Park Slope-Gowanus,AM/PM,306.0,
601 Parkside Avenue,,Prospect Lefferts Gardens-Wingate,,309.0,
830 Fox Street,,Hunts Point,AM/PM,202.0,
236 West 129 Street,,Central Harlem North-Polo Grounds,AM/PM,110.0,
2195 Grand Concourse,,Fordham South,PM,205.0,
1 152 Elton Street,,East New York,,305.0,
459 East 176 Street,,Claremont-Bathgate,Contact Program,206.0,
2171 68 Street,,Bensonhurst West,AM/PM,311.0,
779 East 49 Street,,East Flatbush-Farragut,Contact Program,317.0,
108 Avenue D,,Lower East Side,AM/PM,103.0,
1811 Crotona Avenue,,East Tremont,AM/PM,206.0,
1360 Fulton Street,,Crown Heights North,AM/PM,303.0,
295 West 231 Street,,Spuyten Duyvil-Kingsbridge,PM,208.0,
545 Willoughby Avenue,,Bedford,PM,303.0,
