staten_island_cooperatives_comparable_properties_boro_block_lot,latitude,longitude,comparable_rental_2_year_built,community_council,census_tract,staten_island_cooperatives_comparable_properties_gross_sqft,comparable_rental_1_address,staten_island_cooperatives_comparable_properties_full_market_value,comparable_rental_1_boro_block_lot,comparable_rental_1_est_gross_income,comparable_rental_1_gross_sqft,comparable_rental_2_boro_block_lot,comparable_rental_2_market_value_per_sqft,staten_island_cooperatives_comparable_properties_market_value_per_sqft
5-02986-0012,40.609266,-74.073749,,49,2001,155396,"{'latitude': '40.606004051169', 'longitude': '-74.0866151394', 'human_address': '{""address"": ""1950 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",2690000,5-03157-0001,1890996,180495,,,17.31
5-00101-0537$,40.634366,-74.10082,1969.0,49,67,17418,"{'latitude': '40.628487843686', 'longitude': '-74.121683657836', 'human_address': '{""address"": ""290 MYRTLE AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",612000,5-00225-0007,243231,19140,5-00356-0172,40.6,35.1
5-03546-0001,40.584631,-74.09704,,50,11401,58350,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",1070000,5-03168-0161,1011411,74260,,,18.34
5-03546-0031,40.584741,-74.0969,1936.0,50,11401,10000,"{'latitude': '40.606674000105', 'longitude': '-74.162401000006', 'human_address': '{""address"": ""2162 RICHMOND ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",184000,5-03594-0001,138793,10200,5-04243-0027,40.7,18.4
5-00597-0120,40.618875,-74.093701,1984.0,49,39,121750,"{'latitude': '40.619664408295', 'longitude': '-74.090954215196', 'human_address': '{""address"": ""22 ARLO ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",4150000,5-00593-0590,2108603,126836,5-01392-0002,35.2,34.1
5-03191-0061,40.598436,-74.091972,,50,9601,63600,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",1800000,5-03168-0161,1011411,74260,,,28.3
