staten_island_cooperatives_comparable_properties_boro_block_lot,staten_island_cooperatives_comparable_properties_address,bin,bbl,community_board,comparable_rental_2_building_classification,comparable_rental_2_gross_sqft,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_building_classification,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_total_units,comparable_rental_2_est_gross_income,comparable_rental_1_full_market_value,comparable_rental_1_neighborhood
5-05229-0007,"{'latitude': '40.544976260737', 'longitude': '-74.157789473528', 'human_address': '{""address"": ""475 ARMSTRONG AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5109778,5052290007,3,C9-WALK-UP,43018.0,16.39,C9-WALK-UP,1.4,10.28,65.0,704877.0,677000,GREAT KILLS-BAY TERRACE
5-00327-0015,"{'latitude': '40.620624597504', 'longitude': '-74.110049231229', 'human_address': '{""address"": ""1000 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5008970,5003270015,1,,,,D1-ELEVATOR,,15.42,,,5060000,CONCORD-FOX HILLS
5-00593-0680,"{'latitude': '40.619607564842', 'longitude': '-74.094791704022', 'human_address': '{""address"": ""151 ARLO ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5113146,5005930680,1,C9-WALK-UP,20460.0,13.18,C9-WALK-UP,2.4,12.65,30.0,269651.0,636000,STAPLETON
5-00101-0537,"{'latitude': '40.634362104939', 'longitude': '-74.10065732 2084', 'human_address': '{""address"": ""545 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5108585,5001010537,1,C9-WALK-UP,19020.0,13.05,C9-WALK-UP,1.8,12.71,20.0,248132.0,757000,WEST NEW BRIGHTON
5-02833-0031,"{'latitude': '40.611177650284', 'longitude': '-74.060606659565', 'human_address': '{""address"": ""20 CLIFF STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5122638,5028330031,1,,,,D1-ELEVATOR,,10.48,,,4010000,GRASMERE
5-05090-0035,"{'latitude': '40.556922389091', 'longitude': '-74.138832019937', 'human_address': '{""address"": ""3482 AMBOY ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5109754,5050900035,3,C9-WALK-UP,25420.0,10.28,C9-WALK-UP,0.25,13.84,43.0,261318.0,827000,GREAT KILLS
