staten_island_cooperatives_comparable_properties_address,borough,staten_island_cooperatives_comparable_properties_year_built,staten_island_cooperatives_comparable_properties_neighborhood,postcode,comparable_rental_2_address
"{'latitude': '40.631742990383', 'longitude': '-74.09807881413', 'human_address': '{""address"": ""255 FOREST AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5,1968,WEST NEW BRIGHTON,10301,"{'latitude': '40.616992075594', 'longitude': '-74.146053259195', 'human_address': '{""address"": ""446 WATCHOGUE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
"{'latitude': '40.638185748791', 'longitude': '-74.073337656481', 'human_address': '{""address"": ""10 BAY STREET LANDING Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5,1984,NEW BRIGHTON-ST. GEORGE,10301,"{'latitude': '40.606004051169', 'longitude': '-74.0866151394', 'human_address': '{""address"": ""1950 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
"{'latitude': '40.64077829151', 'longitude': '-74.108727735798', 'human_address': '{""address"": ""154 BARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5,1947,LIVINGSTON,10310,"{'latitude': '40.606382356961', 'longitude': '-74.167228779247', 'human_address': '{""address"": ""3220 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
"{'latitude': '40.634212428287', 'longitude': '-74.099835578569', 'human_address': '{""address"": ""515 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",5,1950,WEST NEW BRIGHTON,10301,"{'latitude': '40.636153116782', 'longitude': '-74.106852177363', 'human_address': '{""address"": ""330 BARD AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
"{'''''""CASI""""""""""""",5,1950,WEST NEW BRIGHTON,10301,"{'latitude': '40.622717099332', 'longitude': '-74.132029511029', 'human_address': '{""address"": ""575 JEWETT AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
