recordid,censusblock_2010,:@computed_region_92fq_4b7q,species,street,bin,spc_common,x,condition,zip_original,bbl,council_district
621,2000,32.0,TICO,SPRING ST,1007410.0,"LINDEN, LITTLE LEAF",985819.5562,Good,10012,1004920042.0,1.0
611,6002,32.0,GLTR,KENMARE ST,1007203.0,HONEYLOCUST,985093.4043,Unknown,10012,1004810032.0,1.0
179,3000,32.0,QUPA,CHAMBERS ST,1066406.0,"OAK, PIN",980845.5519,Excellent,10013,1001420050.0,1.0
302,1001,10.0,PYCA,SULLIVAN ST,1007351.0,"PEAR, CALLERY",983252.932,Good,10012,1004890014.0,3.0
769,7000,50.0,PYCA,E 9 ST,1006364.0,"PEAR, CALLERY",987861.6309,Good,10006,1004500010.0,2.0
722,1000,32.0,UNKNOWN,ELIZABETH ST,1007137.0,UNKNOWN LIVE TREES,985697.2943,Good,10013,1004780018.0,1.0
733,2002,32.0,GLTR,GREENWICH ST,1002813.0,HONEYLOCUST,981445.1063,Excellent,10013,1002160001.0,1.0
690,2004,32.0,GLTR,WEST ST,1087238.0,HONEYLOCUST,979917.2251,Excellent,10009,1000167514.0,1.0
987,5002,50.0,PYCA,E 14 ST,1020402.0,"PEAR, CALLERY",988642.9134,Good,10003,1009210019.0,2.0
521,2002,10.0,ZESE,KING ST,1008142.0,"ZELKOVA, JAPANESE",983155.4844,Poor,10014,1005207501.0,3.0
992,5002,50.0,GIBI,E 14 ST,1020396.0,GINKGO,988564.288,Good,10003,1009210013.0,2.0
45,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
918,6001,50.0,PYCA,1 AV,1006490.0,"PEAR, CALLERY",988925.5521,Good,10003,1004540036.0,2.0
156,3000,32.0,QUPA,CHAMBERS ST,1066406.0,"OAK, PIN",980845.5519,Good,10013,1001420050.0,1.0
861,3000,50.0,TICO,E 10 ST,1077991.0,"LINDEN, LITTLE LEAF",987358.2643,Good,10003,1004660048.0,2.0
170,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
17,3000,32.0,TICO,HARRISON ST,1083360.0,"LINDEN, LITTLE LEAF",981358.8102,Excellent,10013,1001420010.0,1.0
515,2002,10.0,QURU,KING ST,1008135.0,"OAK, NORTHERN RED",982927.3171,Excellent,10014,1005200055.0,3.0
48,1016,32.0,OSVI,BROADWAY,1083094.0,EASTERN HOP HORNBEAM,982635.7128,Excellent,10007,1001540001.0,1.0
979,6000,50.0,TICO,E 14 ST,1006513.0,"LINDEN, LITTLE LEAF",988564.288,Good,10003,1004550017.0,2.0
