number_of_hispanic_students,number_of_students_entering_7,number_of_students_entering_5,percent_of_male_psal
569,257,223,55.4
441,399,370,58.0
542,365,336,52.7
621,186,226,59.9
650,968,s,55.6
641,962,757,55.7
190,330,373,56.8
