number_of_black_students,percent_of_students_entering_3,number_of_students_entering_6,number_of_students_entering_1
323,s,273,0
2315,s,2753,0
216,0.0,354,0
491,0.0,148,s
243,0.0,171,0
129,0.0,369,0
34,0.0,21,0
