category_type,percent_of_hispanic_psal,number_of_students_entering_3,category_values
District,60.6,s,9
District,7.9,0,29
District,75.0,s,32
District,6.5,s,23
District,33.3,s,2
District,29.8,s,3
Borough,52.1,s,Bronx
District,52.4,0,4
